Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,57160,16,2521,,51962,Asia,0
Armenia,202167,1009,3720,23,181180,Asia,0
Azerbaijan,283579,2192,3879,33,249013,Asia,0
Bahrain,154280,,551,1,142741,Asia,0
Bangladesh,678937,5343,9661,77,572378,Asia,0
Bhutan,910,4,1,,875,Asia,0
Brunei,219,,3,,206,Asia,0
Cambodia,4081,477,26,2,2080,Asia,0
China,90400,14,4636,,85481,Asia,0
Cyprus,50589,,268,,36872,Asia,1
Georgia,287689,506,3869,11,276711,Asia,0
Hong Kong,11569,5,207,,11193,Asia,0
India,13338406,135623,169162,695,12072098,Asia,0
Indonesia,1562868,4723,42443,95,1409288,Asia,0
Iran,2049078,19666,64232,193,1702062,Asia,0
Iraq,918155,6779,14678,37,809663,Asia,0
Israel,835674,,6280,,825195,Asia,1
Japan,499793,3587,9353,19,460993,Asia,0
Jordan,662395,3145,7708,62,588353,Asia,0
Kazakhstan,266677,2734,3202,12,232835,Asia,0
Kuwait,244325,,1393,,228627,Asia,1
Kyrgyzstan,90019,208,1519,3,85824,Asia,0
Laos,49,,,,47,Asia,0
Lebanon,491928,,6592,,398699,Asia,1
Macao,49,,,,48,Asia,0
Malaysia,359117,1510,1321,8,342737,Asia,0
Maldives,25436,,67,,22276,Asia,1
Mongolia,14183,689,20,1,8875,Asia,0
Myanmar,142572,14,3206,,131846,Asia,0
Nepal,279725,337,3039,1,273886,Asia,0
Oman,168005,,1747,,149969,Asia,1
Pakistan,715968,5139,15329,100,627561,Asia,0
Palestine,265897,1502,2838,26,231288,Asia,0
Philippines,853209,12674,14744,225,648220,Asia,0
Qatar,189064,964,331,7,169086,Asia,0
Saudi Arabia,397636,878,6747,10,382773,Asia,0
Singapore,60633,,29,,58771,Asia,1
South Korea,108945,676,1765,1,99301,Asia,0
Sri Lanka,94724,160,595,2,91456,Asia,0
Syria,20008,,1360,,13780,Asia,1
Taiwan,1056,2,10,,1020,Asia,0
Tajikistan,13308,,90,,13218,Asia,1
Thailand,31658,789,97,1,28161,Asia,0
Timor-Leste,947,70,1,,443,Asia,0
Turkey,3745657,,33454,,3268678,Asia,1
UAE,481937,1931,1529,3,466804,Asia,0
Uzbekistan,84724,195,634,,82586,Asia,0
Vietnam,2692,9,35,,2429,Asia,0
Yemen,5276,43,1031,9,2027,Asia,0
