Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,128393,,2317,,97723,Europe,1
Andorra,12545,,120,,11825,Europe,1
Austria,577007,,9687,,535798,Europe,1
Belarus,336038,,2354,,326487,Europe,1
Belgium,925476,2989,23473,45,59754,Europe,0
Bosnia and Herzegovina,181927,,7298,,139419,Europe,1
Bulgaria,371993,,14418,,286258,Europe,1
Channel Islands,4051,,86,,3956,Europe,1
Croatia,292516,,6308,,272967,Europe,1
Czechia,1580189,,27808,,1449052,Europe,1
Denmark,237792,,2441,,226630,Europe,1
Estonia,114174,,1028,,94807,Europe,1
Faroe Islands,661,,1,,660,Europe,1
Finland,82053,,868,,46000,Europe,1
France,5058680,,98750,,309787,Europe,1
Germany,3009541,,78964,,2683900,Europe,0
Gibraltar,4277,,94,,4180,Europe,1
Greece,295480,,8885,,251244,Europe,1
Hungary,720164,,23417,,426394,Europe,1
Iceland,6258,,29,,6126,Europe,1
Ireland,240945,,4785,,23364,Europe,1
Isle of Man,1574,,29,,1445,Europe,1
Italy,3769814,,114254,,3122555,Europe,1
Latvia,107608,,1986,,99162,Europe,1
Liechtenstein,2753,,56,,2606,Europe,1
Lithuania,226173,,3687,,205897,Europe,1
Luxembourg,63650,,768,,58874,Europe,1
Malta,29614,,402,,28654,Europe,1
Moldova,241217,,5388,,222927,Europe,1
Monaco,2375,,31,,2242,Europe,1
Montenegro,94269,,1373,,88505,Europe,1
Netherlands,1350665,,16771,,N/A,Europe,0
North Macedonia,141844,,4228,,116780,Europe,1
Norway,103621,,684,,88952,Europe,1
Poland,2574631,,58421,,2171301,Europe,1
Portugal,827494,,16916,,784618,Europe,1
Romania,1006167,,25135,,906659,Europe,1
Russia,4641390,,102986,,4265509,Europe,1
San Marino,4956,,85,,4477,Europe,1
Serbia,642208,,5735,,555672,Europe,1
Slovakia,371062,,10565,,255300,Europe,1
Slovenia,226499,,4119,,208561,Europe,1
Spain,3347512,,76328,,3095922,Europe,0
Sweden,857401,,13621,,N/A,Europe,0
Switzerland,617543,,10453,,557566,Europe,1
UK,4369775,,127087,,3972029,Europe,1
Ukraine,1861105,7856,37301,287,1416215,Europe,0
Vatican City,27,,,,15,Europe,0
