Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,2532562,15262,57779,132,2233140,South America,0
Bolivia,281570,921,12442,14,230807,South America,0
Brazil,13482543,37537,353293,1824,11880803,South America,0
Chile,1076499,7945,24346,133,1005860,South America,0
Colombia,2536198,17483,65889,281,2383785,South America,0
Ecuador,346817,1940,17293,18,290314,South America,0
Falkland Islands,60,,,,54,South America,0
French Guiana,17549,,94,,9995,South America,1
Guyana,11149,105,255,3,9721,South America,0
Paraguay,235292,1547,4827,78,193286,South America,0
Peru,1639767,,54669,,1557779,South America,1
Suriname,9302,24,182,3,8669,South America,0
Uruguay,144642,3262,1462,48,110277,South America,0
Venezuela,173786,,1759,,156472,South America,1
