Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,25,,,,22,North America,0
Antigua and Barbuda,1201,,31,,947,North America,1
Aruba,10122,,92,,9515,North America,1
Bahamas,9505,,190,,8965,North America,1
Barbados,3740,,44,,3623,North America,1
Belize,12513,,318,,12137,North America,1
Bermuda,1912,,16,,1037,North America,1
British Virgin Islands,178,,1,,159,North America,1
Canada,1078562,,23392,,976877,North America,0
Caribbean Netherlands,1526,,14,,1416,North America,1
Cayman Islands,523,,2,,498,North America,1
Costa Rica,225343,,3044,,196060,North America,1
Cuba,88445,,476,,83087,North America,1
Curaçao,11430,,74,,7189,North America,1
Dominica,165,,,,159,North America,0
Dominican Republic,258637,,3397,,217008,North America,1
El Salvador,66816,159,2057,3,63196,North America,0
Greenland,31,,,,31,North America,0
Grenada,155,,1,,152,North America,1
Guadeloupe,12717,,176,,2242,North America,1
Guatemala,205322,,7057,,187052,North America,1
Haiti,12855,,251,,11513,North America,1
Honduras,196704,618,4873,12,76081,North America,0
Jamaica,42924,,682,,19136,North America,1
Martinique,9890,,64,,98,North America,1
Mexico,2286133,4293,210294,592,1815237,North America,0
Montserrat,20,,1,,19,North America,1
Nicaragua,6778,,180,,4225,North America,1
Panama,359121,,6173,,348953,North America,1
Saint Barthelemy,907,,1,,462,North America,1
Saint Kitts and Nevis,44,,,,44,North America,0
Saint Lucia,4355,,64,,4179,North America,1
Saint Martin,1693,,12,,1399,North America,1
Saint Pierre and Miquelon,24,,,,24,North America,0
Saint Vincent and the Grenadines,1806,,10,,1665,North America,1
Trinidad and Tobago,8511,,146,,7799,North America,1
Turks and Caicos,2360,,17,,2285,North America,1
USA,32070784,,577179,,24626410,North America,1
