Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,29531,18,910,,26437,Australia/Oceania,0
Fiji,72,,2,,65,Australia/Oceania,1
French Polynesia,18696,,141,,4842,Australia/Oceania,1
Marshall Islands,4,,,,4,Australia/Oceania,0
Micronesia,1,,,,1,Australia/Oceania,0
New Caledonia,124,1,,,58,Australia/Oceania,0
New Zealand,2596,1,26,,2468,Australia/Oceania,0
Papua New Guinea,9738,,89,,846,Australia/Oceania,1
Samoa,3,,,,2,Australia/Oceania,0
Solomon Islands,20,,,,18,Australia/Oceania,0
Vanuatu,3,,,,1,Australia/Oceania,0
Wallis and Futuna,438,,5,,44,Australia/Oceania,1
