Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,1.462397997898956,,,,1.3979400086720377,North America,0
Antigua and Barbuda,3.085290578230065,,1.4913616938342726,,2.9978230807457256,North America,1
Aruba,4.016991578206205,,1.9731278535996986,,3.9970367108825267,North America,1
Bahamas,3.990827050567479,,2.287801729930226,,3.9570802596579,North America,1
Barbados,3.5789828427027905,,1.6434526764861874,,3.5672616923538745,North America,1
Belize,4.099266172031917,,2.5024271199844326,,4.084969288474987,North America,1
Bermuda,3.345177616542704,,1.3010299956639813,,3.110589710299249,North America,1
British Virgin Islands,2.271841606536499,,0.0,,2.2600713879850747,North America,1
Canada,6.056540119434872,,4.37498650130111,,6.011764078002077,North America,0
Caribbean Netherlands,3.189770956346874,,1.1760912590556813,,3.1631613749770184,North America,1
Cayman Islands,2.725094521081469,,0.3010299956639812,,2.7058637122839193,North America,1
Costa Rica,5.365426205850895,,3.491921712586151,,5.299215201192701,North America,1
Cuba,4.981156925112127,,2.7307822756663893,,4.9545656972708585,North America,1
Curaçao,4.076786033508079,,1.9731278535996986,,3.9810026899413997,North America,1
Dominica,2.2174839442139063,,,,2.2013971243204513,North America,0
Dominican Republic,5.418049261100667,,3.5347873586294916,,5.340963371211028,North America,1
El Salvador,4.831556252751564,,3.319314304090512,0.6020599913279624,4.806057811480945,North America,0
Greenland,1.4913616938342726,,,,1.4913616938342726,North America,0
Grenada,2.1958996524092336,,0.0,,2.187520720836463,North America,1
Guadeloupe,4.1043846712878835,,2.24551266781415,,3.3506356082589543,North America,1
Guatemala,5.331832044436249,,3.862071719379994,,5.2844735971586045,North America,1
Haiti,4.111195280207131,,2.399673721481038,,4.071550639366932,North America,1
Honduras,5.306238401680404,2.866877814337499,3.696880371682762,1.1139433523068367,4.883354766093985,North America,0
Jamaica,4.645952531517818,,2.8680563618230415,,4.300204051252466,North America,1
Martinique,4.025756314534414,,1.8325089127062364,,1.9912260756924949,North America,1
Mexico,6.363832267361948,3.629613445378183,5.328477461591901,2.7649229846498886,6.263961844736743,North America,0
Montserrat,1.3010299956639813,,0.0,,1.2787536009528289,North America,1
Nicaragua,3.834738518903841,,2.2576785748691846,,3.625826713285711,North America,1
Panama,5.55789079959237,,3.791830947674836,,5.5455891306986755,North America,1
Saint Barthelemy,2.9703468762300935,,0.0,,2.6646419755561257,North America,1
Saint Kitts and Nevis,1.6434526764861874,,,,1.6434526764861874,North America,0
Saint Lucia,3.6453240015622934,,1.8388490907372552,,3.629919035503542,North America,1
Saint Martin,3.230959555748569,,1.0791812460476249,,3.1458177144918276,North America,1
Saint Pierre and Miquelon,1.3979400086720377,,,,1.380211241711606,North America,0
Saint Vincent and the Grenadines,3.2598326990634834,,1.0,,3.2268575702887237,North America,1
Trinidad and Tobago,3.9607085516885565,,2.1958996524092336,,3.902872785446079,North America,1
Turks and Caicos,3.374565060722765,,1.2304489213782739,,3.3600250891893975,North America,1
USA,7.512370432968335,,5.765263123382259,,7.399769480642536,North America,1
