Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.752778064256677,1.3617278360175928,3.397244581010386,0.0,4.714312991294801,Asia,0
Armenia,5.2897048678372345,3.04766419460156,3.5504729571065634,1.2787536009528289,5.241907412568638,Asia,0
Azerbaijan,5.425407043584862,3.373095987078727,3.5583485087616196,1.380211241711606,5.37986185606476,Asia,0
Bahrain,5.165701237773877,3.0310042813635367,2.7218106152125467,0.6020599913279624,5.136171804942558,Asia,0
Bangladesh,5.795597807977101,3.8344207036815328,3.9616583486377155,1.6989700043360187,5.738313520131654,Asia,0
Bhutan,2.9489017609702137,0.47712125471966244,0.0,,2.9395192526186187,Asia,0
Brunei,2.3283796034387376,,0.47712125471966244,,2.290034611362518,Asia,0
Cambodia,3.4058583993176366,1.8388490907372552,1.2041199826559248,0.3010299956639812,3.0989896394011773,Asia,0
China,4.955331704165462,0.9542425094393249,3.6661434272915585,,4.931468041400868,Asia,0
Cyprus,4.67096907469322,2.848189116991399,2.416640507338281,0.0,3.313234291694724,Asia,0
Georgia,5.451462512153812,2.7234556720351857,3.5795549604009986,1.1139433523068367,5.43763959750037,Asia,0
Hong Kong,4.060697840353612,1.2787536009528289,2.311753861055754,,4.0461438407492265,Asia,0
India,7.093110878299555,4.9494827113021405,5.215217074957576,2.8530895298518657,7.063222988335633,Asia,0
Indonesia,6.182750943483289,3.726319612110775,4.61438039335643,1.9867717342662448,6.133863549861735,Asia,0
Iran,6.280800013394492,4.066698550422995,4.798484905277157,2.0681858617461617,6.213238496893925,Asia,0
Iraq,5.935920706751708,3.7695250201710504,4.158060793936605,1.4771212547196624,5.8854827828521055,Asia,0
Israel,5.921013447950927,2.399673721481038,3.7937903846908188,,5.914293429934884,Asia,0
Japan,5.678935174515616,3.428944290035574,3.963079160641827,1.3617278360175928,5.651001644993451,Asia,0
Jordan,5.794371615036453,3.6788824146707357,3.847510965203248,1.99563519459755,5.720740455389603,Asia,0
Kazakhstan,5.396078983754458,3.317436496535099,3.4874212113594742,1.0791812460476249,5.345073640196616,Asia,0
Kuwait,5.37061300099407,3.0909630765957314,3.1228709228644354,0.9030899869919435,5.3409534675470605,Asia,0
Kyrgyzstan,4.947923619831727,2.2095150145426308,3.1760912590556813,,4.929311616174098,Asia,0
Laos,1.6901960800285136,,,,1.662757831681574,Asia,0
Lebanon,5.676625031397721,3.471731651480051,3.8025000677643934,1.7781512503836436,5.5764979905204815,Asia,0
Macao,1.6812412373755872,,,,1.6812412373755872,Asia,0
Malaysia,5.541544299306567,3.1119342763326814,3.1082266563749283,0.6989700043360189,5.521717192774312,Asia,0
Maldives,4.390016114611894,2.2278867046136734,1.8260748027008264,,4.329763875013317,Asia,0
Mongolia,3.969741976762854,2.6866362692622934,1.0,0.3010299956639812,3.717337582723864,Asia,0
Myanmar,5.153711230841201,,3.505963518018126,,5.119922000412571,Asia,1
Nepal,5.443482035730322,2.2528530309798933,3.4815859363676225,,5.436102191586571,Asia,0
Oman,5.204168838037075,,3.225567713439471,,5.160285410531847,Asia,1
Pakistan,5.831335372143479,3.7188337183038622,4.164739384291432,1.919078092376074,5.783335339078908,Asia,0
Palestine,5.392508776831611,3.3517963068970236,3.425044874551389,1.2041199826559248,5.3369078066062565,Asia,0
Philippines,5.887334241629266,4.184975190698261,4.124504224834283,1.2304489213782739,5.7813014613067395,Asia,0
Qatar,5.259302340312599,2.941511432634403,2.4742162640762553,0.47712125471966244,5.2174918404054305,Asia,0
Saudi Arabia,5.592537593914547,2.862131379313037,3.8250364412213536,0.9030899869919435,5.578493656822049,Asia,0
Singapore,4.7813963051967905,,1.462397997898956,,4.769163080382377,Asia,1
South Korea,5.017842710883694,2.7442929831226763,3.2397998184470986,0.3010299956639812,4.981641955139982,Asia,0
Sri Lanka,4.96908027622572,2.3242824552976926,2.756636108245848,,4.952797284650124,Asia,0
Syria,4.282486162186108,2.0969100130080562,3.1099158630237933,1.146128035678238,4.113174304634361,Asia,0
Taiwan,3.016615547557177,0.47712125471966244,1.0,,2.9943171526696366,Asia,0
Tajikistan,4.124112792196785,,1.954242509439325,,4.121165747534412,Asia,1
Thailand,4.461603561121925,1.7634279935629373,1.9731278535996986,,4.44100348364844,Asia,0
Timor-Leste,2.8305886686851442,1.5314789170422551,,,2.3344537511509307,Asia,0
Turkey,6.5315167245631995,4.626422495681244,4.5036817554213195,2.2528530309798933,6.485645063418335,Asia,0
UAE,5.668329063261967,3.3384564936046046,3.17666993266815,0.47712125471966244,5.653319626537516,Asia,0
Uzbekistan,4.920326854131004,2.2764618041732443,2.7993405494535817,,4.910106570925038,Asia,0
Vietnam,3.4183012913197452,0.47712125471966244,1.5440680443502757,,3.377124042346456,Asia,0
Yemen,3.6646419755561257,1.9493900066449128,2.9618954736678504,1.0,3.2281436075977417,Asia,0
