Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,118004,125,3116,4,82192,Africa,0
Angola,23010,125,547,,21545,Africa,0
Benin,7313,,93,,6452,Africa,1
Botswana,41710,,616,,36958,Africa,1
Burkina Faso,12873,28,150,,12540,Africa,0
Burundi,3017,47,6,,773,Africa,0
Cabo Verde,18214,191,175,2,16811,Africa,0
Cameroon,57337,,851,,51769,Africa,1
Central African Republic,5313,,73,,5024,Africa,1
Chad,4606,3,166,,4236,Africa,0
Comoros,3758,20,146,,3568,Africa,0
DR Congo,28410,33,745,,25841,Africa,0
Djibouti,9306,195,90,5,7225,Africa,0
Egypt,207293,783,12290,37,157450,Africa,0
Equatorial Guinea,7059,,104,,6683,Africa,1
Eritrea,3374,11,10,,3138,Africa,0
Eswatini,17365,7,669,,16631,Africa,0
Ethiopia,221544,2163,3058,33,166135,Africa,0
Gabon,20265,402,124,5,17227,Africa,0
Gambia,5564,,166,,5111,Africa,1
Ghana,91009,63,752,,88810,Africa,0
Guinea,20554,44,131,1,18302,Africa,0
Guinea-Bissau,3663,1,66,,3032,Africa,0
Ivory Coast,44880,26,257,1,43446,Africa,0
Kenya,141365,1523,2276,18,97194,Africa,0
Lesotho,10707,,315,,4471,Africa,1
Liberia,2042,,85,,1899,Africa,1
Libya,165287,969,2772,7,151189,Africa,0
Madagascar,26127,253,469,7,22947,Africa,0
Malawi,33718,33,1125,1,30996,Africa,0
Mali,10841,83,400,4,7033,Africa,0
Mauritania,17974,19,450,,17266,Africa,0
Mauritius,1167,11,12,,707,Africa,0
Mayotte,19408,,167,,2964,Africa,1
Morocco,499688,663,8867,2,486349,Africa,0
Mozambique,68431,139,785,,58063,Africa,0
Namibia,45039,31,548,6,43306,Africa,0
Niger,5052,4,188,,4725,Africa,0
Nigeria,163498,110,2058,,153788,Africa,0
Rwanda,23041,179,314,,20835,Africa,0
Réunion,17508,,123,,16011,Africa,1
Senegal,39164,37,1070,5,37888,Africa,0
Seychelles,4332,12,24,,3869,Africa,0
Sierra Leone,3993,3,79,,2826,Africa,0
Somalia,11978,,576,,5058,Africa,1
South Africa,1553609,756,53111,79,1479821,Africa,0
South Sudan,10297,11,113,,10061,Africa,0
Sudan,30111,,2063,,24214,Africa,1
São Tomé and Príncipe,2255,7,35,,2154,Africa,0
Tanzania,509,,21,,183,Africa,1
Togo,11501,191,113,,8592,Africa,0
Tunisia,264994,1951,9087,48,221545,Africa,0
Uganda,41046,23,337,2,40685,Africa,0
Western Sahara,10,,1,,8,Africa,1
Zambia,89386,315,1224,,85409,Africa,0
Zimbabwe,36984,18,1531,,34803,Africa,0
