Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,6.389178138084918,4.343191884901407,4.754592939762488,2.296665190261531,6.337384376475934,South America,0
Bolivia,5.442307271299053,3.1755118133634475,4.0922292421628566,1.3424226808222062,5.355618156084722,South America,0
Brazil,7.120476236861194,4.958912516596701,5.532877899738165,3.5720579899263045,7.066853393866851,South America,0
Chile,6.018293468903844,3.719497016610582,4.376503960252927,1.792391689498254,5.99133463574353,South America,0
Colombia,6.394384605168197,4.05618042334214,4.811353781049262,2.385606273598312,6.370230067588939,South America,0
Ecuador,5.5309727969067115,3.279210512601395,4.231902649456643,1.724275869600789,5.462867979600676,South America,0
Falkland Islands,1.7781512503836436,0.7781512503836436,,,1.7323937598229686,South America,0
French Guiana,4.238497735307359,,1.9731278535996986,,3.999782798454136,South America,1
Guyana,4.030113752707593,1.9084850188786497,2.3979400086720375,0.47712125471966244,3.97648753730519,South America,0
Paraguay,5.356247730727623,3.376576957056512,3.6612446089593336,1.792391689498254,5.2712140972088335,South America,0
Peru,6.206258495008086,3.968716377466786,4.7301764241634805,2.496929648073215,6.183870889838503,South America,0
Suriname,3.963787827345555,1.2041199826559248,2.250420002308894,,3.9363629195977445,South America,0
Uruguay,5.103759263339861,3.593728998707911,3.090258052931316,1.6020599913279623,4.994919554787319,South America,0
Venezuela,5.2280768274398834,,3.2286569581089353,,5.184870221149957,South America,1
