Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,57019,76,2521,5,51956,Asia,0
Albania,127192,,2291,,95600,Europe,1
Algeria,118004,,3116,,82192,Africa,1
Andorra,12409,46,120,1,11692,Europe,0
Angola,23010,,547,,21545,Africa,1
Anguilla,25,,,,22,North America,0
Antigua and Barbuda,1177,,29,,911,North America,1
Argentina,2450068,,56832,,2174625,South America,1
Armenia,200129,1231,3675,28,179043,Asia,0
Aruba,9834,,92,,9170,North America,1
Australia,29382,5,909,,26326,Australia/Oceania,0
Austria,568914,2906,9586,40,525682,Europe,0
Azerbaijan,279181,2717,3811,31,245881,Asia,0
Bahamas,9296,,189,,8811,North America,1
Bahrain,151931,,547,,141119,Asia,1
Bangladesh,666132,6854,9521,74,565030,Asia,0
Barbados,3697,,44,,3557,North America,1
Belarus,331808,1272,2324,10,322223,Europe,0
Belgium,908212,3539,23301,54,58568,Europe,0
Belize,12485,,318,,12106,North America,1
Benin,7313,,93,,6452,Africa,1
Bermuda,1586,89,14,,835,North America,0
Bhutan,900,,1,,874,Asia,1
Bolivia,277966,1076,12385,19,227812,South America,0
Bosnia and Herzegovina,180831,1583,7216,84,138294,Europe,0
Botswana,41710,,616,,36958,Africa,1
Brazil,13197031,,341097,,11664158,South America,1
British Virgin Islands,178,,1,,159,North America,1
Brunei,216,1,3,,202,Asia,0
Bulgaria,364419,,14034,,278665,Europe,1
Burkina Faso,12873,,150,,12540,Africa,1
Burundi,3017,,6,,773,Africa,1
Cabo Verde,18214,,175,,16811,Africa,1
Cambodia,3028,113,24,2,1914,Asia,0
Cameroon,57337,,851,,51769,Africa,1
Canada,1032945,4904,23201,28,946251,North America,0
Caribbean Netherlands,1478,,14,,1268,North America,1
Cayman Islands,513,,2,,487,North America,1
Central African Republic,5402,37,74,1,5056,Africa,0
Chad,4606,,166,,4236,Africa,1
Channel Islands,4051,,86,,3956,Europe,1
