Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Algeria,34693,,1293,,24083,Africa,True
Angola,1572,,70,,564,Africa,True
Benin,1936,,38,,1600,Africa,True
Botswana,804,,2,,63,Africa,True
Burkina Faso,1175,,54,,974,Africa,True
Burundi,405,,1,,312,Africa,True
Cabo Verde,2835,,32,,2073,Africa,True
Cameroon,18042,,395,,15320,Africa,True
Central African Republic,4641,,59,,1716,Africa,True
Chad,942,,76,,839,Africa,True
Comoros,399,,7,,369,Africa,True
DR Congo,9454,18,224,6,8324,Africa,True
Djibouti,5338,,59,,5083,Africa,True
Egypt,95314,,4992,,51672,Africa,True
Equatorial Guinea,4821,,83,,2182,Africa,True
Eritrea,285,,,,245,Africa,False
Eswatini,3128,,56,,1565,Africa,True
Ethiopia,22253,,390,,9707,Africa,True
Gabon,7923,,51,,5704,Africa,True
Gambia,1090,,19,,146,Africa,True
Ghana,41003,470,215,9,38330,Africa,True
Guinea,7875,,50,,6828,Africa,True
Guinea-Bissau,2052,,29,,944,Africa,True
Ivory Coast,16620,,104,,12893,Africa,True
Kenya,25837,,418,,11899,Africa,True
Lesotho,742,,23,,175,Africa,True
Liberia,1234,,79,,714,Africa,True
Libya,5232,,113,,691,Africa,True
Madagascar,13086,164,148,7,10816,Africa,True
Malawi,4624,,143,,2329,Africa,True
Mali,2565,,125,,1960,Africa,True
Mauritania,6510,,157,,5527,Africa,True
Mauritius,344,,10,,334,Africa,True
Mayotte,3068,,39,,2835,Africa,True
Morocco,32007,,480,,22190,Africa,True
Mozambique,2269,28,16,,840,Africa,False
Namibia,2802,,16,,575,Africa,True
Niger,1157,,69,,1057,Africa,True
Nigeria,46140,,942,,33044,Africa,True
Rwanda,2134,,6,,1300,Africa,True
Réunion,681,,5,,631,Africa,True
Senegal,11175,172,232,3,7352,Africa,True
Seychelles,126,,,,125,Africa,False
Sierra Leone,1895,,68,,1442,Africa,True
Somalia,3227,,93,,1728,Africa,True
South Africa,553188,,10210,,404568,Africa,True
South Sudan,2463,,47,,1175,Africa,True
Sudan,11894,,773,,6243,Africa,True
São Tomé and Príncipe,878,,15,,800,Africa,True
Tanzania,509,,21,,183,Africa,True
Togo,1046,,23,,721,Africa,True
Tunisia,1678,,51,,1259,Africa,True
Uganda,1267,,6,,1115,Africa,True
Western Sahara,10,,1,,8,Africa,True
Zambia,8085,182,235,32,6698,Africa,True
Zimbabwe,4575,,102,,1416,Africa,True
