Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Algeria,4.54024185611511,,3.111598524880394,,4.381710585671034,Africa,True
Angola,3.196452541703389,,1.845098040014257,,2.751279103983342,Africa,True
Benin,3.286905352972375,,1.5797835966168101,,3.2041199826559246,Africa,True
Botswana,2.905256048748451,,0.3010299956639812,,1.7993405494535817,Africa,True
Burkina Faso,3.070037866607755,,1.7323937598229686,,2.9885589568786157,Africa,True
Burundi,2.6074550232146687,,0.0,,2.494154594018443,Africa,True
Cabo Verde,3.452553063228925,,1.505149978319906,,3.3165993020938607,Africa,True
Cameroon,4.256284678484161,,2.59659709562646,,4.185258765296585,Africa,True
Central African Republic,3.66661156841903,,1.7708520116421442,,3.2345172835126865,Africa,True
Chad,2.9740509027928774,,1.8808135922807914,,2.9237619608287004,Africa,True
Comoros,2.6009728956867484,,0.8450980400142568,,2.56702636615906,Africa,True
DR Congo,3.975615597966895,1.255272505103306,2.3502480183341627,0.7781512503836436,3.9203320715395895,Africa,True
Djibouti,3.727378569451489,,1.7708520116421442,,3.7061201097027037,Africa,True
Egypt,4.979156695771502,,3.6982745766743674,,4.713255271535093,Africa,True
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,True
Eritrea,2.45484486000851,,,,2.3891660843645326,Africa,False
Eswatini,3.4952667443878105,,1.7481880270062005,,3.194514341882467,Africa,True
Ethiopia,4.34738856792903,,2.591064607026499,,3.987085029624122,Africa,True
Gabon,3.8988896559265864,,1.7075701760979363,,3.756179516843809,Africa,True
Gambia,3.037426497940624,,1.2787536009528289,,2.164352855784437,Africa,True
Ghana,4.612815633202213,2.6720978579357175,2.3324384599156054,0.9542425094393249,4.583538819254352,Africa,True
Guinea,3.896250562461638,,1.6989700043360187,,3.834293512442696,Africa,True
Guinea-Bissau,3.3121773564397787,,1.462397997898956,,2.974971994298069,Africa,True
Ivory Coast,4.220631019448092,,2.0170333392987803,,4.1103539826640025,Africa,True
Kenya,4.412242085209914,,2.621176281775035,,4.075510464524414,Africa,True
Lesotho,2.870403905279027,,1.3617278360175928,,2.2430380486862944,Africa,True
Liberia,3.091315159697223,,1.8976270912904414,,2.8536982117761744,Africa,True
Libya,3.718667735316211,,2.0530784434834195,,2.8394780473741985,Africa,True
Madagascar,4.116806915962344,2.214843848047698,2.1702617153949575,0.8450980400142568,4.0340666785975605,Africa,True
Malawi,3.665017825412473,,2.155336037465062,,3.367169488534681,Africa,True
Mali,3.409087369447835,,2.0969100130080562,,3.292256071356476,Africa,True
Mauritania,3.813580988568192,,2.1958996524092336,,3.7424894645817752,Africa,True
Mauritius,2.53655844257153,,1.0,,2.5237464668115646,Africa,True
Mayotte,3.4868553552769432,,1.591064607026499,,3.452553063228925,Africa,True
Morocco,4.505244969848502,,2.681241237375587,,4.346157302232008,Africa,True
Mozambique,3.355834495884936,1.4471580313422192,1.2041199826559248,,2.9242792860618816,Africa,False
Namibia,3.4474681309497557,,1.2041199826559248,,2.7596678446896306,Africa,True
Niger,3.0633333589517497,,1.8388490907372552,,3.024074987307426,Africa,True
Nigeria,4.664077590185075,,2.9740509027928774,,4.519092613490356,Africa,True
Rwanda,3.329194415088451,,0.7781512503836436,,3.113943352306837,Africa,True
Réunion,2.833147111912785,,0.6989700043360189,,2.8000293592441343,Africa,True
Senegal,4.048247531803974,2.2355284469075487,2.3654879848909,0.47712125471966244,3.8664054983780547,Africa,True
Seychelles,2.100370545117563,,,,2.0969100130080562,Africa,False
Sierra Leone,3.2776092143040914,,1.8325089127062364,,3.15896526038341,Africa,True
Somalia,3.508798965403905,,1.968482948553935,,3.2375437381428744,Africa,True
South Africa,5.742872750630498,,4.00902574208691,,5.6069915285261684,Africa,True
South Sudan,3.3914644118391033,,1.6720978579357175,,3.070037866607755,Africa,True
Sudan,4.0753279341632584,,2.888179493918325,,3.795393334931289,Africa,True
São Tomé and Príncipe,2.9434945159061026,,1.1760912590556813,,2.9030899869919438,Africa,True
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,True
Togo,3.0195316845312554,,1.3617278360175928,,2.857935264719429,Africa,True
Tunisia,3.2247919564926817,,1.7075701760979363,,3.1000257301078626,Africa,True
Uganda,3.1027766148834415,,0.7781512503836436,,3.0472748673841794,Africa,True
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,True
Zambia,3.90768002424242,2.2600713879850747,2.3710678622717363,1.505149978319906,3.8259451432038483,Africa,True
Zimbabwe,3.6603910984024672,,2.0086001717619175,,3.15106325335375,Africa,True
