Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Argentina,246499,,4606,,108242,South America,True
Bolivia,89999,944,3640,53,29808,South America,True
Brazil,3035582,,101136,,2118460,South America,True
Chile,373056,,10077,,345826,South America,True
Colombia,387481,,12842,,212688,South America,True
Ecuador,94459,,5922,,78552,South America,True
Falkland Islands,13,,,,13,South America,False
French Guiana,8267,,48,,7501,South America,True
Guyana,568,,22,,189,South America,True
Paraguay,6907,,75,,5222,South America,True
Peru,478024,,21072,,324020,South America,True
Suriname,2391,,29,,1635,South America,True
Uruguay,1353,,37,,1125,South America,True
Venezuela,25805,,223,,13356,South America,True
