Country,AllCases,NewCases,AllDeaths,NewDeaths,AllRecovered,Continent,Accuracy*
Afghanistan,37269,107,1344,16,26415,Asia,True
Albania,6536,,200,,3379,Europe,True
Algeria,35712,,1312,,24920,Africa,True
Andorra,963,,52,,839,Europe,True
Angola,1679,,78,,569,Africa,True
Anguilla,3,,,,3,North America,False
Antigua and Barbuda,92,,3,,76,North America,True
Argentina,253868,,4764,,174974,South America,True
Armenia,40593,160,803,7,33157,Asia,True
Aruba,630,,3,,114,North America,True
Australia,21713,316,331,18,12144,Australia/Oceania,True
Austria,22245,139,723,,20123,Europe,True
Azerbaijan,33647,,492,,30642,Asia,True
Bahamas,945,,15,,113,North America,True
Bahrain,44397,,163,,41209,Asia,True
Bangladesh,263503,2996,3471,33,151972,Asia,True
Barbados,142,,7,,112,North America,True
Belarus,69005,58,592,3,65219,Europe,False
Belgium,74620,468,9879,7,17792,Europe,True
Belize,177,23,2,,32,North America,True
Benin,1936,,38,,1600,Africa,True
Bermuda,158,,9,,144,North America,True
Bhutan,113,3,,,97,Asia,False
Bolivia,91635,1636,3712,72,30823,South America,True
Bosnia and Herzegovina,14498,,425,,8159,Europe,True
Botswana,1066,,2,,80,Africa,True
Brazil,3057470,,101857,,2163812,South America,True
British Virgin Islands,9,,1,,7,North America,True
Brunei,142,,3,,138,Asia,False
Bulgaria,13512,,459,,7980,Europe,True
Burkina Faso,1204,,54,,984,Africa,True
Burundi,408,,1,,315,Africa,True
Cabo Verde,2883,,32,,2128,Africa,True
Cambodia,266,15,,,220,Asia,False
Cameroon,18042,,395,,15320,Africa,True
Canada,120132,,8987,,106355,North America,False
Caribbean Netherlands,13,,,,7,North America,False
Cayman Islands,203,,1,,202,North America,True
Central African Republic,4641,,60,,1721,Africa,True
Chad,945,,76,,843,Africa,True
Channel Islands,599,,47,,545,Europe,True
Chile,375044,,10139,,347342,South America,True
China,84712,44,4634,,79284,Asia,True
Colombia,397623,,13154,,221485,South America,True
Comoros,399,,7,,369,Africa,True
Costa Rica,23872,,244,,7823,North America,True
Croatia,5649,,158,,4906,Europe,True
Cuba,3046,,88,,2460,North America,True
Curaçao,32,,1,,30,North America,True
Cyprus,1252,,19,,870,Asia,True
Czechia,18494,,390,,12983,Europe,True
DR Congo,9499,10,225,1,8375,Africa,False
Denmark,14815,,620,,12925,Europe,True
Djibouti,5347,,59,,5120,Africa,True
Dominica,18,,,,18,North America,False
Dominican Republic,80499,,1328,,44910,North America,True
Ecuador,94701,,5932,,78608,South America,True
Egypt,95666,,5035,,53779,Africa,True
El Salvador,21269,397,570,7,9875,North America,True
Equatorial Guinea,4821,,83,,2182,Africa,True
Eritrea,285,,,,248,Africa,False
Estonia,2167,9,63,,1968,Europe,True
Eswatini,3309,,61,,1634,Africa,True
Ethiopia,23591,,420,,10411,Africa,True
Falkland Islands,13,,,,13,South America,False
Faroe Islands,318,12,,,225,Europe,False
Fiji,27,,1,,18,Australia/Oceania,True
Finland,7623,22,333,,6980,Europe,True
France,202775,,30340,,82836,Europe,False
French Guiana,8324,,49,,7549,South America,True
French Polynesia,112,,,,62,Australia/Oceania,False
Gabon,8006,,51,,5823,Africa,True
Gambia,1235,,23,,221,Africa,True
Georgia,1264,14,17,,1054,Asia,True
Germany,218500,,9265,,198900,Europe,True
Ghana,41212,,215,,38727,Africa,True
Gibraltar,201,,,,186,Europe,False
Greece,5749,,213,,3804,Europe,True
Greenland,14,,,,14,North America,False
Grenada,24,,,,23,North America,False
Guadeloupe,317,,14,,186,North America,True
Guatemala,56987,,2222,,45589,North America,True
Guinea,7930,,50,,6898,Africa,True
Guinea-Bissau,2052,,29,,944,Africa,True
Guyana,568,,22,,189,South America,True
Haiti,7649,15,183,,4982,North America,True
Honduras,47872,418,1506,11,6649,North America,True
Hong Kong,4182,33,58,3,3052,Asia,True
Hungary,4746,15,605,,3527,Europe,True
Iceland,1962,,10,,1838,Europe,True
India,2271034,3881,45383,30,1583652,Asia,True
Indonesia,128776,1693,5824,59,83710,Asia,True
Iran,331189,2345,18800,184,288620,Asia,True
Iraq,153599,,5464,,109790,Asia,True
Ireland,26768,,1772,,23364,Europe,True
Isle of Man,336,,24,,312,Europe,True
Israel,85354,632,619,6,60019,Asia,True
Italy,250825,,35209,,202248,Europe,True
Ivory Coast,16798,,105,,13052,Africa,True
Jamaica,1031,8,14,,745,North America,True
Japan,47990,,1047,,33058,Asia,True
Jordan,1268,,11,,1187,Asia,True
Kazakhstan,100164,722,1269,23,73702,Asia,True
Kenya,26928,,423,,13495,Africa,True
Kuwait,72400,,482,,64028,Asia,True
Kyrgyzstan,40455,278,1478,4,32734,Asia,True
Laos,20,,,,19,Asia,False
Latvia,1293,3,32,,1078,Europe,True
Lebanon,6812,,80,,2290,Asia,True
Lesotho,781,,24,,175,Africa,True
Liberia,1240,,79,,725,Africa,True
Libya,5929,,125,,724,Africa,True
Liechtenstein,89,,1,,85,Europe,True
Lithuania,2283,18,81,,1679,Europe,True
Luxembourg,7216,,121,,6170,Europe,True
Macao,46,,,,46,Asia,False
Madagascar,13317,115,152,1,11276,Africa,False
Malawi,4674,,146,,2430,Africa,True
Malaysia,9103,9,125,,8809,Asia,True
Maldives,5157,,20,1,2835,Asia,True
Mali,2573,,125,,1969,Africa,True
Malta,1141,29,9,,692,Europe,True
Martinique,336,,16,,98,North America,True
Mauritania,6555,,157,,5570,Africa,True
Mauritius,344,,10,,334,Africa,True
Mayotte,3068,,39,,2835,Africa,True
Mexico,485836,5558,53003,705,327993,North America,True
Moldova,27841,,850,,19300,Europe,True
Monaco,133,,4,,113,Europe,True
Mongolia,293,,,,263,Asia,False
Montenegro,3696,,68,,2521,Europe,True
Montserrat,13,,1,,12,North America,True
Morocco,34063,,516,,24524,Africa,True
Mozambique,2411,,16,,860,Africa,True
Myanmar,360,,6,,312,Asia,True
Namibia,3101,,19,,715,Africa,True
Nepal,23948,638,83,4,16664,Asia,False
Netherlands,59194,,6157,,N/A,Europe,False
New Caledonia,23,,,,22,Australia/Oceania,False
New Zealand,1570,1,22,,1526,Australia/Oceania,True
Nicaragua,3902,,123,,2913,North America,True
Niger,1158,,69,,1062,Africa,True
