Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Accuracy*
Afghanistan,37269,107,1344,16,26415,Asia,1
Armenia,40593,160,803,7,33157,Asia,1
Azerbaijan,33647,,492,,30642,Asia,1
Bahrain,44397,,163,,41209,Asia,1
Bangladesh,263503,2996,3471,33,151972,Asia,1
Bhutan,113,3,,,97,Asia,0
Brunei,142,,3,,138,Asia,0
Cambodia,266,15,,,220,Asia,0
China,84712,44,4634,,79284,Asia,1
Cyprus,1252,,19,,870,Asia,1
Georgia,1264,14,17,,1054,Asia,1
Hong Kong,4182,33,58,3,3052,Asia,1
India,2271034,3881,45383,30,1583652,Asia,1
Indonesia,128776,1693,5824,59,83710,Asia,1
Iran,331189,2345,18800,184,288620,Asia,1
Iraq,153599,,5464,,109790,Asia,1
Israel,85354,632,619,6,60019,Asia,1
Japan,47990,,1047,,33058,Asia,1
Jordan,1268,,11,,1187,Asia,1
Kazakhstan,100164,722,1269,23,73702,Asia,1
Kuwait,72400,,482,,64028,Asia,1
Kyrgyzstan,40455,278,1478,4,32734,Asia,1
Laos,20,,,,19,Asia,0
Lebanon,6812,,80,,2290,Asia,1
Macao,46,,,,46,Asia,0
Malaysia,9103,9,125,,8809,Asia,1
Maldives,5157,,20,1,2835,Asia,1
Mongolia,293,,,,263,Asia,0
Myanmar,360,,6,,312,Asia,1
Nepal,23948,638,83,4,16664,Asia,1
Oman,82050,263,533,12,76720,Asia,1
Pakistan,285191,531,6112,15,261246,Asia,1
Palestine,14510,,102,2,8045,Asia,1
Philippines,139538,2987,2312,19,68432,Asia,1
Qatar,113262,,188,,109993,Asia,1
Saudi Arabia,289947,,3199,,253478,Asia,1
Singapore,55353,61,27,,49609,Asia,1
South Korea,14660,34,305,,13729,Asia,1
Sri Lanka,2875,4,11,,2622,Asia,1
Syria,1255,,52,,364,Asia,1
Taiwan,480,,7,,443,Asia,1
Tajikistan,7827,,62,,6614,Asia,1
Thailand,3351,,58,,3163,Asia,1
Timor-Leste,25,,,,24,Asia,0
Turkey,241997,,5858,,224970,Asia,1
UAE,62966,262,358,1,56961,Asia,1
Uzbekistan,31545,241,202,2,22992,Asia,1
Vietnam,862,15,15,,399,Asia,0
Yemen,1832,,518,,915,Asia,1
