Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable*
Afghanistan,4.570099078991958,,3.1231980750319988,,4.418765174994478,Asia,True
Armenia,4.606735965798419,,2.900913067737669,,4.5134306984441,Asia,True
Azerbaijan,4.526946348157999,,2.69196510276736,,4.4863171082391835,Asia,True
Bahrain,4.647353624901466,,2.2121876044039577,,4.614992075826426,Asia,True
Bangladesh,5.415819397579991,,3.5363058723510337,,5.177354664178462,Asia,True
Bhutan,2.041392685158225,,,,1.9822712330395684,Asia,False
Brunei,2.1522883443830563,,0.47712125471966244,,2.1398790864012365,Asia,False
Cambodia,2.399673721481038,,,,2.3404441148401185,Asia,False
China,4.927944935296962,1.6434526764861874,3.6659560294539566,,4.8991855528559425,Asia,True
Cyprus,3.097604328874411,,1.2787536009528289,,2.9395192526186187,Asia,True
Georgia,3.0969100130080562,,1.2304489213782739,,3.0043213737826426,Asia,True
Hong Kong,3.617943434828973,,1.7403626894942439,,3.4647875196459372,Asia,True
India,6.355480829704627,,4.656606019959583,,6.199107639841027,Asia,True
Indonesia,5.104087458500619,,3.7607993116307177,,4.91506197786502,Asia,True
Iran,5.51698992224617,,4.269886370278673,,5.457339825390868,Asia,True
Iraq,5.186388388248256,,3.737510690673476,,5.0405627850813115,Asia,True
Israel,4.927996199444937,,2.787460474518415,,4.770837289545772,Asia,True
Japan,4.681150749932422,,3.0199466816788423,,4.519276575332284,Asia,True
Jordan,3.1031192535457137,,1.0413926851582251,,3.074450718954591,Asia,True
Kazakhstan,4.997569850350293,,3.024485667699167,,4.860475760901927,Asia,True
Kuwait,4.859738566197147,,2.6830470382388496,,4.806369936268499,Asia,True
Kyrgyzstan,4.6029818879334075,,3.1684974835230326,,4.506856655023323,Asia,True
Laos,1.3010299956639813,,,,1.2787536009528289,Asia,False
Lebanon,3.8332746392905634,,1.9030899869919435,,3.359835482339888,Asia,True
Macao,1.662757831681574,,,,1.662757831681574,Asia,False
Malaysia,3.9587549498690895,,2.0969100130080562,,3.944630701856278,Asia,True
Maldives,3.712397131406715,,1.2787536009528289,,3.452553063228925,Asia,True
Mongolia,2.4668676203541096,,,,2.419955748489758,Asia,False
Myanmar,2.5563025007672873,,0.7781512503836436,,2.494154594018443,Asia,True
Nepal,4.367542273520577,,1.8976270912904414,,4.217299658976496,Asia,True
Oman,4.912684278280838,,2.7168377232995247,,4.881521600585636,Asia,True
Pakistan,5.454326445019286,,3.78511619502192,,5.41624763429714,Asia,True
Palestine,4.161667412437736,,2.0,,3.9055260484350485,Asia,True
Philippines,5.135571496529058,,3.360593413565249,,4.8335232100205605,Asia,True
Qatar,5.054084226205352,,2.27415784926368,,5.041365047357256,Asia,True
Saudi Arabia,5.462318619584714,,3.505014240084107,,5.403940271782891,Asia,True
Singapore,4.742662299348295,,1.4313637641589874,,4.695560472775774,Asia,True
South Korea,4.1661339703051095,1.5314789170422551,2.484299839346786,,4.137638905022756,Asia,True
Sri Lanka,3.458033192496506,,1.0413926851582251,,3.4138025167693513,Asia,True
Syria,3.098643725817057,,1.7160033436347992,,2.561101383649056,Asia,True
Taiwan,2.681241237375587,,0.8450980400142568,,2.6464037262230695,Asia,True
Tajikistan,3.893595333819883,,1.792391689498254,,3.820464190577684,Asia,True
Thailand,3.5251744278352715,,1.7634279935629373,,3.499687082618404,Asia,True
Timor-Leste,1.3979400086720377,,,,1.380211241711606,Asia,False
Turkey,5.383809982131169,,3.76774936734558,,5.352124608319704,Asia,True
UAE,4.797295246134027,,2.552668216112193,,4.754088292866754,Asia,True
Uzbekistan,4.495599834892624,,2.3010299956639813,,4.36157675079015,Asia,True
Vietnam,2.9278834103307068,,1.1760912590556813,,2.6009728956867484,Asia,True
Yemen,3.2629254693318317,,2.714329759745233,,2.9614210940664485,Asia,True
