Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,92,,3,,76,North America,1
Aruba,630,,3,,114,North America,1
Bahamas,945,,15,,113,North America,1
Barbados,143,1,7,,112,North America,1
Belize,177,23,2,,32,North America,1
Bermuda,159,1,9,,144,North America,1
British Virgin Islands,9,,1,,7,North America,1
Canada,120132,,8987,,106355,North America,0
Caribbean Netherlands,13,,,,7,North America,0
Cayman Islands,203,,1,,202,North America,1
Costa Rica,23872,,244,,7823,North America,1
Cuba,3046,,88,,2460,North America,1
Curaçao,32,,1,,30,North America,1
Dominica,18,,,,18,North America,0
Dominican Republic,81094,595,1346,18,45666,North America,1
El Salvador,21269,397,570,7,9875,North America,1
Greenland,14,,,,14,North America,0
Grenada,24,,,,23,North America,0
Guadeloupe,317,,14,,186,North America,1
Guatemala,56987,,2222,,45589,North America,1
Haiti,7649,15,183,,4982,North America,1
Honduras,47872,418,1506,11,6649,North America,1
Jamaica,1031,8,14,,745,North America,1
Martinique,336,,16,,98,North America,1
Mexico,485836,5558,53003,705,327993,North America,1
Montserrat,13,,1,,12,North America,1
Nicaragua,3902,,123,,2913,North America,1
Panama,75394,,1664,,49510,North America,1
Saint Barthelemy,13,,,,6,North America,0
Saint Kitts and Nevis,17,,,,17,North America,0
Saint Lucia,25,,,,25,North America,0
Saint Martin,84,6,3,,44,North America,1
Saint Pierre and Miquelon,4,,,,1,North America,0
Saint Vincent and the Grenadines,57,,,,52,North America,0
Trinidad and Tobago,295,14,8,,139,North America,1
Turks and Caicos,216,,2,,39,North America,1
USA,5262907,11461,166682,490,2717642,North America,0
