Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable*
Argentina,5.404607961609179,,3.67797175281074,,5.24297352014103,South America,True
Bolivia,4.962061384187691,3.2137832993353044,3.5696079675468244,1.8573324964312685,4.488874906285025,South America,True
Brazil,6.4853622044169486,,5.007990880728511,,6.335219524960683,South America,True
Chile,5.5740822219576724,,4.005995123054691,,5.54075730063123,South America,True
Colombia,5.599471497667389,,4.119057837523237,,5.345344319101676,South America,True
Ecuador,4.976354564982037,,3.7732011423563443,,4.8954667467907464,South America,True
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,False
French Guiana,3.9203320715395895,,1.6901960800285136,,3.877889425371484,South America,True
Guyana,2.754348335711019,,1.3424226808222062,,2.2764618041732443,South America,True
Paraguay,3.859378504425601,,1.9138138523837167,,3.7223047868743278,South America,True
Peru,5.68406670262507,,4.327889981648543,,5.517728868565916,South America,True
Suriname,3.3960248966085933,,1.4771212547196624,,3.2237554536572413,South America,True
Uruguay,3.13481437032046,,1.568201724066995,,3.059184617631371,South America,True
Venezuela,4.4281347940287885,,2.359835482339888,,4.228656958108935,South America,True
