Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
Afghanistan,37269,107,1344,16,26415,Asia,1
Armenia,40593,160,803,7,33157,Asia,1
Azerbaijan,33731,84,495,3,30856,Asia,1
Bahrain,44397,,165,2,41209,Asia,1
Bangladesh,263503,2996,3471,33,151972,Asia,1
Bhutan,113,3,,,97,Asia,0
Brunei,142,,3,,138,Asia,0
Cambodia,266,15,,,220,Asia,0
China,84712,44,4634,,79284,Asia,1
Cyprus,1252,,19,,870,Asia,1
Georgia,1264,14,17,,1054,Asia,1
Hong Kong,4182,33,58,3,3052,Asia,1
India,2325026,57873,46185,832,1635812,Asia,1
Indonesia,128776,1693,5824,59,83710,Asia,1
Iran,331189,2345,18800,184,288620,Asia,1
Iraq,156995,3396,5531,67,112102,Asia,1
Israel,85354,632,619,6,60019,Asia,1
Japan,47990,,1047,,33058,Asia,1
Jordan,1283,15,11,,1189,Asia,1
Kazakhstan,100164,722,1269,23,73702,Asia,1
Kuwait,73068,668,486,4,64759,Asia,1
Kyrgyzstan,40455,278,1478,4,32734,Asia,1
Laos,20,,,,19,Asia,0
Lebanon,7121,309,87,7,2290,Asia,0
Macao,46,,,,46,Asia,0
Malaysia,9103,9,125,,8809,Asia,1
Maldives,5157,,20,1,2835,Asia,1
Mongolia,293,,,,263,Asia,0
Myanmar,360,,6,,313,Asia,1
Nepal,23948,638,83,4,16664,Asia,1
Oman,82050,263,533,12,76720,Asia,1
Pakistan,285191,531,6112,15,261246,Asia,1
Palestine,14875,365,103,3,8181,Asia,1
Philippines,139538,2987,2312,19,68432,Asia,1
Qatar,113646,384,188,,110324,Asia,1
Saudi Arabia,291468,1521,3233,34,255118,Asia,1
Singapore,55353,,27,,50128,Asia,1
South Korea,14660,34,305,,13729,Asia,1
Sri Lanka,2880,9,11,,2622,Asia,1
Syria,1255,,52,,364,Asia,1
Taiwan,480,,7,,443,Asia,1
Tajikistan,7871,44,63,1,6653,Asia,1
Thailand,3351,,58,,3163,Asia,1
Timor-Leste,25,,,,24,Asia,0
Turkey,243180,1183,5873,15,226155,Asia,0
UAE,62966,262,358,1,56961,Asia,1
Uzbekistan,31747,443,204,4,23704,Asia,1
Vietnam,863,16,16,1,399,Asia,1
Yemen,1832,,518,,915,Asia,1
