Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
Albania,6676,140,205,5,3480,Europe,1
Andorra,963,,52,,839,Europe,1
Austria,22245,139,723,,20123,Europe,1
Belarus,69005,58,592,3,65219,Europe,1
Belgium,74620,468,9879,7,17792,Europe,1
Bosnia and Herzegovina,14708,210,447,22,8411,Europe,1
Bulgaria,13512,,459,,7980,Europe,1
Channel Islands,599,,47,,545,Europe,1
Croatia,5740,91,160,2,4962,Europe,1
Czechia,18678,184,391,1,13214,Europe,1
Denmark,14959,144,621,1,12988,Europe,1
Estonia,2167,9,63,,1968,Europe,1
Faroe Islands,318,12,,,225,Europe,0
Finland,7623,22,333,,6980,Europe,1
France,202775,,30340,,82836,Europe,0
Germany,219229,729,9267,2,198900,Europe,1
Gibraltar,202,1,,,187,Europe,0
Greece,5942,193,214,1,3804,Europe,1
Hungary,4746,15,605,,3527,Europe,1
Iceland,1968,6,10,,1844,Europe,1
Ireland,26801,33,1773,1,23364,Europe,0
Isle of Man,336,,24,,312,Europe,1
Italy,251237,412,35215,6,202461,Europe,1
Latvia,1293,3,32,,1078,Europe,1
Liechtenstein,89,,1,,87,Europe,1
Lithuania,2283,18,81,,1679,Europe,1
Luxembourg,7216,,121,,6170,Europe,1
Malta,1141,29,9,,692,Europe,1
Moldova,28223,382,857,7,19740,Europe,1
Monaco,133,,4,,113,Europe,1
Montenegro,3696,,68,,2521,Europe,1
Netherlands,59973,779,6159,2,N/A,Europe,0
North Macedonia,12083,141,529,1,8248,Europe,1
Norway,9712,28,256,,8857,Europe,1
Poland,52961,551,1821,12,37150,Europe,1
Portugal,52945,120,1761,2,38760,Europe,1
Romania,63762,1215,2764,35,30585,Europe,1
Russia,897599,4945,15131,130,703175,Europe,1
San Marino,699,,42,,657,Europe,1
Serbia,28497,235,652,6,18965,Europe,1
Slovakia,2615,16,31,,1874,Europe,1
Slovenia,2272,17,129,1,1960,Europe,1
Spain,373692,3632,28581,5,N/A,Europe,0
Sweden,83126,,5770,5,N/A,Europe,0
Switzerland,36895,187,1990,3,32400,Europe,1
UK,311641,,46526,,N/A,Europe,0
Ukraine,83115,1158,1951,29,44934,Europe,1
Vatican City,12,,,,12,Europe,0
