Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,5.416492389328643,,3.7065471026403576,1.9242792860618816,5.272498357507291,South America,1
Bolivia,4.97001195908594,3.2286569581089353,3.575303333422399,1.6901960800285136,4.5017847633885,South America,1
Brazil,6.4930944298842475,,5.013254452901479,,6.350853282065912,South America,1
Chile,5.575898766461594,,4.007662446537275,,5.5434981243718875,South America,1
Colombia,5.613263434270903,,4.129528773858777,,5.362533365653942,South America,1
Ecuador,4.9802897750564386,,3.7745899502647946,,4.895477796275714,South America,1
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,0
French Guiana,3.9222062774390163,,1.6901960800285136,,3.8826383616960385,South America,1
Guyana,2.7795964912578244,,1.3424226808222062,,2.2764618041732443,South America,1
Paraguay,3.876160084825628,,1.9344984512435677,,3.7264011621029223,South America,1
Peru,5.689912366491131,,4.332458659189203,,5.526023782304591,South America,1
Suriname,3.4080702858871854,,1.591064607026499,,3.2335037603411343,South America,1
Uruguay,3.1414497734004674,,1.568201724066995,,3.0633333589517497,South America,1
Venezuela,4.446195313014636,,2.376576957056512,,4.294598478453708,South America,1
