Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.572232463774745,,3.1316186643491255,,4.426413656131688,Asia,1
Armenia,4.610596291557755,,2.906335041805091,,4.524941082536256,Asia,1
Azerbaijan,4.529224965627332,,2.696356388733332,,4.4921734856188795,Asia,1
Bahrain,4.655752930112915,,2.220108088040055,,4.62155015432547,Asia,1
Bangladesh,5.425693954104719,,3.5456781497920256,,5.184943986185343,Asia,1
Bhutan,2.0644579892269186,,,,1.9867717342662448,Asia,0
Brunei,2.1522883443830563,,0.47712125471966244,,2.1398790864012365,Asia,0
Cambodia,2.4345689040341987,0.6020599913279624,,,2.3483048630481607,Asia,0
China,4.928170452298792,1.2787536009528289,3.6659560294539566,,4.899809562881713,Asia,1
Cyprus,3.1109262422664203,,1.3010299956639813,,2.9395192526186187,Asia,1
Georgia,3.1065308538223815,,1.2304489213782739,,3.024485667699167,Asia,1
Hong Kong,3.627775375229303,,1.7993405494535817,,3.5036545192429593,Asia,1
India,6.379390917579382,,4.673371152066327,,6.229389996660619,Asia,1
Indonesia,5.116335394485093,,3.7710727832211948,,4.933477164316218,Asia,1
Iran,5.5233549052009945,,4.278479223046323,,5.462763250654109,Asia,1
Iraq,5.205301825588448,,3.7472563974421442,,5.058960970401076,Asia,1
Israel,4.945227243374065,,2.8055008581584002,,4.793154536845323,Asia,1
Japan,4.700790221374347,,3.024895960107485,,4.54267607366537,Asia,1
Jordan,3.1149444157125847,,1.0413926851582251,,3.084576277934331,Asia,1
Kazakhstan,5.005918014911205,2.7134905430939424,3.103461622094705,,4.885112334182353,Asia,1
Kuwait,4.867968081615013,,2.6893088591236203,,4.8159162863514675,Asia,1
Kyrgyzstan,4.610223520285089,,3.171433900943008,,4.518474456766636,Asia,1
Laos,1.3010299956639813,,,,1.2787536009528289,Asia,0
Lebanon,3.869994000121742,,1.9493900066449128,,3.38147609027503,Asia,1
Macao,1.662757831681574,,,,1.662757831681574,Asia,0
Malaysia,3.95970902424643,,2.0969100130080562,,3.945320840792275,Asia,1
Maldives,3.7296506683359203,,1.3222192947339193,,3.4599952560473914,Asia,1
Mongolia,2.4727564493172123,0.6020599913279624,,,2.429752280002408,Asia,0
Myanmar,2.5575072019056577,,0.7781512503836436,,2.5024271199844326,Asia,1
Nepal,4.387959019712346,,1.9590413923210936,,4.223444019809615,Asia,1
Oman,4.9153945582120215,,2.7315887651867388,,4.886896628970359,Asia,1
Pakistan,5.457388306240644,2.8767949762007006,3.788097633380297,1.0,5.421702618946589,Asia,0
Palestine,4.181386195083218,,2.0211892990699383,,3.922673567858554,Asia,1
Philippines,5.157604832172155,,3.3809344633307017,,4.838830207957979,Asia,1
Qatar,5.056668591840101,,2.278753600952829,,5.043861135286558,Asia,1
Saudi Arabia,5.466922459539525,,3.514414920580369,,5.410387458421633,Asia,1
Singapore,4.74347056670666,,1.4313637641589874,,4.703463341883293,Asia,1
South Korea,4.169380495311949,1.7481880270062005,2.484299839346786,,4.140413757591074,Asia,1
Sri Lanka,3.459543258280413,,1.0413926851582251,,3.4212747912103465,Asia,1
Syria,3.1228709228644354,,1.724275869600789,,2.5854607295085006,Asia,1
Taiwan,2.682145076373832,,0.8450980400142568,,2.6532125137753435,Asia,1
Tajikistan,3.898286278589123,,1.7993405494535817,,3.8258154449852038,Asia,1
Thailand,3.526210003841664,0.47712125471966244,1.7634279935629373,,3.5009222391903005,Asia,0
Timor-Leste,1.3979400086720377,,,,1.380211241711606,Asia,0
Turkey,5.388086985479191,,3.7701890227359933,,5.356196097870102,Asia,1
UAE,4.800799531432379,,2.5538830266438746,,4.757342877614593,Asia,1
Uzbekistan,4.513936388414283,2.2764618041732443,2.3242824552976926,0.0,4.409239726748785,Asia,1
Vietnam,2.9459607035775686,,1.255272505103306,0.0,2.611723308007342,Asia,0
Yemen,3.2650537885040145,,2.722633922533812,,2.971739590887778,Asia,1
