Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,4.570391143779831,,3.127428777851599,,4.415040157367443,Africa,1
Angola,3.258876629372131,,1.9030899869919435,,2.7611758131557314,Africa,1
Benin,3.3040594662175993,,1.5797835966168101,,3.225567713439471,Africa,1
Botswana,3.0842186867392387,,0.47712125471966244,,2.0791812460476247,Africa,1
Burkina Faso,3.089198366805149,,1.7323937598229686,,2.998695158311656,Africa,1
Burundi,2.6127838567197355,,0.0,,2.4983105537896004,Africa,1
Cabo Verde,3.4875625602563782,,1.5185139398778875,,3.348694190265541,Africa,1
Cameroon,4.262640903755262,,2.603144372620182,,4.185258765296585,Africa,1
Central African Republic,3.667639706056411,,1.7853298350107671,,3.2375437381428744,Africa,1
Chad,2.977266212427293,,1.8808135922807914,,2.934498451243568,Africa,1
Comoros,2.6009728956867484,,0.8450980400142568,,2.578639209968072,Africa,1
DR Congo,3.9817733186277473,,2.369215857410143,,3.9283958522567137,Africa,1
Djibouti,3.7290027092721902,,1.7708520116421442,,3.7132384615456617,Africa,1
Egypt,4.982759539710679,,3.70816585785554,,4.755035933767772,Africa,1
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,1
Eritrea,2.45484486000851,,,,2.3944516808262164,Africa,0
Eswatini,3.5561818466529114,,1.8129133566428555,,3.2990712600274095,Africa,1
Ethiopia,4.418367590759902,,2.680335513414563,,4.057970231710706,Africa,1
Gabon,3.9072500828813284,,1.7075701760979363,,3.77232170672292,Africa,1
Gambia,3.1920095926536702,,1.6334684555795864,,2.4265112613645754,Africa,1
Ghana,4.620396345351284,,2.3483048630481607,,4.596542118161749,Africa,1
Guinea,3.913707913980483,,1.6989700043360187,,3.8524799936368566,Africa,1
Guinea-Bissau,3.3197304943302246,,1.462397997898956,,3.0064660422492318,Africa,1
Ivory Coast,4.227603935696588,,2.0293837776852097,,4.131040931600099,Africa,1
Kenya,4.458698268402751,,2.662757831681574,,4.17897694729317,Africa,1
Lesotho,2.946452265013073,,1.3979400086720377,,2.432969290874406,Africa,1
Liberia,3.097604328874411,,1.9138138523837167,,2.8680563618230415,Africa,1
Libya,3.848189116991399,,2.130333768495006,,2.9116901587538613,Africa,1
Madagascar,4.131040931600099,,2.2095150145426308,,4.071145290451083,Africa,1
Malawi,3.691258358133111,,2.184691430817599,,3.406540180433955,Africa,1
Mali,3.4144719496293026,,2.0969100130080562,,3.296445794206396,Africa,1
Mauritania,3.8230175234460493,,2.1958996524092336,,3.7666358863102674,Africa,1
Mauritius,2.53655844257153,,1.0,,2.5237464668115646,Africa,1
Mayotte,3.4940153747571436,,1.591064607026499,,3.4683473304121573,Africa,1
Morocco,4.579040088400086,,2.7664128471123997,,4.4262997556281105,Africa,1
Mozambique,3.4212747912103465,,1.2787536009528289,,3.0064660422492318,Africa,1
Namibia,3.5494937132150133,,1.4313637641589874,,2.9283958522567137,Africa,1
Niger,3.064832219738574,,1.8388490907372552,,3.031408464251624,Africa,1
Nigeria,4.68228951621283,,2.9849771264154934,,4.535408059915369,Africa,1
Rwanda,3.342422680822206,,0.9030899869919435,,3.1925674533365456,Africa,1
Réunion,2.877371345869774,,0.6989700043360189,,2.8000293592441343,Africa,1
Senegal,4.069668096911595,,2.387389826338729,,3.879210605291759,Africa,1
Seychelles,2.103803720955957,,,,2.100370545117563,Africa,0
Sierra Leone,3.287801729930226,,1.8388490907372552,,3.1749315935284423,Africa,1
Somalia,3.508798965403905,,1.968482948553935,,3.2375437381428744,Africa,1
South Africa,5.758052289222558,,4.051923916046107,,5.64109418458403,Africa,1
South Sudan,3.3941013020400446,,1.6720978579357175,,3.070037866607755,Africa,1
Sudan,4.083323418473525,,2.8987251815894934,,3.7996850909091004,Africa,1
São Tomé and Príncipe,2.9459607035775686,,1.1760912590556813,,2.907411360774586,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.0429690733931802,,1.414973347970818,,2.8981764834976764,Africa,1
Tunisia,3.2664668954402414,,1.724275869600789,,3.114610984232173,Africa,1
Uganda,3.131297796597623,,1.0413926851582251,,3.0572856444182146,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,3.937668314399005,,2.3909351071033793,,3.8692904042093983,Africa,1
Zimbabwe,3.6981005456233897,,2.1072099696478683,,3.284881714655453,Africa,1
