Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,127,,,,117,North America,0
Antigua and Barbuda,1378,,43,,1260,North America,1
Aruba,13279,,116,,12012,North America,1
Bahamas,16141,,311,,13070,North America,1
Barbados,4525,,48,,4354,North America,1
Belize,14847,,344,,13863,North America,1
Bermuda,2663,,33,,2538,North America,1
British Virgin Islands,2552,,37,,2469,North America,1
Canada,1451068,511,26700,,1407621,North America,0
Caribbean Netherlands,1741,,17,,1702,North America,1
Cayman Islands,651,,2,,644,North America,1
Costa Rica,428295,,5211,,350100,North America,1
Cuba,517668,8636,4023,98,473116,North America,0
Curaçao,14530,,133,,13754,North America,1
Dominica,943,367,,,216,North America,0
Dominican Republic,346176,216,3980,4,336243,North America,0
El Salvador,90129,,2789,8,77768,North America,0
Greenland,245,,,,142,North America,0
Grenada,180,,1,,167,North America,1
Guadeloupe,31861,,264,,2250,North America,1
Guatemala,411731,,11085,,357286,North America,1
Haiti,20556,,576,,16004,North America,1
Honduras,316235,,8373,,104096,North America,1
Jamaica,57289,,1285,,47411,North America,1
Martinique,27255,,166,,104,North America,1
Mexico,3091971,23642,248167,753,2419614,North America,0
Montserrat,23,1,1,,20,North America,0
Nicaragua,10251,,197,,4225,North America,1
Panama,447261,,6947,,429660,North America,0
Saint Barthelemy,1336,,2,,462,North America,0
Saint Kitts and Nevis,655,13,3,,588,North America,0
Saint Lucia,6287,,95,,5519,North America,0
Saint Martin,2713,,39,,1399,North America,0
Saint Pierre and Miquelon,30,,,,28,North America,0
Saint Vincent and the Grenadines,2308,,12,,2252,North America,0
Trinidad and Tobago,41676,,1173,,34351,North America,0
Turks and Caicos,2568,6,19,,2471,North America,0
USA,37435835,,637439,,30144609,North America,0
