Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,1.9731278535996986,,0.47712125471966244,,1.9444826721501687,North America,0
Aruba,3.1126050015345745,,0.6989700043360189,,2.4424797690644486,North America,0
Bahamas,3.184975190698261,,1.3424226808222062,,2.3201462861110542,North America,0
Barbados,2.1903316981702914,,0.8450980400142568,,2.089905111439398,North America,0
Belize,2.7427251313046983,,0.6989700043360189,0.0,1.5797835966168101,North America,0
Bermuda,2.220108088040055,,0.9542425094393249,,2.167317334748176,North America,0
British Virgin Islands,1.0413926851582251,,0.0,,0.9030899869919435,North America,0
Canada,5.092204657435211,2.2121876044039577,3.956696564894651,0.3010299956639812,5.041586100533573,North America,0
Caribbean Netherlands,1.1139433523068367,,,,0.8450980400142568,North America,0
Cayman Islands,2.311753861055754,,0.0,,2.305351369446624,North America,0
Costa Rica,4.483002138604418,,2.506505032404872,,3.9849771264154934,North America,0
Cuba,3.5418287667813124,,1.9444826721501687,,3.456821348021599,North America,0
Curaçao,1.5563025007672873,,0.0,,1.4913616938342726,North America,0
Dominica,1.255272505103306,,,,1.255272505103306,North America,0
Dominican Republic,4.9494388010365045,2.9459607035775686,3.1775364999298623,0.6020599913279624,4.7614316478805385,North America,0
El Salvador,4.379559310918327,2.392696953259666,2.806179973983887,0.8450980400142568,4.0628826901303645,North America,0
Greenland,1.146128035678238,,,,1.146128035678238,North America,0
Grenada,1.380211241711606,,,,1.380211241711606,North America,0
Guadeloupe,2.7075701760979363,,1.1760912590556813,,2.4608978427565478,North America,0
Guatemala,4.819432057402515,3.042181594515766,3.398981066658131,1.591064607026499,4.735207539047642,North America,0
Haiti,3.9003124969837266,,2.292256071356476,,3.7272972028035873,North America,0
Honduras,4.718485080730141,2.797959643737196,3.2062860444124324,1.1760912590556813,3.8958091501691308,North America,0
Jamaica,3.076276255404218,1.662757831681574,1.146128035678238,,2.887617300335736,North America,0
Martinique,2.526339277389844,,1.2041199826559248,,1.9912260756924949,North America,0
Mexico,5.729999355979543,3.7628285531890904,4.7670147902625395,2.8494194137968996,5.565301066105858,North America,0
Montserrat,1.1139433523068367,,0.0,,1.0791812460476249,North America,0
Nicaragua,3.634578022853888,,2.123851640967086,,3.4643404846276673,North America,0
Panama,4.923005557636573,,3.2617385473525378,,4.765474829627909,North America,0
Saint Barthelemy,1.2041199826559248,,,,0.9542425094393249,North America,0
Saint Kitts and Nevis,1.2304489213782739,,,,1.2304489213782739,North America,0
Saint Lucia,1.414973347970818,,,,1.3979400086720377,North America,0
Saint Martin,2.0827853703164503,,0.6989700043360189,,1.6901960800285136,North America,0
Saint Pierre and Miquelon,0.6989700043360189,,,,0.0,North America,0
Saint Vincent and the Grenadines,1.7634279935629373,,,,1.7481880270062005,North America,0
Trinidad and Tobago,2.863322860120456,1.6434526764861874,1.0791812460476249,,2.146128035678238,North America,0
Turks and Caicos,2.514547752660286,1.0791812460476249,0.3010299956639812,,1.7481880270062005,North America,0
USA,6.75708416629774,4.175018675936629,5.247224260298316,2.5538830266438746,6.486370396114414,North America,0
