Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,3.9095025414054154,2.1818435879447726,2.380211241711606,0.3010299956639812,3.612359947967774,Europe,0
Andorra,3.019116290447073,1.3222192947339193,1.724275869600789,,2.942008053022313,Europe,0
Austria,4.39378571926106,2.519827993775719,2.863322860120456,0.0,4.3275632601872775,Europe,0
Belarus,4.845786161540426,2.2068258760318495,2.800717078282385,0.6989700043360189,4.834140833769335,Europe,0
Belgium,4.904055218791568,2.8444771757456815,3.998956440470486,0.8450980400142568,4.258421757901637,Europe,0
Bosnia and Herzegovina,4.240449398993299,2.5646660642520893,2.7209857441537393,1.0413926851582251,4.047547433078635,Europe,0
Bulgaria,4.174989650407334,,2.7259116322950483,,4.003762020828246,Europe,0
Channel Islands,2.788168371141168,0.0,1.6812412373755872,,2.7363965022766426,Europe,0
Croatia,3.8804705928037784,2.423245873936808,2.2278867046136734,0.0,3.7469454096151047,Europe,0
Czechia,4.330170175428303,2.5352941200427703,2.6127838567197355,0.6020599913279624,4.205204363948145,Europe,0
Denmark,4.207553585949307,1.8512583487190752,2.79309160017658,,4.144387374101937,Europe,0
Estonia,3.3510228525841237,1.2304489213782739,1.7993405494535817,,3.303412070596742,Europe,0
Faroe Islands,2.584331224367531,0.0,,,2.4771212547196626,Europe,0
Finland,3.896029912396227,1.462397997898956,2.5237464668115646,,3.8512583487190755,Europe,0
France,5.369957607346053,3.66143405039392,4.484342554736087,1.3617278360175928,4.924615217311472,Europe,0
Germany,5.3643427091842195,2.0211892990699383,3.9696488404807253,0.0,5.313445370426414,Europe,0
Gibraltar,2.3636119798921444,0.3010299956639812,,,2.3010299956639813,Europe,0
Greece,3.9105176855172665,2.3096301674258988,2.376576957056512,0.47712125471966244,3.5802405082653763,Europe,0
Hungary,3.7073998311332486,1.7160033436347992,2.786041210242554,0.3010299956639812,3.5659658174466666,Europe,0
Iceland,3.311753861055754,1.0,1.0,,3.2833012287035497,Europe,0
Ireland,4.442103321931456,,3.249442961442582,,4.368547197567657,Europe,0
Isle of Man,2.526339277389844,,1.380211241711606,,2.494154594018443,Europe,0
Italy,5.410042950460059,2.9763499790032735,4.549334377323045,0.9542425094393249,5.311669112400611,Europe,0
Latvia,3.123851640967086,0.47712125471966244,1.5185139398778875,,3.038620161949703,Europe,0
Liechtenstein,1.99563519459755,,0.0,,1.9444826721501687,Europe,0
Lithuania,3.4089180208467798,1.5563025007672873,1.919078092376074,0.0,3.244277120801843,Europe,0
Luxembourg,3.8829227906025987,,2.093421685162235,,3.839037873388306,Europe,0
Malta,3.189209489582306,1.5563025007672873,1.0,0.0,2.931457870689005,Europe,0
Moldova,4.511669501818131,2.737987326333431,2.968015713993642,0.9030899869919435,4.355700492781882,Europe,0
Monaco,2.1760912590556813,,0.6020599913279624,,2.060697840353612,Europe,0
Montenegro,3.6262376851469003,,1.9084850188786497,,3.503245771465113,Europe,0
Netherlands,4.816831009499495,2.7283537820212285,3.792041310712082,0.6020599913279624,N/A,Europe,0
North Macedonia,4.124112792196785,2.0569048513364727,2.745855195173729,0.47712125471966244,3.9989999722183205,Europe,0
Norway,4.010850957373923,1.7481880270062005,2.4216039268698313,,3.9614210940664485,Europe,0
Poland,4.780180448202641,2.9556877503135057,3.2873537727147464,1.1139433523068367,4.613090932034561,Europe,0
Portugal,4.742025613297516,2.3404441148401185,3.2533380053261065,0.6020599913279624,4.607165397007266,Europe,0
Romania,4.882837481488184,3.1436392352745433,3.5046067706419537,1.6232492903979006,4.538108528260863,Europe,0
Russia,5.976338972456658,3.6875289612146345,4.209220023064993,1.954242509439325,5.881572943385529,Europe,0
San Marino,2.847572659142112,,1.6232492903979006,,2.8175653695597807,Europe,0
Serbia,4.482559177770485,2.2278867046136734,2.840106094456758,0.47712125471966244,4.451402613597493,Europe,0
Slovakia,3.5085297189712867,2.089905111439398,1.5185139398778875,,3.3106933123433606,Europe,0
Slovenia,3.410608542568368,1.5797835966168101,2.113943352306837,0.0,3.317854489331469,Europe,0
Spain,5.606627467240118,,4.459588479232008,,N/A,Europe,0
Sweden,4.934841711190877,,3.7641761323903307,0.6989700043360189,N/A,Europe,0
Switzerland,4.59474603049009,2.48572142648158,3.3010299956639813,0.3010299956639812,4.5301996982030825,Europe,0
UK,5.509623167385318,3.0141003215196207,4.617052788978206,0.3010299956639812,N/A,Europe,0
Ukraine,5.0027835738884265,3.3234583668494677,3.343802333161655,1.3617278360175928,4.708233883776015,Europe,0
Vatican City,1.0791812460476249,,,,1.0791812460476249,Europe,0
