Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,5130852,,110217,,4804869,South America,1
Bolivia,486394,468,18296,27,426861,South America,0
Brazil,20556487,,574243,,19431197,South America,1
Chile,1633153,,36605,,1589484,South America,1
Colombia,4886897,,124121,,4715218,South America,1
Ecuador,495115,,31985,,443880,South America,1
Falkland Islands,66,,,,63,South America,0
French Guiana,33060,,204,,9995,South America,1
Guyana,24224,,591,,22318,South America,1
Paraguay,457612,,15550,,434929,South America,0
Peru,2141235,,197818,,N/A,South America,0
Suriname,27371,,697,,23196,South America,0
Uruguay,384026,,6016,,376604,South America,0
Venezuela,324642,,3886,,310660,South America,0
