Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,152660,,7083,,108863,Asia,1
Albania,139721,,2478,,131451,Europe,1
Algeria,192089,,5034,,130351,Africa,1
Andorra,15002,,130,,14770,Europe,1
Angola,46076,,1163,,42624,Africa,1
Anguilla,166,,,,135,North America,0
Antigua and Barbuda,1540,,43,,1313,North America,1
Argentina,5139966,,110609,,4822420,South America,1
Armenia,238422,537,4768,6,224719,Asia,0
Aruba,14060,,128,,13200,North America,1
Australia,45734,814,984,,31593,Australia/Oceania,0
Austria,678605,1002,10768,5,655187,Europe,0
Azerbaijan,394451,,5340,,346810,Asia,1
Bahamas,17386,,338,,13712,North America,1
Bahrain,271715,,1387,,269362,Asia,1
Bangladesh,1467715,,25399,,1372856,Asia,1
Barbados,4652,,48,,4454,North America,1
Belarus,470635,,3691,,464300,Europe,1
Belgium,1168602,1617,25341,7,1088145,Europe,0
Belize,15556,,353,,14262,North America,1
Benin,12021,,125,,8572,Africa,1
Bermuda,2750,,33,,2593,North America,1
Bhutan,2585,,3,,2553,Asia,1
Bolivia,487131,488,18313,11,428434,South America,0
Bosnia and Herzegovina,209909,,9740,,192218,Europe,1
Botswana,150842,,2171,,140350,Africa,1
Brazil,20583994,,574944,,19479947,South America,1
British Virgin Islands,2568,,37,,2500,North America,1
Brunei,1873,,3,,436,Asia,0
Bulgaria,443186,,18532,,402268,Europe,1
Burkina Faso,13715,,171,,13461,Africa,1
Burundi,10791,,38,,773,Africa,1
Cabo Verde,34773,,305,,33840,Africa,1
Cambodia,90107,466,1821,13,86130,Asia,0
Cameroon,82454,,1338,,80433,Africa,1
Canada,1473624,,26814,,1422576,North America,1
Caribbean Netherlands,1776,,17,,1721,North America,1
Cayman Islands,663,,2,,649,North America,1
Central African Republic,11270,,99,,6859,Africa,1
Chad,4987,,174,,4805,Africa,1
Channel Islands,10327,,94,,9730,Europe,1
Chile,1634394,,36688,,1590973,South America,1
China,94687,35,4636,,88417,Asia,0
Colombia,4892235,,124315,,4721710,South America,1
Comoros,4051,,147,,3893,Africa,1
Costa Rica,445442,,5361,,357239,North America,1
Croatia,370308,470,8306,3,359442,Europe,0
Cuba,592619,,4618,,538043,North America,1
Curaçao,14974,,138,,14298,North America,1
Cyprus,111666,,484,,90755,Asia,1
Czechia,1677829,206,30385,,1645674,Europe,0
DR Congo,54009,,1053,,30858,Africa,1
Denmark,338240,,2567,,322525,Europe,1
Djibouti,11698,,157,,11531,Africa,1
Dominica,1339,,1,,794,North America,1
Dominican Republic,348026,,3994,,339309,North America,1
Ecuador,498728,,32092,,443880,South America,1
Egypt,286541,,16676,,236075,Africa,1
El Salvador,92686,,2855,9,79029,North America,0
Equatorial Guinea,9049,,123,,8803,Africa,1
Eritrea,6624,,37,,6571,Africa,1
Estonia,139500,375,1285,,132025,Europe,0
Eswatini,40714,,1022,,30114,Africa,1
Ethiopia,296731,,4571,,270171,Africa,1
Falkland Islands,66,,,,63,South America,0
Faroe Islands,997,,2,,991,Europe,1
Fiji,44490,302,453,9,24855,Australia/Oceania,0
Finland,123061,644,1008,,46000,Europe,0
France,6624777,,113419,,6065213,Europe,1
French Guiana,33452,,207,,9995,South America,1
French Polynesia,39117,,311,,31215,Australia/Oceania,1
Gabon,25717,,165,,25484,Africa,1
Gambia,9470,,301,,9049,Africa,1
Georgia,523022,5924,6891,60,458265,Asia,0
Germany,3881579,,92497,,3706200,Europe,0
Ghana,115102,,974,,107391,Africa,1
Gibraltar,5290,,96,,5088,Europe,1
Greece,561812,,13385,,511520,Europe,1
Greenland,305,,,,218,North America,0
Grenada,230,,1,,185,North America,1
Guadeloupe,40018,,324,,2250,North America,1
Guatemala,440007,,11516,,379835,North America,1
Guinea,28802,,314,,26212,Africa,1
Guinea-Bissau,5518,,103,,4592,Africa,1
Guyana,24336,,594,,22364,South America,1
Haiti,20746,,583,,16986,North America,1
Honduras,329691,1141,8670,27,105585,North America,0
Hong Kong,12063,,212,,11766,Asia,1
Hungary,811203,82,30054,2,772241,Europe,0
Iceland,10177,,30,,9191,Europe,1
India,32474773,14419,435050,,31720112,Asia,0
Indonesia,4008166,19106,128252,1038,3606164,Asia,0
Iran,4715771,,102648,,3961024,Asia,1
Iraq,1832240,,20262,,1668310,Asia,1
Ireland,338707,,5074,,286796,Europe,1
Isle of Man,6366,,37,,5877,Europe,1
Israel,1005511,2352,6864,8,926075,Asia,0
Italy,4488779,,128795,,4224429,Europe,1
Ivory Coast,53730,,397,,52597,Africa,1
Jamaica,62712,,1402,,47787,North America,1
Japan,1300353,,15631,,1066309,Asia,1
Jordan,790450,,10308,,767785,Asia,1
Kazakhstan,748851,5631,8512,97,623000,Asia,0
Kenya,229628,,4528,,213473,Africa,1
Kuwait,408434,,2407,,401837,Asia,1
Kyrgyzstan,174347,199,2494,5,167146,Asia,0
Laos,12621,,11,,4604,Asia,1
Latvia,141287,169,2569,,136903,Europe,0
Lebanon,592780,,8014,,546444,Asia,1
Lesotho,14382,,400,,6763,Africa,1
Liberia,5459,,148,,2715,Africa,1
Libya,296879,,4076,,214470,Africa,1
Liechtenstein,3233,5,59,,3112,Europe,0
Lithuania,294708,600,4498,1,277068,Europe,0
Luxembourg,75130,,830,,73641,Europe,1
Macao,63,,,,59,Asia,0
Madagascar,42847,,955,,41276,Africa,1
Malawi,59624,,2082,,45721,Africa,1
