Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,152722,62,7090,7,109009,Asia,0
Armenia,238422,537,4768,6,224719,Asia,0
Azerbaijan,394451,,5340,,346810,Asia,1
Bahrain,271715,,1387,,269362,Asia,1
Bangladesh,1472964,5249,25513,114,1381763,Asia,0
Bhutan,2591,6,3,,2555,Asia,0
Brunei,1873,,3,,436,Asia,0
Cambodia,90107,466,1821,13,86130,Asia,0
China,94687,35,4636,,88417,Asia,0
Cyprus,111666,,484,,90755,Asia,1
Georgia,523022,5924,6891,60,458265,Asia,0
Hong Kong,12070,7,212,,11768,Asia,0
India,32506100,45746,435484,433,31741206,Asia,0
Indonesia,4008166,19106,128252,1038,3606164,Asia,0
Iran,4756394,40623,103357,709,3993211,Asia,0
Iraq,1839910,7670,20337,75,1678552,Asia,0
Israel,1005511,2352,6864,8,926075,Asia,0
Japan,1318346,16858,15663,32,1087193,Asia,0
Jordan,790450,,10308,,767785,Asia,1
Kazakhstan,748851,5631,8512,97,623000,Asia,0
Kuwait,408434,,2407,,401837,Asia,1
Kyrgyzstan,174347,199,2494,5,167146,Asia,0
Laos,12957,336,11,,4604,Asia,0
Lebanon,592780,,8014,,546444,Asia,1
Macao,63,,,,59,Asia,0
Malaysia,1593602,20837,14553,211,1316336,Asia,0
Maldives,80067,,225,,78189,Asia,1
Mongolia,196846,1596,907,5,184559,Asia,0
Myanmar,378377,2506,14622,123,305844,Asia,0
Nepal,751001,2020,10568,35,702183,Asia,0
Oman,301570,120,4043,5,290631,Asia,0
Pakistan,1131659,4075,25094,91,1015519,Asia,0
Palestine,329204,1570,3646,4,314967,Asia,0
Philippines,1869691,12067,32264,303,1709724,Asia,0
Qatar,231343,217,601,,227867,Asia,0
Saudi Arabia,542707,353,8497,7,529833,Asia,0
Singapore,66692,116,36,,62212,Asia,0
South Korea,239287,1505,2228,6,209193,Asia,0
Sri Lanka,397670,3315,7560,,346767,Asia,0
Syria,27003,,1977,,22309,Asia,0
Taiwan,15938,6,829,1,14888,Asia,0
Tajikistan,16514,,124,,16297,Asia,0
Thailand,1083951,17165,9788,226,881829,Asia,0
Timor-Leste,14935,532,51,2,11068,Asia,0
Turkey,6234520,,54765,,5724382,Asia,0
UAE,711428,990,2026,2,694260,Asia,0
Uzbekistan,150683,807,1035,7,143395,Asia,0
Vietnam,369267,10811,9014,348,162279,Asia,0
Yemen,7580,41,1424,4,4689,Asia,0
