Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,8759,154,259,5,4530,Europe,0
Andorra,1060,,53,,877,Europe,0
Austria,25706,211,733,,21888,Europe,0
Belarus,70727,82,652,6,69097,Europe,0
Belgium,82092,156,9996,4,18242,Europe,0
Bosnia and Herzegovina,18326,297,560,13,12081,Europe,0
Bulgaria,15386,,563,,10497,Europe,0
Channel Islands,616,,48,,545,Europe,0
Croatia,8530,219,175,2,6124,Europe,0
Czechia,22181,,415,,16376,Europe,0
Denmark,16480,83,623,,14465,Europe,0
Estonia,2294,19,64,,2038,Europe,0
Faroe Islands,411,1,,,344,Europe,0
Finland,7981,43,335,,7100,Europe,0
France,244854,,30528,,85199,Europe,0
Germany,236405,288,9336,,209600,Europe,0
Gibraltar,256,8,,,203,Europe,0
Greece,8819,,242,,3804,Europe,0
Hungary,5215,24,614,1,3716,Europe,0
Iceland,2077,4,10,,1953,Europe,0
Ireland,28116,,1777,,23364,Europe,0
Isle of Man,336,,24,,312,Europe,0
Italy,260298,,35441,,205662,Europe,0
Latvia,1342,5,33,,1135,Europe,0
Liechtenstein,102,2,1,,94,Europe,0
Lithuania,2694,21,85,,1785,Europe,0
Luxembourg,7794,,124,,7106,Europe,0
Malta,1705,38,10,,1029,Europe,0
Moldova,34358,530,960,15,23869,Europe,0
Monaco,112,,1,,83,Europe,0
Montenegro,4378,,84,,3420,Europe,0
Netherlands,67543,415,6207,5,N/A,Europe,0
North Macedonia,13799,126,573,5,10210,Europe,0
Norway,10395,,264,,9150,Europe,0
Poland,63073,763,1977,17,42784,Europe,0
Portugal,55912,192,1805,4,41021,Europe,0
Romania,80390,1060,3367,58,35816,Europe,0
Russia,966189,4696,16568,120,779747,Europe,0
San Marino,704,,42,,657,Europe,0
Serbia,30820,106,705,4,29132,Europe,0
Slovakia,3452,28,33,,2167,Europe,0
Slovenia,2686,21,133,,2139,Europe,0
Spain,420809,,28872,,N/A,Europe,0
Sweden,86891,,5814,5,N/A,Europe,0
Switzerland,40262,202,2002,1,34400,Europe,0
UK,326614,,41433,,N/A,Europe,0
Ukraine,108415,1658,2318,25,52870,Europe,0
Vatican City,12,,,,12,Europe,0
