Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,172564,,4291,,116009,Africa,1
Angola,42815,,1016,,37397,Africa,1
Benin,8394,,108,,8136,Africa,1
Botswana,106690,,1569,,95323,Africa,1
Burkina Faso,13588,,169,,13369,Africa,1
Burundi,7080,,9,,773,Africa,1
Cabo Verde,33822,,298,,33036,Africa,1
Cameroon,82064,,1334,,80433,Africa,1
Central African Republic,7151,,98,,6859,Africa,1
Chad,4973,,174,,4793,Africa,1
Comoros,4028,,147,,3869,Africa,1
DR Congo,50193,89,1038,,29994,Africa,0
Djibouti,11652,,156,,11490,Africa,1
Egypt,284311,,16528,,230699,Africa,1
Equatorial Guinea,8880,,123,,8637,Africa,1
Eritrea,6547,,35,,6444,Africa,1
Eswatini,26220,,798,,21047,Africa,1
Ethiopia,280565,,4390,,263587,Africa,1
Gabon,25384,,164,,25166,Africa,1
Gambia,7709,,212,,6600,Africa,1
Ghana,103019,,823,,97213,Africa,1
Guinea,25914,113,232,3,24327,Africa,0
Guinea-Bissau,4498,,76,,3968,Africa,1
Ivory Coast,50278,,330,,49389,Africa,1
Kenya,203680,,3946,,189131,Africa,1
Lesotho,13603,,377,,6664,Africa,1
Liberia,5396,,148,,2715,Africa,1
Libya,256328,2892,3579,31,193144,Africa,0
Madagascar,42672,7,943,,41164,Africa,0
Malawi,52631,,1661,,38147,Africa,1
Mali,14587,,533,,13948,Africa,1
Mauritania,25973,,567,,22406,Africa,1
Mauritius,3913,,19,,1854,Africa,1
Mayotte,19494,,174,,2964,Africa,1
Morocco,629717,,9833,,566008,Africa,1
Mozambique,123541,,1462,,90845,Africa,1
Namibia,119285,,3057,,95913,Africa,1
Niger,5637,,195,,5345,Africa,1
Nigeria,174315,,2149,,165005,Africa,1
Rwanda,71346,,821,,44856,Africa,0
Réunion,37231,,275,,33894,Africa,0
Saint Helena,2,,,,2,Africa,0
Senegal,63520,518,1385,18,47992,Africa,0
Seychelles,18189,,94,,17538,Africa,0
Sierra Leone,6283,,120,,4270,Africa,0
Somalia,15456,,813,,7567,Africa,0
South Africa,2456184,,72191,,2230871,Africa,0
South Sudan,11049,,119,,10514,Africa,0
Sudan,37138,,2776,,30867,Africa,0
São Tomé and Príncipe,2454,,37,,2358,Africa,0
Tanzania,1017,,21,,183,Africa,0
Togo,15870,,153,,14493,Africa,0
Tunisia,595532,2651,20067,209,516831,Africa,0
Uganda,94195,,2696,,84052,Africa,0
Western Sahara,10,,1,,8,Africa,0
Zambia,196490,197,3412,6,188950,Africa,0
Zimbabwe,109546,,3583,,76665,Africa,0
