Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Afghanistan,36896,,1298,,25840,Asia,True
Albania,6016,,188,,3155,Europe,True
Algeria,33626,,1273,,23238,Africa,True
Andorra,944,,52,,828,Europe,True
Angola,1483,,64,,520,Africa,True
Anguilla,3,,,,3,North America,False
Antigua and Barbuda,92,,3,,76,North America,True
Argentina,228195,,4251,,99852,South America,True
Armenia,39819,,772,,31556,Asia,True
Aruba,263,,3,,114,North America,True
Australia,19890,,255,,10941,Australia/Oceania,True
Austria,21696,,719,,19596,Europe,True
Azerbaijan,33247,,479,,29275,Asia,True
Bahamas,761,,14,,91,North America,True
Bahrain,42889,,156,,39945,Asia,True
Bangladesh,249651,,3306,,143824,Asia,True
Barbados,133,,7,,100,North America,True
Belarus,68503,,580,,63756,Europe,True
Belgium,71158,,9859,,17661,Europe,True
Belize,86,,2,,31,North America,True
Benin,1936,,38,,1600,Africa,True
Bermuda,157,,9,,144,North America,True
Bhutan,105,,,,93,Asia,False
Bolivia,85141,,3385,,26437,South America,True
Bosnia and Herzegovina,13396,,384,,7042,Europe,True
Botswana,804,,2,,63,Africa,True
Brazil,2917562,,98644,,2047660,South America,True
British Virgin Islands,9,,1,,7,North America,True
Brunei,141,,3,,138,Asia,False
Bulgaria,13014,,435,,7374,Europe,True
Burkina Faso,1158,,54,,961,Africa,True
Burundi,395,,1,,304,Africa,True
Cabo Verde,2734,,27,,2010,Africa,True
Cambodia,243,,,,210,Asia,False
Cameroon,17718,,391,,15320,Africa,True
Canada,118561,,8966,,103106,North America,False
Caribbean Netherlands,13,,,,7,North America,False
Cayman Islands,203,,1,,202,North America,True
Central African Republic,4620,,59,,1641,Africa,True
Chad,942,,76,,838,Africa,True
Channel Islands,597,,47,,533,Europe,True
Chile,366671,,9889,,340168,South America,True
China,84565,37,4634,,79088,Asia,True
Colombia,357710,,11939,,192355,South America,True
Comoros,396,,7,,340,Africa,True
Costa Rica,21070,,200,,7038,North America,True
Croatia,5404,,155,,4688,Europe,True
Cuba,2775,,88,,2409,North America,True
Curaçao,31,,1,,28,North America,True
Cyprus,1208,,19,,856,Asia,True
Czechia,17731,,390,,12320,Europe,True
DR Congo,9309,,215,,8048,Africa,True
Denmark,14306,,617,,12787,Europe,True
Djibouti,5330,,59,,5057,Africa,True
Dominica,18,,,,18,North America,False
Dominican Republic,76536,,1246,,40539,North America,True
Ecuador,90537,,5877,,71318,South America,True
Egypt,95006,,4951,,48898,Africa,True
El Salvador,19126,,513,,9236,North America,True
Equatorial Guinea,4821,,83,,2182,Africa,True
Eritrea,282,,,,225,Africa,False
Estonia,2124,,63,,1954,Europe,True
Eswatini,2968,,55,,1476,Africa,True
Ethiopia,20900,,365,,9027,Africa,True
Falkland Islands,13,,,,13,South America,False
Faroe Islands,266,,,,192,Europe,False
