Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Afghanistan,4.568377753718221,2.0755469613925306,3.116275587580544,0.9542425094393249,4.413350065548239,Asia,True
Armenia,4.601897100353281,2.220108088040055,2.890421018800914,0.6989700043360189,4.505258538370941,Asia,True
Azerbaijan,4.523434286746437,2.110589710299249,2.683947130751512,0.6020599913279624,4.472697954538768,Asia,True
Bahrain,4.632345920346211,,2.1986570869544226,0.3010299956639812,4.601462425494622,Asia,True
Bangladesh,5.402264822397349,3.45499721730946,3.52283531366053,1.4313637641589874,5.1631136476862505,Asia,True
Bhutan,2.03342375548695,0.47712125471966244,,,1.9822712330395684,Asia,False
Brunei,2.1522883443830563,0.0,0.47712125471966244,,2.1398790864012365,Asia,False
Cambodia,2.385606273598312,,,,2.330413773349191,Asia,False
China,4.927190653204442,1.568201724066995,3.6659560294539566,,4.8981105931167015,Asia,True
Cyprus,3.0870712059065353,1.146128035678238,1.2787536009528289,,2.932473764677153,Asia,False
Georgia,3.083860800866573,0.8450980400142568,1.2304489213782739,,2.997386384397313,Asia,True
Hong Kong,3.5953859808091417,1.9493900066449128,1.662757831681574,,3.4183012913197452,Asia,True
India,6.317343020114232,4.708794691425808,4.6277344407383065,2.9020028913507296,6.152196276428289,Asia,False
Indonesia,5.083595775321616,3.3932241163612975,3.747644819328248,1.8573324964312685,4.88962100168769,Asia,True
Iran,5.508619935120593,3.3891660843645326,4.25844571038665,2.1931245983544616,5.446729729941099,Asia,True
Iraq,5.1585554689844075,3.539201599294128,3.718999637878718,1.8750612633917,5.013667072268098,Asia,True
Israel,4.905423468326838,2.940516484932567,2.761927838420529,0.3010299956639812,4.742520894201264,Asia,True
Japan,4.625960321802963,,3.0111473607757975,,4.460552072861558,Asia,True
Jordan,3.0923696996291206,0.6989700043360189,1.0413926851582251,,3.0711452904510828,Asia,True
Kazakhstan,4.986422367289674,2.9912260756924947,3.024485667699167,,4.849296540834726,Asia,True
Kuwait,4.849585237170849,2.833784374656479,2.673020907128896,0.3010299956639812,4.7946971268919985,Asia,True
Kyrgyzstan,4.592864863079621,2.7015679850559273,3.161667412437736,0.6020599913279624,4.488042802682935,Asia,True
Laos,1.3010299956639813,,,,1.2787536009528289,Asia,False
Lebanon,3.75373622217501,,1.845098040014257,,3.295347148333618,Asia,True
Macao,1.662757831681574,,,,1.662757831681574,Asia,False
Malaysia,3.957271979992943,1.3979400086720377,2.0969100130080562,,3.9409147375802855,Asia,True
Maldives,3.670245853074124,,1.2787536009528289,,3.4353665066126613,Asia,True
Mongolia,2.4668676203541096,,,,2.4149733479708178,Asia,False
Myanmar,2.5550944485783194,0.3010299956639812,0.7781512503836436,,2.4899584794248346,Asia,True
Nepal,4.34662676753156,2.6665179805548807,1.845098040014257,0.6989700043360189,4.199041734461483,Asia,True
Oman,4.9088441016277,2.5490032620257876,2.7007037171450192,1.0,4.858915987351028,Asia,True
Pakistan,5.451241307179417,2.893206753059848,3.781898919351149,1.2304489213782739,5.411786321880857,Asia,True
Palestine,4.137417414990392,2.510545010206612,1.9731278535996986,0.3010299956639812,3.857935264719429,Asia,True
Philippines,5.089035652726769,3.5287881917748964,3.336059277866349,1.380211241711606,4.825114404507068,Asia,True
Qatar,5.050700621156778,2.4638929889859074,2.255272505103306,0.3010299956639812,5.037991907858392,Asia,True
Saudi Arabia,5.456051587300985,3.1950689964685903,3.490379920003179,1.5797835966168101,5.396108641587768,Asia,True
Singapore,4.7387567825882035,2.383815365980431,1.4313637641589874,,4.684055016600261,Asia,True
South Korea,4.161936705245781,1.3010299956639813,2.481442628502305,0.0,4.131714878465068,Asia,True
Sri Lanka,3.4531653925258574,,1.0413926851582251,,3.4089180208467798,Asia,True
Syria,2.9995654882259823,,1.6812412373755872,,2.4927603890268375,Asia,True
Taiwan,2.678518379040114,,0.8450980400142568,,2.6464037262230695,Asia,True
Tajikistan,3.886829004676982,1.6127838567197355,1.792391689498254,,3.811843006176477,Asia,True
Thailand,3.524396122103842,1.1760912590556813,1.7634279935629373,,3.498034723687027,Asia,True
Timor-Leste,1.3979400086720377,,,,1.380211241711606,Asia,False
Turkey,5.375233678259718,,3.763278211018979,,5.343499185471121,Asia,True
UAE,4.792818769169239,2.3344537511509307,2.5514499979728753,0.3010299956639812,4.7483043403083025,Asia,True
Uzbekistan,4.4595281835834575,2.693726948923647,2.2528530309798933,0.6020599913279624,4.291967923324126,Asia,True
Vietnam,2.8943160626844384,1.568201724066995,1.0,,2.59659709562646,Asia,True
Yemen,3.2474822606770544,,2.7058637122839193,,2.9532763366673045,Asia,True
