Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Albania,3.788945727023748,2.130333768495006,2.2764618041732443,0.0,3.508798965403905,Europe,True
Andorra,2.9800033715837464,1.0413926851582251,1.7160033436347992,,2.9237619608287004,Europe,True
Austria,4.339192974099657,2.1492191126553797,2.8573324964312685,0.0,4.294245716138118,Europe,True
Belarus,4.836412738190868,2.0453229787866576,2.765668554759014,0.47712125471966244,4.807535028068854,Europe,True
Belgium,4.857428995594404,2.9334872878487053,3.993920958801287,0.3010299956639812,4.247973266361806,Europe,True
Bosnia and Herzegovina,4.136308267255813,2.4638929889859074,2.595496221825574,1.0,3.8676442339030985,Europe,True
Bulgaria,4.1144108023978365,,2.6384892569546374,,3.8677031332700977,Europe,True
Channel Islands,2.775974331129369,,1.6720978579357175,,2.7267272090265724,Europe,True
Croatia,3.737669627356642,1.792391689498254,2.1903316981702914,,3.6774244377012475,Europe,True
Czechia,4.252755971088574,2.2174839442139063,2.5899496013257077,,4.103735322738333,Europe,False
Denmark,4.159627340658673,2.1335389083702174,2.7902851640332416,,4.108565023732835,Europe,True
Estonia,3.3289908554494287,0.9542425094393249,1.7993405494535817,,3.291368850451583,Europe,True
Faroe Islands,2.4638929889859074,1.3979400086720377,,,2.2833012287035497,Europe,False
Finland,3.878176980491506,1.3424226808222062,2.519827993775719,,3.843855422623161,Europe,True
France,5.291442114812906,,4.481614592266936,,4.916243330465339,Europe,False
Germany,5.333656813851496,2.595496221825574,3.966235624098582,,5.292699003043929,Europe,True
Gibraltar,2.278753600952829,,,,2.2648178230095364,Europe,False
Greece,3.7218106152125467,2.167317334748176,2.322219294733919,,3.137986732723532,Europe,False
Hungary,3.664735968518705,1.380211241711606,2.7795964912578244,0.3010299956639812,3.539577883345309,Europe,True
Iceland,3.290479813330673,1.3424226808222062,1.0,,3.2631624649622166,Europe,True
Ireland,4.421143067071665,,3.2474822606770544,,4.368547197567657,Europe,True
Isle of Man,2.526339277389844,,1.380211241711606,,2.494154594018443,Europe,True
Italy,5.397515930273761,2.741939077729199,4.5464192668351915,0.47712125471966244,5.304580996367066,Europe,True
Latvia,3.1075491297446862,0.7781512503836436,1.505149978319906,,3.0293837776852097,Europe,True
Liechtenstein,1.9493900066449128,,0.0,,1.9294189257142926,Europe,True
Lithuania,3.3412366232386925,1.3617278360175928,1.9084850188786497,,3.2195845262142546,Europe,True
Luxembourg,3.8496036580824473,,2.0755469613925306,,3.7596678446896306,Europe,True
Malta,2.9978230807457256,1.6901960800285136,0.9542425094393249,,2.829303772831025,Europe,True
Moldova,4.431202884556517,2.558708570533166,2.921686475483602,0.8450980400142568,4.276875221131548,Europe,True
Monaco,2.0969100130080562,,0.6020599913279624,,2.0211892990699383,Europe,True
Montenegro,3.550105999347593,1.8388490907372552,1.7853298350107671,0.0,3.3609718837259357,Europe,True
Netherlands,4.759675397571465,2.7151673578484576,3.7891574919114395,0.0,N/A,Europe,False
North Macedonia,4.062732363205394,2.1903316981702914,2.7151673578484576,0.3010299956639812,3.881213416255019,Europe,True
Norway,3.9778607292646972,1.5440680443502757,2.4082399653118496,,3.9472866446777983,Europe,True
Poland,4.7017751536789865,2.9079485216122722,3.252124552505644,1.1139433523068367,4.556796832486183,Europe,True
Portugal,4.7189249819142685,2.462397997898956,3.2420442393695508,0.47712125471966244,4.580776765920161,Europe,True
Romania,4.772856908856591,3.139249217571607,3.4176377396522297,1.6989700043360187,4.466704544030668,Europe,True
Russia,5.94306644084947,3.7194141597025934,4.168055303459139,2.0755469613925306,5.834796971579148,Europe,True
San Marino,2.8444771757456815,,1.6232492903979006,,2.8175653695597807,Europe,True
Serbia,4.44103494628343,2.4409090820652177,2.7965743332104296,0.6989700043360189,4.147583582421641,Europe,True
Slovakia,3.4019172505175748,1.6334684555795864,1.4913616938342726,0.3010299956639812,3.266231696689893,Europe,True
Slovenia,3.348888723071438,1.0,2.0969100130080562,,3.284881714655453,Europe,True
Spain,5.54965299067056,,4.45484486000851,,N/A,Europe,False
Sweden,4.915521188524368,1.6127838567197355,3.760648619581356,0.6989700043360189,N/A,Europe,False
Switzerland,4.55953558148424,2.2068258760318495,3.2979792441593623,0.0,4.4996870826184034,Europe,True
UK,5.48996550678678,2.9400181550076634,4.667555677069314,1.9912260756924949,N/A,Europe,False
Ukraine,4.893545392909247,3.1622656142980214,3.2676409823459154,1.5185139398778875,4.6340235935670835,Europe,True
Vatican City,1.0791812460476249,,,,1.0791812460476249,Europe,False
