Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Afghanistan,4.566979285614605,,3.1132746924643504,,4.412292509323047,Asia,True
Albania,3.779307827583586,,2.27415784926368,,3.498999363580153,Europe,True
Algeria,4.526675208639435,,3.1048284036536553,,4.366198747369727,Africa,True
Andorra,2.974971994298069,,1.7160033436347992,,2.9180303367848803,Europe,True
Angola,3.1711411510283822,,1.806179973983887,,2.716003343634799,Africa,True
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,False
Antigua and Barbuda,1.9637878273455553,,0.47712125471966244,,1.8808135922807914,North America,True
Argentina,5.358306124323217,,3.628491104967123,,4.999356768057647,South America,True
Armenia,4.600090349113409,,2.887617300335736,,4.4990819473883255,Asia,True
Aruba,2.419955748489758,,0.47712125471966244,,2.0569048513364727,North America,True
Australia,4.298634783124435,,2.406540180433955,,4.039057018033444,Australia/Oceania,True
Austria,4.336379672186969,,2.8567288903828825,,4.292167430784293,Europe,True
Azerbaijan,4.521752463406764,,2.680335513414563,,4.4664969037444004,Asia,True
Bahamas,2.8813846567705728,,1.146128035678238,,1.9590413923210936,North America,True
Bahrain,4.632345920346211,,2.1931245983544616,,4.601462425494622,Asia,True
Bangladesh,5.397333310001031,,3.519302849235429,,5.1578313630834804,Asia,True
Barbados,2.123851640967086,,0.8450980400142568,,2.0,North America,True
Belarus,4.8357095912722246,,2.7634279935629373,,4.804521061957362,Europe,True
Belgium,4.8522237330997715,,3.993832866613986,,4.247015290531832,Europe,True
Belize,1.9344984512435677,,0.3010299956639812,,1.4913616938342726,North America,True
Benin,3.286905352972375,,1.5797835966168101,,3.2041199826559246,Africa,True
Bermuda,2.1958996524092336,,0.9542425094393249,,2.1583624920952498,North America,True
Bhutan,2.0211892990699383,,,,1.968482948553935,Asia,False
Bolivia,4.930138746756451,,3.529558673021163,,4.422212171034224,South America,True
Bosnia and Herzegovina,4.126975138867829,,2.584331224367531,,3.8476960207341655,Europe,True
Botswana,2.905256048748451,,0.3010299956639812,,1.7993405494535817,Africa,True
Brazil,6.465020093842266,,4.994070674523462,,6.311257846648448,South America,True
British Virgin Islands,0.9542425094393249,,0.0,,0.8450980400142568,North America,True
Brunei,2.1492191126553797,,0.47712125471966244,,2.1398790864012365,Asia,False
Bulgaria,4.1144108023978365,,2.6384892569546374,,3.8677031332700977,Europe,True
Burkina Faso,3.0637085593914173,,1.7323937598229686,,2.9827233876685453,Africa,True
Burundi,2.59659709562646,,0.0,,2.482873583608754,Africa,True
Cabo Verde,3.4367985102318035,,1.4313637641589874,,3.303196057420489,Africa,True
Cambodia,2.385606273598312,,,,2.322219294733919,Asia,False
Cameroon,4.248414697348722,,2.5921767573958667,,4.185258765296585,Africa,True
Canada,5.073941853697419,,3.952598734529773,,5.013283938717773,North America,False
Caribbean Netherlands,1.1139433523068367,,,,0.8450980400142568,North America,False
Cayman Islands,2.307496037913213,,0.0,,2.305351369446624,North America,True
Central African Republic,3.6646419755561257,,1.7708520116421442,,3.215108581053093,Africa,True
Chad,2.9740509027928774,,1.8808135922807914,,2.9232440186302764,Africa,True
Channel Islands,2.775974331129369,,1.6720978579357175,,2.7267272090265724,Europe,True
Chile,5.5642765629793836,,3.9951523768914536,,5.531693456610254,South America,True
China,4.927190653204442,1.568201724066995,3.6659560294539566,,4.8981105931167015,Asia,True
Colombia,5.553531081284317,,4.0769679521979185,,5.284103479669021,South America,True
Comoros,2.597695185925512,,0.8450980400142568,,2.531478917042255,Africa,True
Costa Rica,4.3236645356081,,2.3010299956639813,,3.8474492624991727,North America,True
Croatia,3.732715340349993,,2.1903316981702914,,3.670987603010034,Europe,True
Cuba,3.443262987458695,,1.9444826721501687,,3.3818367999983434,North America,True
Curaçao,1.4913616938342726,,0.0,,1.4471580313422192,North America,True
Cyprus,3.082066934285113,,1.2787536009528289,,2.932473764677153,Asia,True
Czechia,4.248733229804805,,2.591064607026499,,4.090610707828406,Europe,True
DR Congo,3.968903030303828,,2.3324384599156054,,3.9056879677118523,Africa,True
Denmark,4.155518220708411,,2.7902851640332416,,4.106768665176806,Europe,True
Djibouti,3.7267272090265724,,1.7708520116421442,,3.7038929536325447,Africa,True
Dominica,1.255272505103306,,,,1.255272505103306,North America,False
Dominican Republic,4.883865760954565,,3.095518042323151,,4.6078730314848055,North America,True
Ecuador,4.956826099778944,,3.7691556907143986,,4.853199155575347,South America,True
Egypt,4.977751033547874,,3.6946929263314843,,4.689291096204871,Africa,True
El Salvador,4.281624151440202,,2.7101173651118162,,3.9654839242451385,North America,True
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,True
Eritrea,2.450249108319361,,,,2.3521825181113627,Africa,False
Estonia,3.3271545124094315,,1.7993405494535817,,3.2909245593827543,Europe,True
Eswatini,3.4724638966069894,,1.7403626894942439,,3.1690863574870227,Africa,True
Ethiopia,4.320146286111054,,2.5622928644564746,,3.955543442459743,Africa,True
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,False
Faroe Islands,2.424881636631067,,,,2.2833012287035497,Europe,False
Fiji,1.4313637641589874,,0.0,,1.255272505103306,Australia/Oceania,True
Finland,3.876910311344627,,2.519827993775719,,3.843855422623161,Europe,True
France,5.291442114812906,,4.481614592266936,,4.916243330465339,Europe,False
French Guiana,3.9099302597528305,,1.6720978579357175,,3.859738566197147,South America,True
French Polynesia,1.806179973983887,,,,1.792391689498254,Australia/Oceania,False
Gabon,3.891370174696148,,1.7075701760979363,,3.748885440009517,Africa,True
Gambia,2.9708116108725178,,1.2041199826559248,,2.1335389083702174,Africa,True
Georgia,3.0813473078041325,,1.2304489213782739,,2.9943171526696366,Asia,True
Germany,5.332862447495826,,3.966235624098582,,5.292699003043929,Europe,True
Ghana,4.598155557191961,,2.298853076409707,,4.560910443007641,Africa,True
Gibraltar,2.278753600952829,,,,2.2648178230095364,Europe,False
Greece,3.709524355876341,,2.322219294733919,,3.137986732723532,Europe,True
Greenland,1.146128035678238,,,,1.146128035678238,North America,False
Grenada,1.380211241711606,,,,1.3617278360175928,North America,False
Guadeloupe,2.4456042032735974,,1.146128035678238,,2.2528530309798933,North America,True
Guatemala,4.735111641838993,,3.3261309567107946,,4.623972512016996,North America,True
Guinea,3.884455496070488,,1.6901960800285136,,3.829753918924975,Africa,True
Guinea-Bissau,3.307923703611882,,1.4313637641589874,,2.974971994298069,Africa,True
Guyana,2.7307822756663893,,1.3424226808222062,,2.2764618041732443,South America,True
Haiti,3.877601679729272,,2.2329961103921536,,3.6841269256130755,North America,True
Honduras,4.6541572822721164,,3.153204900084284,,3.7864674767402824,North America,True
Hong Kong,3.5854607295085006,,1.662757831681574,,3.390581878550435,Asia,True
Hungary,3.6624745037503095,,2.7781512503836434,,3.539452491549461,Europe,True
Iceland,3.285557309007774,,1.0,,3.2612628687924934,Europe,True
India,6.306512735455594,,4.619489860852332,,6.139055033816958,Asia,True
Indonesia,5.074644589808386,,3.7420177471401384,,4.878780227214815,Asia,True
Iran,5.505308738218326,,4.254693059411072,,5.443205077667036,Asia,True
Iraq,5.147994587181287,,3.7127338590699517,,5.004428859114686,Asia,True
Ireland,4.421143067071665,,3.2474822606770544,,4.368547197567657,Europe,True
Isle of Man,2.526339277389844,,1.380211241711606,,2.494154594018443,Europe,True
Israel,4.900689315714197,,2.760422483423212,,4.727760788631262,Asia,True
Italy,5.396555008950156,,4.546382241004409,,5.303893393380865,Europe,True
Ivory Coast,4.216086692421913,,2.012837224705172,,4.096353759993295,Africa,True
Jamaica,2.9813655090785445,1.4771212547196624,1.0791812460476249,,2.8721562727482928,North America,True
Japan,4.625960321802963,,3.0111473607757975,,4.460552072861558,Asia,True
Jordan,3.090610707828407,,1.0413926851582251,,3.068556895072363,Asia,True
Kazakhstan,4.982008767495633,,3.024485667699167,,4.838036388943341,Asia,True
Kenya,4.387585570715276,,2.6009728956867484,,4.018866863150907,Africa,True
Kuwait,4.845377139623072,,2.6711728427150834,,4.789651208793409,Asia,True
Kyrgyzstan,4.587250615856558,,3.1604685311190375,,4.478552066966061,Asia,True
Laos,1.3010299956639813,,,,1.2787536009528289,Asia,False
Latvia,3.1055101847699738,,1.505149978319906,,3.0293837776852097,Europe,True
Lebanon,3.75373622217501,,1.845098040014257,,3.295347148333618,Asia,True
Lesotho,2.870403905279027,,1.3617278360175928,,2.2430380486862944,Africa,True
Liberia,3.087781417809542,,1.8920946026904804,,2.848189116991399,Africa,True
Libya,3.688330818112266,,2.0293837776852097,,2.81424759573192,Africa,True
Liechtenstein,1.9493900066449128,,0.0,,1.9294189257142926,Europe,True
Lithuania,3.3366598234544202,,1.9084850188786497,,3.219060332448861,Europe,True
Luxembourg,3.8496036580824473,,2.0755469613925306,,3.7596678446896306,Europe,True
Macao,1.662757831681574,,,,1.662757831681574,Asia,False
Madagascar,4.097812407365289,,2.1271047983648077,,4.006380458549693,Africa,True
Malawi,3.652343055062715,,2.1367205671564067,,3.3298045221640695,Africa,True
Malaysia,3.956072336995183,,2.0969100130080562,,3.9401677140340747,Asia,True
Maldives,3.670245853074124,,1.2787536009528289,,3.4353665066126613,Asia,True
Mali,3.4068806700491248,,2.093421685162235,,3.2909245593827543,Africa,True
Malta,2.975891136401793,,0.9542425094393249,,2.8260748027008264,Europe,True
Martinique,2.4409090820652177,,1.1760912590556813,,1.9912260756924949,North America,True
Mauritania,3.8091555317471806,,2.1958996524092336,,3.723537761532057,Africa,True
Mauritius,2.53655844257153,,1.0,,2.5237464668115646,Africa,True
Mayotte,3.4831592097169795,,1.591064607026499,,3.437433443797971,Africa,True
Mexico,5.665290113306359,3.8188854145940097,4.703437551658997,2.9132839017604186,5.489744793331877,North America,True
Moldova,4.425338548279633,,2.9180303367848803,,4.271283865258768,Europe,True
Monaco,2.0969100130080562,,0.6020599913279624,,2.0211892990699383,Europe,True
Mongolia,2.4668676203541096,,,,2.4149733479708178,Asia,False
Montenegro,3.5415792439465807,,1.7781512503836436,,3.3380578754197563,Europe,True
Montserrat,1.1139433523068367,,0.0,,1.0,North America,True
Morocco,4.471936804594729,,2.6522463410033232,,4.312875222239046,Africa,True
Mozambique,3.326335860928751,,1.1760912590556813,,2.9003671286564705,Africa,True
Myanmar,2.552668216112193,,0.7781512503836436,,2.4885507165004443,Asia,True
Namibia,3.4235735197327357,,1.1760912590556813,,2.7505083948513462,Africa,True
Nepal,4.337459261290656,,1.8129133566428555,,4.187210399650053,Asia,True
Netherlands,4.755737688387494,,3.7890869150880286,,N/A,Europe,False
New Caledonia,1.3424226808222062,,,,1.3424226808222062,Australia/Oceania,False
New Zealand,3.1956229435869368,,1.3424226808222062,,3.182984967003582,Australia/Oceania,True
Nicaragua,3.591287265058499,,2.089905111439398,,3.4643404846276673,North America,True
Niger,3.061829307294699,,1.8388490907372552,,3.024074987307426,Africa,True
Nigeria,4.655560993714378,,2.9684829485539352,,4.510946948672973,Africa,True
North Macedonia,4.056866753658313,,2.7134905430939424,,3.8739015978644615,Europe,True
Norway,3.9762582492570453,,2.4082399653118496,,3.9472866446777983,Europe,True
Oman,4.906943489784884,,2.69196510276736,,4.850707485374537,Asia,True
Pakistan,5.4500380700168245,,3.780677274433368,,5.408338349010799,Asia,True
Palestine,4.127039973455082,,1.9637878273455553,,3.839289456006147,Asia,True
Panama,4.853807683981578,,3.1970047280230456,,4.659516883764218,North America,True
Papua New Guinea,2.2121876044039577,,0.47712125471966244,,1.724275869600789,Australia/Oceania,True
Paraguay,3.804480189105993,,1.8195439355418688,,3.696705780933917,South America,True
Peru,5.658401609089213,,4.3101408017961935,,5.491833557530294,South America,False
Philippines,5.077222510411053,,3.3324384599156054,,4.825016948212894,Asia,True
Poland,4.694736783385993,,3.2489536154957075,,4.551962065864094,Europe,True
Portugal,4.7165125058844515,,3.2412973871099933,,4.577951127729755,Europe,True
Qatar,5.049574618127225,,2.250420002308894,,5.036752619730748,Asia,True
Romania,4.762641058266737,,3.4092566520389096,,4.462278175996719,Europe,True
Russia,5.940463689045732,,4.164531296305431,,5.830175989144009,Europe,True
Rwanda,3.3244882333076564,,0.6989700043360189,,3.09968064110925,Africa,True
Réunion,2.826722520168992,,0.6989700043360189,,2.77232170672292,Africa,True
Saint Barthelemy,0.9542425094393249,,,,0.7781512503836436,North America,False
Saint Kitts and Nevis,1.2304489213782739,,,,1.2041199826559248,North America,False
Saint Lucia,1.3979400086720377,,,,1.380211241711606,North America,False
Saint Martin,1.724275869600789,,0.47712125471966244,,1.6127838567197355,North America,True
Saint Pierre and Miquelon,0.6020599913279624,,,,0.0,North America,False
Saint Vincent and the Grenadines,1.7481880270062005,,,,1.662757831681574,North America,False
San Marino,2.8444771757456815,,1.6232492903979006,,2.8175653695597807,Europe,True
Saudi Arabia,5.453663803148288,,3.485011214578573,,5.392853411749158,Asia,True
Senegal,4.029992175377847,,2.3483048630481607,,3.8513195126487454,Africa,True
Serbia,4.436671412050649,,2.79309160017658,,4.147583582421641,Europe,True
Seychelles,2.100370545117563,,,,2.093421685162235,Africa,False
Sierra Leone,3.273464272621346,,1.8260748027008264,,3.154423973114647,Africa,True
Singapore,4.736834560110393,,1.4313637641589874,,4.6815216286951955,Asia,True
Slovakia,3.3944516808262164,,1.462397997898956,,3.2610248339923973,Europe,True
Slovenia,3.3469394626989906,,2.0969100130080562,,3.280805928393667,Europe,True
