Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Argentina,5.358306124323217,,3.628491104967123,,4.999356768057647,South America,True
Bolivia,4.930138746756451,,3.529558673021163,,4.422212171034224,South America,True
Brazil,6.465020093842266,,4.994070674523462,,6.311257846648448,South America,True
Chile,5.5642765629793836,,3.9951523768914536,,5.531693456610254,South America,True
Colombia,5.553531081284317,,4.0769679521979185,,5.284103479669021,South America,True
Ecuador,4.956826099778944,,3.7691556907143986,,4.853199155575347,South America,True
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,False
French Guiana,3.9099302597528305,,1.6720978579357175,,3.859738566197147,South America,True
Guyana,2.7307822756663893,,1.3424226808222062,,2.2764618041732443,South America,True
Paraguay,3.804480189105993,,1.8195439355418688,,3.696705780933917,South America,True
Peru,5.658401609089213,,4.3101408017961935,,5.491833557530294,South America,False
Suriname,3.321391278311689,,1.462397997898956,,3.160168292958512,South America,True
Uruguay,3.119915410257991,,1.568201724066995,,3.0330214446829107,South America,True
Venezuela,4.348285387522612,,2.290034611362518,,4.0844332767865446,South America,True
