Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,55707,,2443,,49285,Asia,1
Albania,105229,,1756,,68007,Europe,1
Algeria,112805,,2977,,77842,Africa,1
Andorra,10822,,110,,10394,Europe,1
Angola,20759,,504,,19307,Africa,1
Anguilla,18,,,,18,North America,0
Antigua and Barbuda,701,,14,,271,North America,1
Argentina,2098728,,51887,,1892834,South America,1
Armenia,171793,283,3190,7,163309,Asia,0
Aruba,7849,,71,,7526,North America,1
Australia,28965,7,909,,26166,Australia/Oceania,0
Austria,457317,2457,8538,23,428904,Europe,0
Azerbaijan,233989,,3213,,228479,Asia,1
Bahamas,8519,,179,,7309,North America,1
Bahrain,121127,,444,2,113799,Asia,0
Bangladesh,545831,407,8400,5,496107,Asia,0
Barbados,2994,,33,,2270,North America,1
Belarus,284500,,1957,,274743,Europe,1
Belgium,766654,2769,22034,28,52233,Europe,0
Belize,12293,,315,,11836,North America,1
Benin,5434,,70,,4248,Africa,1
Bermuda,705,,12,,682,North America,1
Bhutan,867,,1,,862,Asia,1
Bolivia,247891,1069,11609,32,191950,South America,0
Bosnia and Herzegovina,130979,,5071,,115847,Europe,1
Botswana,28371,,310,,23244,Africa,1
Brazil,10457794,,252988,,9355974,South America,1
British Virgin Islands,153,,1,,131,North America,1
Brunei,185,,3,,178,Asia,0
Bulgaria,245627,,10128,,203494,Europe,1
Burkina Faso,11939,,142,,11404,Africa,1
Burundi,2143,,3,,773,Africa,1
Cabo Verde,15253,,146,,14754,Africa,1
Cambodia,767,26,,,477,Asia,0
Cameroon,35714,,551,,32594,Africa,1
Canada,861472,,21915,,809039,North America,0
Caribbean Netherlands,429,,4,,402,North America,1
Cayman Islands,444,,2,,413,North America,1
Central African Republic,5004,,63,,4920,Africa,1
Chad,3957,,138,,3450,Africa,1
Channel Islands,4033,,86,,3893,Europe,1
Chile,816929,,20400,,772951,South America,1
China,89887,10,4636,,85021,Asia,0
Colombia,2244792,,59518,,2141874,South America,1
Comoros,3558,,144,,3255,Africa,1
Costa Rica,204341,,2800,,177099,North America,1
Croatia,242617,520,5511,8,233890,Europe,0
Cuba,48441,,314,,43735,North America,1
Curaçao,4717,,22,,4631,North America,1
Cyprus,34181,,231,,2057,Asia,1
Czechia,1227595,14676,20194,93,1064022,Europe,0
DR Congo,25691,,707,,18286,Africa,1
Denmark,210212,,2353,,201531,Europe,1
Djibouti,6062,,63,,5894,Africa,1
Dominica,142,,,,127,North America,0
Dominican Republic,238205,,3082,,189163,North America,1
Ecuador,282599,,15713,,238817,South America,1
Egypt,181241,,10590,,139927,Africa,1
El Salvador,59866,,1841,,55312,North America,1
Equatorial Guinea,6005,48,91,,5622,Africa,0
Eritrea,2847,,7,,2253,Africa,1
Estonia,64399,1570,584,9,49709,Europe,0
Eswatini,16972,,650,,14241,Africa,1
Ethiopia,157047,,2340,,134561,Africa,1
Falkland Islands,54,,,,46,South America,0
Faroe Islands,658,,1,,657,Europe,1
Fiji,59,,2,,54,Australia/Oceania,1
Finland,57052,645,742,,46000,Europe,0
France,3712020,,86147,,254868,Europe,1
French Guiana,16627,,85,,9995,South America,1
French Polynesia,18387,,139,,4842,Australia/Oceania,1
Gabon,14564,,83,,13143,Africa,1
Gambia,4691,,148,,4089,Africa,1
Georgia,270510,373,3499,14,264589,Asia,0
Germany,2436506,,70421,,2243200,Europe,0
Ghana,82586,,594,,76573,Africa,1
Gibraltar,4236,,92,,4122,Europe,1
Greece,188201,,6439,,165718,Europe,1
Greenland,30,,,,30,North America,0
Grenada,148,,1,,147,North America,1
Guadeloupe,9746,,159,,2242,North America,1
Guatemala,173814,,6348,,160576,North America,1
Guinea,15894,,89,,14879,Africa,1
Guinea-Bissau,3241,,48,,2597,Africa,1
Guyana,8513,,195,,7945,South America,1
Haiti,12430,,249,,9679,North America,1
Honduras,168911,668,4117,18,65873,North America,0
