Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,4.461873532835076,0.8450980400142568,2.9585638832219674,,4.41773733705707,Australia/Oceania,0
Fiji,1.7708520116421442,,0.3010299956639812,,1.7323937598229686,Australia/Oceania,1
French Polynesia,4.264510876071772,,2.143014800254095,,3.685024785105714,Australia/Oceania,1
Marshall Islands,0.6020599913279624,,,,0.6020599913279624,Australia/Oceania,0
Micronesia,0.0,,,,0.0,Australia/Oceania,0
New Caledonia,1.7634279935629373,,,,1.7403626894942439,Australia/Oceania,0
New Zealand,3.375114684692225,0.0,1.414973347970818,,3.357934847000454,Australia/Oceania,0
Papua New Guinea,3.089198366805149,,1.0791812460476249,,2.9273703630390235,Australia/Oceania,1
Samoa,0.47712125471966244,,,,0.3010299956639812,Australia/Oceania,0
Solomon Islands,1.255272505103306,,,,1.146128035678238,Australia/Oceania,0
Vanuatu,0.0,,,,0.0,Australia/Oceania,0
Wallis and Futuna,0.9542425094393249,,,,0.8450980400142568,Australia/Oceania,0
