Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,105229,,1756,,68007,Europe,1
Andorra,10822,,110,,10394,Europe,1
Austria,454860,,8515,,427257,Europe,1
Belarus,284500,,1957,,274743,Europe,1
Belgium,766654,2769,22034,28,52233,Europe,0
Bosnia and Herzegovina,130979,,5071,,115847,Europe,1
Bulgaria,245627,,10128,,203494,Europe,1
Channel Islands,4033,,86,,3893,Europe,1
Croatia,242097,,5503,,233548,Europe,1
Czechia,1227595,14676,20194,93,1064022,Europe,0
Denmark,210212,,2353,,201531,Europe,1
Estonia,64399,1570,584,9,49709,Europe,0
Faroe Islands,658,,1,,657,Europe,1
Finland,56407,,742,,46000,Europe,1
France,3712020,,86147,,254868,Europe,1
Germany,2436506,,70421,,2243200,Europe,0
Gibraltar,4236,,92,,4122,Europe,1
Greece,188201,,6439,,165718,Europe,1
Hungary,424130,4948,14902,107,319691,Europe,0
Iceland,6049,,29,,6006,Europe,1
Ireland,218251,,4300,,23364,Europe,1
Isle of Man,475,,25,,410,Europe,1
Italy,2888923,,97227,,2387032,Europe,1
Latvia,84983,,1601,,74078,Europe,1
Liechtenstein,2564,,54,,2484,Europe,1
Lithuania,197343,626,3234,8,183324,Europe,0
Luxembourg,55110,,637,,51487,Europe,1
Malta,21982,,313,,19087,Europe,1
Moldova,183338,,3899,,164888,Europe,1
Monaco,1942,,23,,1692,Europe,1
Montenegro,74789,,994,,65251,Europe,1
Netherlands,1079084,,15503,,N/A,Europe,0
North Macedonia,101762,,3119,,90895,Europe,1
Norway,70564,,622,,63783,Europe,1
Poland,1684788,,43353,,1414461,Europe,0
Portugal,802773,,16243,,714493,Europe,1
Romania,795732,,20233,,736020,Europe,1
Russia,4234720,11534,85743,439,3799406,Europe,0
San Marino,3671,,73,,3224,Europe,1
Serbia,453240,,4414,,400347,Europe,1
Slovakia,303420,,6966,,255300,Europe,1
Slovenia,188676,,3823,,171905,Europe,1
Spain,3188553,,69142,,2647446,Europe,0
Sweden,657309,,12826,,N/A,Europe,0
Switzerland,554932,,9961,,507856,Europe,1
UK,4163085,,122415,,2779169,Europe,1
Ukraine,1342016,8172,25893,151,1168321,Europe,0
Vatican City,27,,,,15,Europe,0
