Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,18,,,,18,North America,0
Antigua and Barbuda,701,,14,,271,North America,1
Aruba,7849,,71,,7526,North America,1
Bahamas,8519,,179,,7309,North America,1
Barbados,2994,,33,,2270,North America,1
Belize,12293,,315,,11836,North America,1
Bermuda,705,,12,,682,North America,1
British Virgin Islands,153,,1,,131,North America,1
Canada,861472,,21915,,809039,North America,0
Caribbean Netherlands,429,,4,,402,North America,1
Cayman Islands,444,,2,,413,North America,1
Costa Rica,204341,,2800,,177099,North America,1
Cuba,48441,,314,,43735,North America,1
Curaçao,4717,,22,,4631,North America,1
Dominica,142,,,,127,North America,0
Dominican Republic,238205,,3082,,189163,North America,1
El Salvador,59866,,1841,,55312,North America,1
Greenland,30,,,,30,North America,0
Grenada,148,,1,,147,North America,1
Guadeloupe,9746,,159,,2242,North America,1
Guatemala,173814,,6348,,160576,North America,1
Haiti,12430,,249,,9679,North America,1
Honduras,168911,668,4117,18,65873,North America,0
Jamaica,22471,,413,,13231,North America,1
Martinique,6687,,45,,98,North America,1
Mexico,2076882,7512,184474,782,1625328,North America,0
Montserrat,20,,1,,13,North America,1
Nicaragua,6445,,173,,4225,North America,1
Panama,339781,,5820,,324836,North America,1
Saint Barthelemy,573,,1,,462,North America,1
Saint Kitts and Nevis,41,,,,40,North America,0
Saint Lucia,3356,,35,,2912,North America,1
Saint Martin,1544,,12,,1399,North America,1
Saint Pierre and Miquelon,24,,,,16,North America,0
Saint Vincent and the Grenadines,1530,,8,,913,North America,1
Trinidad and Tobago,7704,,139,,7445,North America,1
Turks and Caicos,2088,,14,,1847,North America,1
USA,29136912,,523082,,19534068,North America,1
