Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,1.255272505103306,,,,1.255272505103306,North America,0
Antigua and Barbuda,2.8457180179666586,,1.146128035678238,,2.432969290874406,North America,1
Aruba,3.894814329083301,,1.8512583487190752,,3.8765642139838454,North America,1
Bahamas,3.9303886182443217,,2.2528530309798933,,3.863857961883973,North America,1
Barbados,3.4762517960070336,,1.5185139398778875,,3.3560258571931225,North America,1
Belize,4.089657881621529,,2.4983105537896004,,4.0732049564885955,North America,1
Bermuda,2.848189116991399,,1.0791812460476249,,2.833784374656479,North America,1
British Virgin Islands,2.184691430817599,,0.0,,2.1172712956557644,North America,1
Canada,5.935241166353856,,4.340741474989978,,5.907969457430009,North America,0
Caribbean Netherlands,2.6324572921847245,,0.6020599913279624,,2.60422605308447,North America,1
Cayman Islands,2.6473829701146196,,0.3010299956639812,,2.615950051656401,North America,1
Costa Rica,5.310355514392059,,3.4471580313422194,,5.2482161089274655,North America,1
Cuba,4.685213099995357,,2.496929648073215,,4.640829130861392,North America,1
Curaçao,3.673665876245702,,1.3424226808222062,,3.665674780993893,North America,1
Dominica,2.1522883443830563,,,,2.103803720955957,North America,0
Dominican Republic,5.376950873224086,,3.4888326343824003,,5.276836193021091,North America,1
El Salvador,4.777180241343249,,3.2650537885040145,,4.742819362198332,North America,1
Greenland,1.4771212547196624,,,,1.4771212547196624,North America,0
Grenada,2.1702617153949575,,0.0,,2.167317334748176,North America,1
Guadeloupe,3.9888264070452757,,2.2013971243204513,,3.3506356082589543,North America,1
Guatemala,5.240084754148756,,3.802636918082811,,5.2056806352984974,North America,1
Haiti,4.094471128641644,,2.3961993470957363,,3.985830489858392,North America,1
Honduras,5.227657933074521,2.824776462475546,3.614580866997486,1.255272505103306,4.818707442609226,North America,0
Jamaica,4.351622399736366,,2.615950051656401,,4.121592669438407,North America,1
Martinique,3.8252313231999002,,1.6532125137753437,,1.9912260756924949,North America,1
Mexico,6.317411822387457,3.8757555792580547,5.265935164791977,2.893206753059848,6.210941017139907,North America,0
Montserrat,1.3010299956639813,,0.0,,1.1139433523068367,North America,1
Nicaragua,3.809222921689422,,2.2380461031287955,,3.625826713285711,North America,1
Panama,5.53119909017205,,3.7649229846498886,,5.5116641539895905,North America,1
Saint Barthelemy,2.75815462196739,,0.0,,2.6646419755561257,North America,1
Saint Kitts and Nevis,1.6127838567197355,,,,1.6020599913279623,North America,0
Saint Lucia,3.5258219521566625,,1.5440680443502757,,3.4641913706409997,North America,1
Saint Martin,3.188647295999717,,1.0791812460476249,,3.1458177144918276,North America,1
Saint Pierre and Miquelon,1.380211241711606,,,,1.2041199826559248,North America,0
Saint Vincent and the Grenadines,3.1920095926536702,1.414973347970818,0.9030899869919435,,2.9694159123539814,North America,0
Trinidad and Tobago,3.8867162741164782,,2.143014800254095,,3.871864702088195,North America,1
Turks and Caicos,3.3197304943302246,,1.146128035678238,,3.2664668954402414,North America,1
USA,7.464455118469689,2.890979596989689,5.718577247873045,0.9542425094393249,7.290798186641631,North America,0
