Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,2098728,,51887,,1892834,South America,1
Bolivia,247891,1069,11609,32,191950,South America,0
Brazil,10457794,,252988,,9355974,South America,1
Chile,816929,,20400,,772951,South America,1
Colombia,2244792,,59518,,2141874,South America,1
Ecuador,282599,,15713,,238817,South America,1
Falkland Islands,54,,,,46,South America,0
French Guiana,16627,,85,,9995,South America,1
Guyana,8513,,195,,7945,South America,1
Paraguay,157603,,3152,,131461,South America,1
Peru,1316363,,46094,,1218409,South America,1
Suriname,8913,,170,,8391,South America,1
Uruguay,56542,,601,,49012,South America,1
Venezuela,138295,,1338,,130379,South America,1
