Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,5.052924683707729,,3.4740705032150436,,4.891960953056588,Africa,1
Angola,4.3176873404861835,,2.7041505168397992,,4.2858947124808395,Africa,1
Benin,3.735119634081872,,1.845098040014257,,3.6281845080734128,Africa,1
Botswana,4.452874643755949,,2.4913616938342726,,4.366310866766736,Africa,1
Burkina Faso,4.078529315254346,,2.1522883443830563,,4.0604334067027406,Africa,1
Burundi,3.3386556655787003,,0.47712125471966244,,2.888179493918325,Africa,1
Cabo Verde,4.1853721433110405,,2.167317334748176,,4.1697919538760315,Africa,1
Cameroon,4.552838494288028,,2.741151598851785,,4.5131376612116405,Africa,1
Central African Republic,3.6993173010213822,,1.7993405494535817,,3.69196510276736,Africa,1
Chad,3.5991185650553628,,2.146128035678238,,3.540954808926133,Africa,1
Comoros,3.552789850192782,,2.1583624920952498,,3.5190400386483445,Africa,1
DR Congo,4.4135176950400155,2.0827853703164503,2.8494194137968996,,4.27763213161403,Africa,0
Djibouti,3.782830805202592,,1.7993405494535817,,3.770483809431108,Africa,1
Egypt,5.259663150258705,,4.026900808890256,,5.147552664080268,Africa,1
Equatorial Guinea,3.7785130117389247,,1.9590413923210936,,3.749890841271422,Africa,1
Eritrea,3.454387467146955,,0.8450980400142568,,3.3527611917238307,Africa,1
Eswatini,4.230500011841471,,2.8129133566428557,,4.159747610524273,Africa,1
Ethiopia,5.1988027435864215,,3.371806458507416,,5.129483650010027,Africa,1
Gabon,4.163280670261906,,1.919078092376074,,4.118694507897838,Africa,1
Gambia,3.6712654329471586,,2.1702617153949575,,3.611617110554336,Africa,1
Ghana,4.920185960401147,2.7965743332104296,2.7774268223893115,0.6989700043360189,4.887240223079213,Africa,0
Guinea,4.20390278111006,1.9912260756924949,1.9493900066449128,,4.1730988177662285,Africa,0
Guinea-Bissau,3.5114822886260013,,1.6812412373755872,,3.4151403521958725,Africa,1
Ivory Coast,4.5136303832523925,,2.2833012287035497,,4.49853109180724,Africa,1
Kenya,5.023861279928935,,3.2681097298084785,,4.937563024202634,Africa,1
Lesotho,4.020816887028907,,2.4653828514484184,,3.5734518220354854,Africa,1
Liberia,3.303196057420489,,1.9294189257142926,,3.2750808984568587,Africa,1
Libya,5.124953936649168,2.9444826721501687,3.3382572302462554,0.6989700043360189,5.080048967578851,Africa,0
Madagascar,4.297344614534694,,2.4727564493172123,,4.2854672904600575,Africa,1
Malawi,4.502399805007103,,3.017450729510536,,4.265383924956175,Africa,1
Mali,3.922465945298413,,2.546542663478131,,3.8063156698081135,Africa,1
Mauritania,4.2354274364449696,,2.6434526764861874,,4.218588016489417,Africa,1
Mauritius,2.785329835010767,,1.0,,2.756636108245848,Africa,1
Mayotte,4.226883328390917,,2.037426497940624,,3.4718781993072905,Africa,1
Morocco,5.684315630142585,,3.9352552817840474,,5.670994087734174,Africa,1
Mozambique,4.76917046992462,,2.7993405494535817,,4.610244830122282,Africa,1
Namibia,4.587059596172171,,2.6232492903979003,,4.558948445978039,Africa,1
Niger,3.6757783416740852,,2.2355284469075487,,3.6283889300503116,Africa,1
Nigeria,5.191498521558779,,3.279894980011638,,5.124686772732207,Africa,1
Rwanda,4.273926780100526,,2.416640507338281,,4.238221793677805,Africa,1
Réunion,4.093981703914113,,1.7160033436347992,,4.051923916046107,Africa,1
Senegal,4.538070787043172,2.423245873936808,2.940516484932567,0.8450980400142568,4.4608076684512294,Africa,0
Seychelles,3.413634997198556,,1.0413926851582251,,3.3546845539547285,Africa,1
Sierra Leone,3.5896145406312665,,1.8976270912904414,,3.4184670209466006,Africa,1
Somalia,3.8445393021290077,,2.3636119798921444,,3.578295305120826,Africa,1
South Africa,6.179616413512142,,4.698457234253491,,6.155046512559328,Africa,1
South Sudan,3.8990540679981707,2.1903316981702914,1.968482948553935,,3.6250036010148636,Africa,0
Sudan,4.452307889568104,,3.27415784926368,,4.359588869615034,Africa,1
São Tomé and Príncipe,3.2518814545525276,,1.4471580313422192,,3.1319392952104246,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.8357539675193832,,1.919078092376074,,3.7481104674949837,Africa,1
Tunisia,5.366637716442238,,3.9016762313263755,,5.295828697328888,Africa,1
Uganda,4.605682061278983,,2.5237464668115646,,4.1648285343444815,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.8950577180901265,2.5211380837040362,3.037824750588342,1.0,4.872144613679529,Africa,0
Zimbabwe,4.557001634392705,,3.1652443261253107,,4.513084360465144,Africa,1
