Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.746112420920532,1.2787536009528289,3.3881012015705165,0.0,4.6931375262432065,Asia,0
Armenia,5.235674870360508,2.423245873936808,3.5040628826786917,0.3010299956639812,5.2132361047378035,Asia,0
Azerbaijan,5.370211365721756,2.4313637641589874,3.507855871695831,0.3010299956639812,5.359395275386024,Asia,0
Bahrain,5.085568837216481,,2.6473829701146196,,5.058699270670859,Asia,1
Bangladesh,5.737364417535566,2.5854607295085006,3.924692703020186,0.9030899869919435,5.696289972426474,Asia,0
Bhutan,2.9380190974762104,,0.0,,2.9355072658247128,Asia,1
Brunei,2.2695129442179165,,0.47712125471966244,,2.2576785748691846,Asia,0
Cambodia,2.9057958803678687,1.5797835966168101,,,2.678518379040114,Asia,0
China,4.953725874383556,0.7781512503836436,3.6661434272915585,,4.929618144541635,Asia,0
Cyprus,4.536861333074499,,2.3636119798921444,,3.313234291694724,Asia,1
Georgia,5.432581297447042,2.3944516808262164,3.545307116465824,1.0413926851582251,5.423432662332135,Asia,0
Hong Kong,4.041629508475138,1.3424226808222062,2.298853076409707,0.0,4.022675761953727,Asia,0
India,7.045195058267947,2.4638929889859074,5.196140245753702,,7.032424090451504,Asia,0
Indonesia,6.125362184372313,3.7450747915820575,4.558300477962864,2.2671717284030137,6.057933367558902,Asia,0
Iran,6.212498959179555,3.9036325160842376,4.778679320825542,1.968482948553935,6.143990085824313,Asia,0
Iraq,5.842290265489705,3.5116160205691376,4.1272992150577075,1.3617278360175928,5.8034099962381935,Asia,0
Israel,5.889009646358923,3.058426024457005,3.7587605439099794,0.7781512503836436,5.862508836674431,Asia,0
Japan,5.634012497758634,,3.8924841793646876,,5.6106814515133,Asia,1
Jordan,5.587145003592204,,3.6697816152085365,,5.53943618795651,Asia,1
Kazakhstan,5.327989990952356,2.8981764834976764,3.404833716619938,,5.293457580766082,Asia,0
Kuwait,5.278502094493883,,3.03261876085072,,5.250900388284398,Asia,1
Kyrgyzstan,4.9356533496052135,1.6434526764861874,3.165541076722373,0.0,4.9200136948568485,Asia,0
Laos,1.6532125137753437,,,,1.6232492903979006,Asia,0
Lebanon,5.571466583957871,,3.667639706056411,,5.460153344193978,Asia,1
Macao,1.6812412373755872,,,,1.6720978579357175,Asia,0
Malaysia,5.478208524078634,3.386855529184724,3.0530784434834195,0.9542425094393249,5.436825513804094,Asia,0
Maldives,4.292189592623499,,1.7853298350107671,,4.233808065724531,Asia,1
Mongolia,3.4634450317704277,1.6127838567197355,0.3010299956639812,,3.351989455435632,Asia,0
Myanmar,5.151951788707265,,3.505014240084107,,5.118773805744756,Asia,1
Nepal,5.43797716103407,1.8920946026904804,3.443106456737266,0.0,5.432017929954599,Asia,0
Oman,5.150744162810968,2.958085848521085,3.1958996524092336,0.9030899869919435,5.122081472014499,Asia,0
Pakistan,5.763407775935435,3.0704073217401198,4.109240968588203,1.3617278360175928,5.736617179359761,Asia,0
Palestine,5.263901061197896,3.231214647962601,3.3100557377508912,1.2304489213782739,5.222550003038831,Asia,0
Philippines,5.760687804544509,3.3248994970523134,4.090540199754235,1.462397997898956,5.727761601505043,Asia,0
Qatar,5.212712170990018,,2.4099331233312946,,5.185312623544061,Asia,1
Saudi Arabia,5.576411614981332,,3.8121108412030997,,5.565860800108037,Asia,1
Singapore,4.777687755695143,1.0413926851582251,1.462397997898956,,4.769163080382377,Asia,1
South Korea,4.952676228303794,2.550228353055094,3.204933522354145,0.9030899869919435,4.906857389645695,Asia,0
Sri Lanka,4.918502139636174,,2.6665179805548807,,4.89416647122255,Asia,1
Syria,4.191255342246265,,3.00987563371216,,3.9875322027298394,Asia,1
Taiwan,2.9800033715837464,0.0,0.9542425094393249,,2.9633155113861114,Asia,0
Tajikistan,4.124112792196785,,1.954242509439325,,4.121165747534412,Asia,1
Thailand,4.414154097680207,1.845098040014257,1.919078092376074,,4.400157923390449,Asia,0
Timor-Leste,2.0530784434834195,0.3010299956639812,,,1.954242509439325,Asia,0
Turkey,6.4302628005434785,,4.4548905728112365,,6.409209767368165,Asia,1
UAE,5.592758388994468,3.4668676203541096,3.0867156639448825,0.9030899869919435,5.581181373094403,Asia,0
Uzbekistan,4.902470675991269,1.6989700043360187,2.7937903846908188,,4.894548658145807,Asia,0
Vietnam,3.3888114134735234,1.2041199826559248,1.5440680443502757,,3.2732328340430454,Asia,0
Yemen,3.355834495884936,,2.8000293592441343,,3.156851901070011,Asia,1
