Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,6.323086397082381,,4.715552111184633,,6.278544860868903,South America,1
Bolivia,5.395408525506365,2.8169038393756605,4.06550502309839,1.2787536009528289,5.284550289374206,South America,0
Brazil,7.021901454142414,,5.405283166841318,,6.972500908399084,South America,1
Chile,5.91456421545825,,4.311245120878207,,5.8903958658824696,South America,1
Colombia,6.351822386965827,,4.775683249026044,,6.331518397695479,South America,1
Ecuador,5.453848650593044,,4.198079476171031,,5.378065238468259,South America,1
Falkland Islands,1.7323937598229686,,,,1.662757831681574,South America,0
French Guiana,4.220813896785491,,1.9294189257142926,,3.999782798454136,South America,1
Guyana,3.931966114728173,,2.290034611362518,,3.90151280912994,South America,1
Paraguay,5.200130635768741,,3.500648063371912,,5.122035567666114,South America,1
Peru,6.121843044452239,,4.665571610906247,,6.0884883447555875,South America,1
Suriname,3.9503161639246,,2.230448921378274,,3.9242275812601175,South America,1
Uruguay,4.758624285160117,,2.780317312140151,,4.694306793158542,South America,1
Venezuela,5.142198559876307,,3.127428777851599,,5.116720619321484,South America,1
