Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,145552,544,6577,62,94814,Asia,0
Armenia,229090,180,4597,7,219280,Asia,0
Azerbaijan,341183,468,5011,2,332259,Asia,0
Bahrain,268626,,1383,,266417,Asia,1
Bangladesh,1194752,14925,19779,258,1022414,Asia,0
Bhutan,2489,,2,,2250,Asia,1
Brunei,333,,3,,270,Asia,0
Cambodia,74386,685,1324,19,66725,Asia,0
China,92676,71,4636,,87245,Asia,0
Cyprus,98569,,404,,78408,Asia,1
Georgia,407689,3666,5731,17,376088,Asia,0
Hong Kong,11980,1,212,,11705,Asia,0
India,31440951,468,421414,,30621469,Asia,0
Indonesia,3239936,45203,86835,2069,2596820,Asia,0
Iran,3758197,34951,89479,357,3291979,Asia,0
Iraq,1564828,,18347,,1420995,Asia,1
Israel,863680,963,6461,,844072,Asia,0
Japan,875506,4692,15137,8,820138,Asia,0
Jordan,766114,,9971,,747719,Asia,1
Kazakhstan,542703,6797,5538,86,452002,Asia,0
Kuwait,393605,,2293,,377434,Asia,1
Kyrgyzstan,159089,969,2275,14,138316,Asia,0
Laos,5154,169,5,,2174,Asia,0
Lebanon,555643,,7894,,536397,Asia,1
Macao,59,,,,53,Asia,0
Malaysia,1044071,16117,8408,207,865439,Asia,0
Maldives,76848,,219,,74020,Asia,1
Mongolia,159101,1127,789,7,156405,Asia,0
Myanmar,274155,,7507,,189729,Asia,1
Nepal,685673,2726,9758,20,647079,Asia,0
Oman,295017,491,3788,17,277010,Asia,0
Pakistan,1011708,3262,23087,39,928722,Asia,0
Palestine,316189,101,3600,1,311560,Asia,0
Philippines,1562420,7186,27318,72,1478625,Asia,0
Qatar,225376,,600,,223114,Asia,0
Saudi Arabia,519395,,8179,,500428,Asia,0
Singapore,64453,,36,,62212,Asia,0
South Korea,191531,1365,2079,2,168629,Asia,0
Sri Lanka,298181,,4147,,269007,Asia,0
Syria,25892,,1908,,21955,Asia,0
Taiwan,15599,17,787,1,13916,Asia,0
Tajikistan,14673,,118,,14167,Asia,0
Thailand,526828,14150,4264,118,350643,Asia,0
Timor-Leste,10354,,26,,9672,Asia,0
Turkey,5618417,,50997,,5426733,Asia,0
UAE,674724,1539,1929,2,652180,Asia,0
Uzbekistan,125784,789,845,6,120320,Asia,0
Vietnam,109111,2764,524,,21344,Asia,0
Yemen,7012,,1373,,4166,Asia,0
