Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,145552,,6577,,94814,Asia,1
Albania,132922,,2456,,130166,Europe,1
Algeria,165204,,4112,,112050,Africa,1
Andorra,14586,,127,,14113,Europe,1
Angola,42110,,994,,35742,Africa,1
Anguilla,113,,,,111,North America,0
Antigua and Barbuda,1288,,43,,1229,North America,1
Argentina,4875927,,104352,,4519922,South America,1
Armenia,229090,,4597,,219280,Asia,1
Aruba,11460,,109,,11099,North America,1
Australia,33474,206,921,1,29911,Australia/Oceania,0
Austria,656949,,10737,,641541,Europe,1
Azerbaijan,341183,,5011,,332259,Asia,1
Bahamas,14252,,284,,12298,North America,1
Bahrain,268731,,1383,,266497,Asia,1
Bangladesh,1194752,,19779,,1022414,Asia,1
Barbados,4359,,48,,4146,North America,1
Belarus,441881,,3413,,435842,Europe,1
Belgium,1119030,1333,25230,2,1058072,Europe,0
Belize,13983,,333,,13255,North America,1
Benin,8324,,107,,8125,Africa,1
Bermuda,2538,,33,,2488,North America,1
Bhutan,2500,,2,,2275,Asia,1
Bolivia,470024,842,17716,44,403396,South America,0
Bosnia and Herzegovina,205523,,9686,,189063,Europe,1
Botswana,102124,,1485,,87517,Africa,1
Brazil,19749073,,551906,,18466822,South America,1
British Virgin Islands,2389,,25,,1255,North America,1
Brunei,333,,3,,270,Asia,0
Bulgaria,424079,,18203,,398335,Europe,1
Burkina Faso,13556,,169,,13359,Africa,1
Burundi,6573,,8,,773,Africa,1
Cabo Verde,33626,,298,,32835,Africa,1
Cambodia,75152,766,1339,15,67692,Asia,0
Cameroon,82064,,1334,,80433,Africa,1
Canada,1427917,,26560,,1396192,North America,1
Caribbean Netherlands,1697,,17,,1661,North America,1
Cayman Islands,640,,2,,623,North America,1
Central African Republic,7148,,98,,6859,Africa,1
Chad,4971,,174,,4782,Africa,1
Channel Islands,8926,,86,,5831,Europe,1
Chile,1611090,,35151,,1566138,South America,1
China,92762,86,4636,,87264,Asia,0
Colombia,4747775,,119482,,4526917,South America,1
