Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,140075,,3726,,97380,Africa,1
Angola,38965,,903,,33271,Africa,1
Benin,8199,,104,,8000,Africa,1
Botswana,71443,,1158,,66323,Africa,1
Burkina Faso,13485,,168,,13308,Africa,1
Burundi,5482,,8,,773,Africa,1
Cabo Verde,32594,,287,,31692,Africa,1
Cameroon,80858,,1324,,78224,Africa,1
Central African Republic,7141,,98,,6859,Africa,1
Chad,4951,,174,,4769,Africa,1
Comoros,3943,,146,,3765,Africa,1
DR Congo,41771,418,937,4,28431,Africa,0
Djibouti,11602,,155,,11443,Africa,1
Egypt,281524,,16194,,212059,Africa,1
Equatorial Guinea,8742,,122,,8534,Africa,1
Eritrea,6028,,25,,5559,Africa,1
Eswatini,19084,,678,,18107,Africa,1
Ethiopia,276250,,4325,,260737,Africa,1
Gabon,25054,,159,,24729,Africa,1
Gambia,6079,,181,,5858,Africa,1
Ghana,95914,,796,,93444,Africa,1
Guinea,23787,,172,,22477,Africa,1
Guinea-Bissau,3869,,69,,3588,Africa,1
Ivory Coast,48378,,315,,47862,Africa,1
Kenya,184537,,3640,,126594,Africa,1
Lesotho,11544,128,329,,6461,Africa,0
Liberia,4304,,129,,2392,Africa,1
Libya,194323,418,3205,7,178871,Africa,0
Madagascar,42247,,915,,40651,Africa,1
Malawi,36359,,1199,,33228,Africa,1
Mali,14428,,525,,10062,Africa,1
Mauritania,20894,,489,,19816,Africa,1
Mauritius,1858,,18,,1534,Africa,1
Mayotte,19405,,174,,2964,Africa,1
Morocco,532150,,9298,,518101,Africa,1
Mozambique,77205,,884,,71491,Africa,1
Namibia,91208,,1556,,67780,Africa,1
Niger,5492,,193,,5207,Africa,1
Nigeria,167692,,2121,,164273,Africa,1
Rwanda,39914,,448,,27272,Africa,0
Réunion,30583,,237,,28585,Africa,0
Saint Helena,2,,,,2,Africa,0
Senegal,43427,164,1170,2,41554,Africa,0
Seychelles,15579,,68,,14365,Africa,0
Sierra Leone,5652,,102,,3562,Africa,0
Somalia,14946,,775,,7246,Africa,0
South Africa,1995556,,61029,,1754793,Africa,0
South Sudan,10846,,117,,10514,Africa,0
Sudan,36709,,2760,,30543,Africa,0
São Tomé and Príncipe,2369,,37,,2320,Africa,0
Tanzania,509,,21,,183,Africa,0
Togo,13962,,130,,13517,Africa,0
Tunisia,426879,,15065,,356321,Africa,0
Uganda,81034,,1061,,53551,Africa,0
Western Sahara,10,,1,,8,Africa,0
Zambia,157832,,2271,,134419,Africa,0
Zimbabwe,51221,,1808,,39411,Africa,0
