Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,132544,,2456,,130033,Europe,1
Andorra,13991,,127,,13752,Europe,1
Austria,650901,,10718,,638456,Europe,1
Belarus,422521,,3204,,415363,Europe,1
Belgium,1089105,742,25194,4,1043221,Europe,0
Bosnia and Herzegovina,205047,,9667,,183663,Europe,1
Bulgaria,422238,,18127,,395915,Europe,1
Channel Islands,4798,,86,,4078,Europe,1
Croatia,360342,,8221,,351593,Europe,1
Czechia,1668277,107,30311,,1636543,Europe,0
Denmark,296196,,2538,,289418,Europe,1
Estonia,131299,42,1270,,127719,Europe,0
Faroe Islands,793,,1,,767,Europe,1
Finland,96791,,973,,46000,Europe,1
France,5790584,,111231,,5636416,Europe,1
Germany,3739555,,91630,,3631500,Europe,0
Gibraltar,4379,,94,,4243,Europe,1
Greece,429144,,12730,,407187,Europe,1
Hungary,808338,44,29999,1,740535,Europe,0
Iceland,6664,,30,,6606,Europe,1
Ireland,275038,,5000,,259449,Europe,1
Isle of Man,1643,,29,,1571,Europe,1
Italy,4264704,,127704,,4094421,Europe,1
Latvia,137699,,2531,,134354,Europe,1
Liechtenstein,3047,,59,,2968,Europe,1
Lithuania,278984,33,4395,,268036,Europe,0
Luxembourg,71547,,818,,69787,Europe,1
Malta,30675,,420,,30165,Europe,1
Moldova,257105,,6200,,250042,Europe,1
Monaco,2595,,33,,2541,Europe,1
Montenegro,100362,,1619,,98452,Europe,1
Netherlands,1692834,,17758,,1645292,Europe,1
North Macedonia,155732,,5486,,150104,Europe,1
Norway,132363,,794,,88952,Europe,1
Poland,2880403,,75095,,2652265,Europe,0
Portugal,892741,,17118,,837135,Europe,0
Romania,1081030,,34021,,1045351,Europe,0
Russia,5658672,,139316,,5101852,Europe,0
San Marino,5092,,90,,5002,Europe,0
Serbia,717093,,7061,,708545,Europe,0
Slovakia,391735,,12514,,378871,Europe,0
Slovenia,257477,,4421,,252649,Europe,0
Spain,3880612,,80952,,3621423,Europe,0
Sweden,1091730,,14595,,1065596,Europe,0
Switzerland,704057,,10895,,686410,Europe,0
UK,4958868,,128268,,4341354,Europe,0
Ukraine,2238974,610,52537,33,2174353,Europe,0
Vatican City,27,,,,27,Europe,0
