Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,4593763,,97439,,4206478,South America,1
Bolivia,449687,1474,17067,54,373624,South America,0
Brazil,18909037,,528611,,17352670,South America,1
Chile,1576336,,33328,,1524232,South America,1
Colombia,4426811,,110578,,4142384,South America,1
Ecuador,465029,,21728,,431404,South America,1
Falkland Islands,63,,,,63,South America,0
French Guiana,27996,,154,,9995,South America,1
Guyana,20645,,484,,18647,South America,1
Paraguay,432801,,13645,,386222,South America,0
Peru,2069051,,193588,,N/A,South America,0
Suriname,22788,,559,,18854,South America,0
Uruguay,374665,,5758,,359275,South America,0
Venezuela,280980,,3239,,262677,South America,0
