Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,80744,,3195,,58622,80,1
Albania,132379,,2451,,129664,4,1
Algeria,130958,,3518,,91198,193,1
Andorra,13758,,127,,13527,0,1
Angola,35772,,797,,28880,58,1
Anguilla,109,,,,109,1,0
Antigua and Barbuda,1263,,42,,1214,6,1
Argentina,3955439,,81214,,3529033,3,1
Armenia,223180,,4458,,214363,3,1
Aruba,11057,,107,,10886,1,1
Australia,30186,11,910,,29126,1,0
Austria,646800,,10639,,630942,0,1
Azerbaijan,334715,,4941,,326893,3,1
Bahamas,11930,,232,,10932,4,1
Bahrain,251078,,1119,,228370,0,1
Bangladesh,810990,,12839,,751322,27,1
Barbados,4031,,47,,3922,2,1
Belarus,399852,,2910,,392366,1,1
Belgium,1069874,,25019,,978751,1,1
Belize,12861,,325,,12439,3,1
Benin,8082,,102,,7893,21,1
Bermuda,2494,,33,,2451,0,1
Bhutan,1687,,1,,1388,1,1
Bolivia,387162,1428,15024,43,306819,8,0
Bosnia and Herzegovina,204304,,9374,,176286,3,1
Botswana,56217,,866,,52675,2,1
Brazil,16947062,,473495,,15342286,4,1
British Virgin Islands,248,,1,,209,1,1
Brunei,244,,3,,231,3,0
Bulgaria,419473,,17820,,386099,2,1
Burkina Faso,13453,,167,,13265,112,1
Burundi,4905,,8,,773,39,1
Cabo Verde,31097,,267,,29647,3,1
Cambodia,34244,,263,,27147,14,1
Cameroon,78929,,1275,,73974,16,1
Canada,1392563,,25724,,1342645,1,1
Caribbean Netherlands,1616,,17,,1580,3,1
Cayman Islands,587,,2,,575,1,1
Central African Republic,7091,,98,,6859,90,1
Chad,4939,,174,,4757,139,1
Channel Islands,4066,,86,,3956,0,1
Chile,1427956,,29937,,1347676,1,1
China,91267,19,4636,,86228,9,0
Colombia,3571067,,91961,,3310737,3,1
Comoros,3888,,146,,3736,,1
Costa Rica,327979,,4153,,247905,4,1
Croatia,357565,,8086,,347997,2,1
Cuba,148918,,1012,,141949,3,1
Curaçao,12279,,123,,12137,1,1
Cyprus,72779,,363,,70701,0,1
Czechia,1663517,,30159,,1624721,0,1
DR Congo,33202,,804,,27751,564,1
Denmark,286489,,2518,,271568,0,1
Djibouti,11562,,154,,11385,6,1
Dominica,188,,,,187,4,0
Dominican Republic,301078,,3654,,245190,7,1
Ecuador,432353,,20809,,398645,12,1
Egypt,267972,,15352,,196604,36,1
El Salvador,74141,,2270,,69215,7,1
Equatorial Guinea,8626,,118,,8203,12,1
Eritrea,4427,,14,,3894,152,1
Estonia,130119,,1263,,124659,1,1
Eswatini,18653,,673,,17903,5,1
Ethiopia,272914,,4209,,246247,43,1
Falkland Islands,63,,,,63,0,0
Faroe Islands,743,,1,,697,0,1
Fiji,687,,4,,193,8,1
Finland,93226,,959,,46000,1,1
France,5712753,,109998,,5409110,1,1
