Dates,Imported,Community,Dorm,Total
23 Feb,3,0,1,4
24 Feb,6,1,0,7
25 Feb,8,2,0,10
26 Feb,13,0,0,13
27 Feb,12,0,0,12
28 Feb,10,0,1,11
1 Mar,12,0,0,12
2 Mar,8,0,0,8
3 Mar,21,2,0,23
4 Mar,18,1,0,19
5 Mar,9,0,0,9
6 Mar,12,1,0,13
7 Mar,13,0,0,13
8 Mar,13,0,0,13
9 Mar,6,0,0,6

10 Mar,10,0,0,10

11 Mar,7,1,0,8

12 Mar,9,1,0,10

13 Mar,8,0,0,8

14 Mar,17,0,0,17

15 Mar,12,0,0,12

16 Mar,11,0,0,11

17 Mar,9,0,0,9

18 Mar,15,0,0,15

19 Mar,15,0,0,15

20 Mar,17,0,0,17

21 Mar,12,0,0,12

22 Mar,12,0,0,12

23 Mar,13,0,0,13

24 Mar,15,0,0,15

25 Mar,17,0,0,17

26 Mar,11,1,0,12

27 Mar,22,1,0,23

28 Mar,12,0,0,12

30 Mar,26,0,0,26

31 Mar,33,1,0,34

3 Apr,17,1,0,18

4 Apr,10,0,0,10

5 Apr,17,0,0,17

6 Apr,24,0,0,24

7 Apr,34,1,0,35

8 Apr,21,0,0,21

10 Apr,31,1,0,32

11 Apr,19,0,1,20

13 Apr,14,0,0,14

14 Apr,26,1,0,27

15 Apr,16,0,0,16

16 Apr,32,2,0,34

17 Apr,35,4,0,39

18 Apr,22,1,0,23

19 Apr,19,1,0,20

21 Apr,14,1,0,15

22 Apr,22,1,1,24
