Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,1.3424226808222062,,,,1.3010299956639813,North America,0
Antigua and Barbuda,3.0141003215196207,1.3424226808222062,1.4471580313422192,0.0,2.8356905714924254,North America,0
Aruba,3.937718443617264,,1.9138138523837167,,3.913177833990468,North America,1
Bahamas,3.9444826721501687,,2.2695129442179165,,3.885134966063434,North America,1
Barbados,3.545554507234065,,1.591064607026499,,3.5165353738957994,North America,1
Belize,4.093421685162235,,2.499687082618404,,4.08012119950948,North America,1
Bermuda,2.884795363948981,,1.0791812460476249,,2.8494194137968996,North America,1
British Virgin Islands,2.184691430817599,,0.0,,2.1172712956557644,North America,1
Canada,5.968330218157735,3.4164740791002206,4.354780498831271,1.255272505103306,5.941033147292221,North America,0
Caribbean Netherlands,2.9943171526696366,,0.8450980400142568,,2.7752462597402365,North America,1
Cayman Islands,2.6766936096248664,,0.3010299956639812,,2.645422269349092,North America,1
Costa Rica,5.3261371052441735,,3.461798557525109,,5.279292705671426,North America,1
Cuba,4.819293815192549,2.910090545594068,2.593286067020457,0.6989700043360189,4.792825766977573,North America,0
Curaçao,3.7540423867854362,,1.3617278360175928,,3.6788824146707357,North America,1
Dominica,2.1931245983544616,,,,2.1492191126553797,North America,0
Dominican Republic,5.39618016097194,2.6875289612146345,3.514414920580369,0.8450980400142568,5.31211809194068,North America,0
El Salvador,4.796095374003062,,3.295567099962479,0.6020599913279624,4.775071340835313,North America,0
Greenland,1.4913616938342726,,,,1.4913616938342726,North America,0
Grenada,2.187520720836463,,0.0,,2.1789769472931693,North America,1
Guadeloupe,4.040444098362676,,2.2174839442139063,,3.3506356082589543,North America,1
Guatemala,5.273369397721163,2.9633155113861114,3.8251014115980033,1.3424226808222062,5.2331992415847735,North America,0
Haiti,4.104282207094438,,2.399673721481038,,4.025797241310292,North America,1
Honduras,5.258534323096506,2.7489628612561616,3.6456187382426952,1.3010299956639813,4.839509471308361,North America,0
Jamaica,4.539891204534791,2.8419848045901137,2.7193312869837265,0.6989700043360189,4.2024610706294,North America,0
Martinique,3.863857961883973,,1.6720978579357175,,1.9912260756924949,North America,1
Mexico,6.340029453261359,3.757547853469244,5.294948752378345,2.787460474518415,6.237862556101376,North America,0
Montserrat,1.3010299956639813,,0.0,,1.2787536009528289,North America,1
Nicaragua,3.8183578779583547,,2.24551266781415,,3.625826713285711,North America,1
Panama,5.544340943693803,,3.780677274433368,,5.529872893584498,North America,1
Saint Barthelemy,2.88930170250631,,0.0,,2.6646419755561257,North America,1
Saint Kitts and Nevis,1.6434526764861874,,,,1.6232492903979006,North America,0
Saint Lucia,3.614158709509175,,1.7403626894942439,,3.5896145406312665,North America,1
Saint Martin,3.2092468487533736,,1.0791812460476249,,3.1458177144918276,North America,1
Saint Pierre and Miquelon,1.380211241711606,,,,1.380211241711606,North America,0
Saint Vincent and the Grenadines,3.228913405994688,0.3010299956639812,0.9542425094393249,,3.1795517911651876,North America,0
Trinidad and Tobago,3.8932622858879915,,2.146128035678238,,3.8780619812900126,North America,1
Turks and Caicos,3.359835482339888,1.2041199826559248,1.1760912590556813,,3.3271545124094315,North America,0
USA,7.4833387580764885,3.831997677235896,5.743643795229128,1.8260748027008264,7.354339591391548,North America,0
