Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,29205,9,909,,26243,Australia/Oceania,0
Fiji,67,,2,,64,Australia/Oceania,1
French Polynesia,18576,,141,,4842,Australia/Oceania,1
Marshall Islands,4,,,,4,Australia/Oceania,0
Micronesia,1,,,,1,Australia/Oceania,0
New Caledonia,116,,,,58,Australia/Oceania,0
New Zealand,2462,9,26,,2373,Australia/Oceania,0
Papua New Guinea,3085,,36,,846,Australia/Oceania,1
Samoa,3,,,,2,Australia/Oceania,0
Solomon Islands,18,,,,16,Australia/Oceania,0
Vanuatu,3,,,,1,Australia/Oceania,0
Wallis and Futuna,318,10,1,,13,Australia/Oceania,0
