Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,56226,34,2467,1,49802,Asia,0
Albania,121847,,2156,,86497,Europe,1
Algeria,116349,,3066,,80981,Africa,1
Andorra,11591,,113,,11050,Europe,1
Angola,21774,,530,,20099,Africa,1
Anguilla,22,,,,20,North America,0
Antigua and Barbuda,1080,,28,,715,North America,1
Argentina,2261577,,54823,,2043957,South America,1
Armenia,186184,1164,3398,14,169485,Asia,0
Aruba,8902,,82,,8310,North America,1
Australia,29218,7,909,,26253,Australia/Oceania,0
Austria,523269,3289,9151,30,480597,Europe,0
Azerbaijan,248307,,3384,,233356,Asia,1
Bahamas,8935,,188,,7757,North America,1
Bahrain,137550,,503,,129845,Asia,1
Bangladesh,580808,3567,8763,25,527609,Asia,0
Barbados,3574,,40,,3390,North America,1
Belarus,312474,,2175,,303030,Europe,1
Belgium,842775,3537,22763,35,55692,Europe,0
Belize,12410,,316,,12047,North America,1
Benin,6818,,90,,5552,Africa,1
Bermuda,840,,12,,715,North America,1
Bhutan,869,,1,,867,Asia,1
Bolivia,266086,879,12093,19,213779,South America,0
Bosnia and Herzegovina,156346,,6005,,126237,Europe,1
Botswana,37559,,485,,32550,Africa,1
Brazil,12136615,,298843,,10601658,South America,1
British Virgin Islands,153,,1,,131,North America,1
Brunei,206,,3,,188,Asia,0
Bulgaria,312741,,12307,,239602,Europe,1
Burkina Faso,12572,,145,,12240,Africa,1
Burundi,2628,,6,,773,Africa,1
Cabo Verde,16555,,163,,15845,Africa,1
Cambodia,1817,29,5,1,1033,Asia,0
Cameroon,40622,,601,,35261,Africa,1
Canada,942320,,22735,,883275,North America,0
Caribbean Netherlands,1145,26,10,,674,North America,0
Cayman Islands,482,,2,,448,North America,1
Central African Republic,5087,,64,,4938,Africa,1
Chad,4440,,158,,4059,Africa,1
Channel Islands,4046,,86,,3960,Europe,1
Chile,942958,,22384,,882772,South America,1
China,90125,10,4636,,85331,Asia,0
Colombia,2347224,,62274,,2239936,South America,1
Comoros,3681,,146,,3483,Africa,1
Costa Rica,213438,,2908,,190950,North America,1
Croatia,260636,1891,5828,20,247208,Europe,0
Cuba,68250,,401,,64432,North America,1
Curaçao,6174,,24,,4891,North America,1
Cyprus,42993,,246,,2057,Asia,1
Czechia,1486510,10883,25258,88,1289924,Europe,0
DR Congo,27580,,726,,25286,Africa,1
Denmark,227031,,2403,,215035,Europe,1
Djibouti,6771,,64,,6146,Africa,1
Dominica,160,4,,,151,North America,0
Dominican Republic,250177,,3283,,206736,North America,1
Ecuador,313570,,16504,,271847,South America,1
Egypt,196709,,11680,,150924,Africa,1
El Salvador,63766,135,1990,4,61009,North America,0
Equatorial Guinea,6780,,101,,6244,Africa,1
Eritrea,3163,,8,,2923,Africa,1
Estonia,99008,1553,823,14,70913,Europe,0
Eswatini,17296,,665,,16101,Africa,1
Ethiopia,190594,,2693,,149590,Africa,1
Falkland Islands,54,,,,54,South America,0
Faroe Islands,661,,1,,660,Europe,1
Fiji,67,,2,,64,Australia/Oceania,1
Finland,73516,803,809,1,46000,Europe,0
France,4313073,,92908,,283507,Europe,1
French Guiana,16764,,87,,9995,South America,1
French Polynesia,18595,,141,,4842,Australia/Oceania,1
Gabon,18078,,108,,15654,Africa,1
Gambia,5303,48,161,,4926,Africa,0
Georgia,278628,450,3722,8,270922,Asia,0
Germany,2689205,,75708,,2445300,Europe,0
Ghana,89893,,734,,86248,Africa,1
Gibraltar,4271,,94,,4156,Europe,1
Greece,242347,,7582,,207130,Europe,1
Greenland,31,,,,31,North America,0
Grenada,154,,1,,151,North America,1
Guadeloupe,10976,,165,,2242,North America,1
Guatemala,189067,,6730,,172621,North America,1
Guinea,19084,139,113,,16132,Africa,0
Guinea-Bissau,3586,,56,,2891,Africa,1
Guyana,9732,,218,,8602,South America,1
Haiti,12732,,251,,10754,North America,1
Honduras,184031,751,4489,20,69458,North America,0
Hong Kong,11420,10,204,,10963,Asia,0
Hungary,593710,7587,18952,249,381807,Europe,0
Iceland,6122,,29,,6036,Europe,1
India,11734058,464,160477,,11205160,Asia,0
Indonesia,1476452,5227,39983,118,1312543,Asia,0
Iran,1823317,7605,62045,94,1562709,Asia,0
Iraq,803041,,14066,,723286,Asia,1
Ireland,231484,,4610,,23364,Europe,1
Isle of Man,1516,,26,,702,Europe,1
Israel,829832,143,6131,9,809298,Asia,0
Italy,3419616,,105879,,2753083,Europe,1
Ivory Coast,40868,,222,,36944,Africa,1
Jamaica,36231,,542,,16490,North America,1
Japan,457754,,8861,,435361,Asia,1
Jordan,553727,,6077,,447888,Asia,1
Kazakhstan,235095,1088,2934,,212908,Asia,0
Kenya,123167,,2048,,90586,Africa,1
Kuwait,221743,,1246,,206180,Asia,1
Kyrgyzstan,87652,115,1492,2,84339,Asia,0
Laos,49,,,,45,Asia,0
Latvia,98870,776,1851,11,89910,Europe,0
Lebanon,444865,,5850,,349223,Asia,1
Lesotho,10685,,314,,4390,Africa,1
Liberia,2042,,85,,1899,Africa,1
Libya,154320,909,2582,18,141413,Africa,0
Liechtenstein,2636,2,56,,2548,Europe,0
Lithuania,211011,768,3510,9,195551,Europe,0
Luxembourg,59662,,726,,55761,Europe,1
Macao,48,,,,47,Asia,0
Madagascar,22682,,361,,21141,Africa,1
Malawi,33323,,1099,,29120,Africa,1
Malaysia,336808,1268,1246,2,320925,Asia,0
Maldives,22790,,66,,20226,Asia,1
Mali,9474,,372,,6661,Africa,1
Malta,28510,101,377,2,25857,Europe,0
Marshall Islands,4,,,,4,Australia/Oceania,0
Martinique,7710,,49,,98,North America,1
Mauritania,17658,,447,,16938,Africa,1
Mauritius,850,,10,,592,Africa,1
Mayotte,19224,,154,,2964,Africa,1
Mexico,2203041,5881,199048,809,1744262,North America,0
Micronesia,1,,,,1,Australia/Oceania,0
Moldova,217715,,4623,,191630,Europe,1
Monaco,2199,,27,,2030,Europe,1
Mongolia,5610,218,5,,3947,Asia,0
Montenegro,88116,,1220,,78990,Europe,1
Montserrat,20,,1,,19,North America,1
Morocco,492403,,8775,,480100,Africa,1
Mozambique,66496,,750,,53188,Africa,1
Myanmar,142292,28,3204,,131772,Asia,0
Namibia,42771,,498,,39694,Africa,1
Nepal,276389,145,3020,1,272187,Asia,0
Netherlands,1213366,,16339,,N/A,Europe,0
New Caledonia,116,,,,58,Australia/Oceania,0
New Zealand,2470,8,26,,2377,Australia/Oceania,0
Nicaragua,6629,,177,,4225,North America,1
Niger,4939,,185,,4553,Africa,1
Nigeria,162076,,2031,,148530,Africa,1
North Macedonia,120882,,3528,,102201,Europe,1
Norway,89120,,649,,74332,Europe,1
Oman,153105,741,1644,11,140220,Asia,0
Pakistan,637042,3301,13965,30,586228,Asia,0
Palestine,228044,,2478,,201675,Asia,1
Panama,351667,,6060,,340493,North America,1
Papua New Guinea,4109,351,39,2,846,Australia/Oceania,0
Paraguay,198135,,3818,,162879,South America,1
Peru,1481259,,50474,,1397341,South America,1
Philippines,684311,6666,13039,47,579518,Asia,0
Poland,2120671,29978,50340,575,1707846,Europe,0
Portugal,818212,,16794,,769086,Europe,1
Qatar,174762,,275,,161111,Asia,1
Romania,913143,6136,22579,137,819799,Europe,0
Russia,4483471,8861,96219,401,4098400,Europe,0
Rwanda,20975,,295,,19310,Africa,1
Réunion,15561,,102,,14064,Africa,1
Saint Barthelemy,775,,1,,462,North America,1
Saint Kitts and Nevis,44,,,,42,North America,0
Saint Lucia,4149,,57,,3963,North America,1
Saint Martin,1619,,12,,1399,North America,1
Saint Pierre and Miquelon,24,,,,24,North America,0
Saint Vincent and the Grenadines,1700,,10,,1523,North America,1
Samoa,3,,,,2,Australia/Oceania,0
San Marino,4432,,80,,3874,Europe,1
Saudi Arabia,385834,,6618,,375165,Asia,1
Senegal,38134,178,1023,3,35508,Africa,0
Serbia,561372,,5002,,473912,Europe,1
Seychelles,3828,,18,,3205,Africa,1
Sierra Leone,3949,,79,,2792,Africa,1
Singapore,60236,15,29,,58771,Asia,1
Slovakia,352528,1977,9261,71,255300,Europe,0
Slovenia,208588,1288,3994,9,193383,Europe,0
Solomon Islands,18,,,,16,Australia/Oceania,0
Somalia,10369,,453,,4564,Africa,1
South Africa,1538961,,52251,,1465204,Africa,1
South Korea,99846,425,1707,3,91560,Asia,0
South Sudan,9919,,106,,9002,Africa,1
Spain,3234319,,73744,,2992848,Europe,0
Sri Lanka,90765,,552,,87630,Asia,1
