Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.750678068249499,1.4471580313422192,3.3930484664167784,0.3010299956639812,4.699082906224704,Asia,0
Albania,5.092162508949708,,3.3432115901797474,,4.948896875740466,Europe,1
Algeria,5.06725688923815,,3.4881274962474587,,4.9097806062427685,Africa,1
Andorra,4.072213122603382,,2.060697840353612,,4.048130927028968,Europe,1
Angola,4.343034210479198,,2.7267272090265724,,4.306832322684375,Africa,1
Anguilla,1.3424226808222062,,,,1.3010299956639813,North America,0
Antigua and Barbuda,3.0523090996473234,,1.4471580313422192,,2.8943160626844384,North America,0
Argentina,6.361990032955815,,4.743258836232699,,6.316437537605198,South America,1
Armenia,5.279477583223648,2.890421018800914,3.539577883345309,1.146128035678238,5.2342793180890546,Asia,0
Aruba,3.9644482079166607,,1.9138138523837167,,3.9271136119337604,North America,1
Australia,4.466200102446737,0.7781512503836436,2.9585638832219674,,4.419443540515492,Australia/Oceania,0
Austria,5.729541393025727,3.427972713608209,3.966423345943693,1.3979400086720377,5.691628659071416,Europe,0
Azerbaijan,5.408580820543852,3.2626883443016963,3.5429498488141786,1.4313637641589874,5.373189788970785,Asia,0
Bahamas,3.951094556841663,,2.27415784926368,,3.889693791444185,North America,1
Bahrain,5.148658171858873,,2.7101173651118162,,5.122068356981486,Asia,1
Bangladesh,5.775037806664735,3.5919545550467356,3.949585151326652,1.5440680443502757,5.728873812164221,Asia,0
Barbados,3.5573868820595074,,1.6127838567197355,,3.5342800052050816,North America,1
Belarus,5.503356171283164,3.0211892990699383,3.346157302232008,0.9030899869919435,5.490709763040994,Europe,0
Belgium,5.937549485039508,3.726890140741822,4.3592661646067485,1.255272505103306,4.751055739106684,Europe,0
Belize,4.093946723890583,,2.5010592622177517,,4.0813833174622856,North America,1
Benin,3.8512583487190755,,1.954242509439325,,3.809694358716924,Africa,1
Bermuda,3.011993114659257,1.9084850188786497,1.0791812460476249,,2.858537197569639,North America,0
Bhutan,2.9400181550076634,,0.0,,2.9380190974762104,Asia,1
Bolivia,5.430239578757735,2.7715874808812555,4.085112113266837,1.3424226808222062,5.338299083135984,South America,0
Bosnia and Herzegovina,5.209600792635326,,3.7937903846908188,,5.1080268959086945,Europe,1
Botswana,4.585077027267375,,2.7041505168397992,,4.530238129642592,Africa,1
Brazil,7.096575025429717,,5.492332866412194,,7.036614006150892,South America,1
British Virgin Islands,2.184691430817599,,0.0,,2.1172712956557644,North America,1
Brunei,2.3138672203691533,,0.47712125471966244,,2.27415784926368,Asia,0
Bulgaria,5.515569201123779,,4.102090525511836,,5.396031875973676,Europe,1
Burkina Faso,4.102879434869378,,2.161368002234975,,4.090963076595732,Africa,1
Burundi,3.4243915544102776,,0.7781512503836436,,2.888179493918325,Africa,1
Cabo Verde,4.2309085193207645,,2.2174839442139063,,4.205475036740891,Africa,1
Cambodia,3.348888723071438,1.9344984512435677,1.0,0.3010299956639812,3.0666985504229953,Asia,0
Cameroon,4.67823604139553,,2.857935264719429,,4.547294624705321,Africa,1
Canada,5.982760895353718,,4.3589242153885115,,5.952407847140257,North America,0
Caribbean Netherlands,3.113943352306837,,1.0,,2.9469432706978256,North America,1
Cayman Islands,2.6875289612146345,,0.3010299956639812,,2.6646419755561257,North America,1
Central African Republic,3.7065471026403576,,1.806179973983887,,3.6952189189051508,Africa,1
Chad,3.653309012938479,,2.2041199826559246,,3.6126779183165016,Africa,1
Channel Islands,3.607025878434786,,1.9344984512435677,,3.597695185925512,Europe,1
Chile,5.986732780333825,,4.355125724987688,,5.9568572783336045,South America,1
China,4.955047620244845,0.9030899869919435,3.6661434272915585,,4.9312747571336875,Asia,0
Colombia,6.375771671270019,,4.797890483058349,,6.354372202540504,South America,1
Comoros,3.56702636615906,,2.164352855784437,,3.545307116465824,Africa,1
Costa Rica,5.332797866590009,,3.4670158184384356,,5.282637971020317,North America,1
Croatia,5.426872210110723,3.1209028176145273,3.770336441095149,1.3222192947339193,5.400083598888919,Europe,0
Cuba,4.854815962416535,,2.617000341120899,,4.830569423303845,North America,1
Curaçao,3.8654001181793016,,1.4771212547196624,,3.7050936105478733,North America,1
Cyprus,4.646452740892937,,2.3979400086720375,,3.313234291694724,Asia,1
Czechia,6.180420945986466,3.597146487833695,4.412863573812828,1.5797835966168101,6.119114291476177,Europe,0
DR Congo,4.446070935701005,1.6334684555795864,2.8686444383948255,0.6989700043360189,4.404799518857654,Africa,0
Denmark,5.357959608699205,2.984077033902831,3.3827372657613304,0.0,5.335638401296343,Europe,0
Djibouti,3.860278099752235,,1.8195439355418688,,3.7958800173440754,Africa,1
Dominica,2.2068258760318495,,,,2.184691430817599,North America,0
Dominican Republic,5.400679565309317,,3.518777068926775,,5.3233573084181245,North America,1
Ecuador,5.508797619586877,,4.222170008681765,,5.434324544655608,South America,1
Egypt,5.299646738665373,,4.073535065058784,,5.183674047764065,Africa,1
El Salvador,4.804589174829305,,3.3005954838899636,,4.785393906519332,North America,1
Equatorial Guinea,3.838974954955468,,2.0086001717619175,,3.811976944336954,Africa,1
Eritrea,3.506234359612126,,0.9542425094393249,,3.4727564493172123,Africa,1
Estonia,5.0154854981544545,2.950364854376123,2.938519725176492,0.9030899869919435,4.888010912245028,Europe,0
Eswatini,4.238497735307359,,2.823474229170301,,4.214552455234245,Africa,1
Ethiopia,5.298403272384158,,3.4446692309385245,,5.185360806841445,Africa,1
Falkland Islands,1.7323937598229686,,,,1.7323937598229686,South America,0
Faroe Islands,2.82020145948564,,0.0,,2.8195439355418688,Europe,1
Fiji,1.8260748027008264,,0.3010299956639812,,1.806179973983887,Australia/Oceania,1
Finland,4.880830735145681,2.660865478003869,2.9122220565324155,,4.662757831681574,Europe,0
France,6.654039298545868,,4.9752709289067925,,5.461423486699566,Europe,1
French Guiana,4.2284516907144,,1.9493900066449128,,3.999782798454136,South America,1
French Polynesia,4.269676357629865,,2.1492191126553797,,3.685024785105714,Australia/Oceania,1
Gabon,4.273626206272959,,2.0453229787866576,,4.206123963991852,Africa,1
Gambia,3.7324741772811936,1.5563025007672873,2.2121876044039577,,3.7015679850559273,Africa,0
Georgia,5.447624647149181,2.5622928644564746,3.574147064150723,0.6989700043360189,5.434918434266222,Asia,0
Germany,6.442901942623508,,4.883116095911467,,6.3952564808860215,Europe,0
Ghana,4.955625222797411,,2.8692317197309762,,4.940202603730632,Africa,1
Gibraltar,3.6307328928171967,,1.9731278535996986,,3.619823500457278,Europe,0
Greece,5.4024161529066195,,3.8935398435646613,,5.331481959518769,Europe,1
Greenland,1.4913616938342726,,,,1.4913616938342726,North America,0
Grenada,2.1903316981702914,,0.0,,2.1818435879447726,North America,1
Guadeloupe,4.053001570400308,,2.2174839442139063,,3.3506356082589543,North America,1
Guatemala,5.285669805960068,,3.8321255425340093,,5.242988412194795,North America,1
Guinea,4.293804359919337,2.2278867046136734,2.0791812460476247,0.6020599913279624,4.215505378231819,Africa,0
Guinea-Bissau,3.5599066250361124,,1.7853298350107671,,3.4668676203541096,Africa,1
Guyana,4.003115717099806,,2.3521825181113627,,3.946550510569855,South America,1
Haiti,4.105033050393594,,2.399673721481038,,4.031570032141101,North America,1
Honduras,5.271876441595158,2.8312296938670634,3.6586790285824486,1.3222192947339193,4.85360087997794,North America,0
Hong Kong,4.05869168281923,0.0,2.311753861055754,,4.04296907339318,Asia,0
Hungary,5.801994031459867,3.9581814975649476,4.300421557383072,2.342422680822206,5.597464817157687,Europe,0
Iceland,3.7897921677306754,,1.462397997898956,,3.780965029608317,Europe,1
India,7.078353814969423,3.789228057267335,5.208481666555568,1.462397997898956,7.053999860693065,Asia,0
Indonesia,6.174956268650287,3.610979379922997,4.606907789240003,1.9294189257142926,6.124308552615652,Asia,0
Iran,6.268501682854516,3.942057683841395,4.795163709638096,1.9493900066449128,6.20227547696523,Asia,0
Iraq,5.920346679950181,3.7218930162149575,4.15265519881729,1.5440680443502757,5.872700985152003,Asia,0
