Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,6.360034756920541,,4.742214358344503,,6.3148104695645575,South America,1
Bolivia,5.429285445151139,2.9434945159061026,4.084325995016827,1.0791812460476249,5.336665824718556,South America,0
Brazil,7.09367808836893,,5.487599303435275,,7.03439159528531,South America,1
Chile,5.986732780333825,3.880356199419236,4.355125724987688,1.8195439355418688,5.9568572783336045,South America,0
Colombia,6.3742600859065375,,4.796886413573344,,6.353329084862133,South America,1
Ecuador,5.508797619586877,3.0962145853464054,4.222170008681765,1.6720978579357175,5.434324544655608,South America,0
Falkland Islands,1.7323937598229686,,,,1.7323937598229686,South America,0
French Guiana,4.2284516907144,,1.9493900066449128,,3.999782798454136,South America,1
Guyana,4.000303899784813,,2.3521825181113627,,3.944532020991981,South America,1
Paraguay,5.311126329037469,,3.5974757898703773,,5.22428178799226,South America,1
Peru,6.179662074172866,,4.707842589142404,,6.15328393876005,South America,1
Suriname,3.958468318366944,,2.247973266361807,,3.9332341287148083,South America,1
Uruguay,4.965403979618217,,2.942008053022313,,4.871216714717698,South America,1
Venezuela,5.190065436076598,,3.188365926063148,,5.156755044113985,South America,1
