Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.751694718916133,1.845098040014257,3.3951515915045425,0.9030899869919435,4.711579480965868,Asia,0
Armenia,5.28214836711828,2.8750612633917,3.5436956323092446,1.3222192947339193,5.237053372149513,Asia,0
Azerbaijan,5.410490420003448,,3.5456781497920256,,5.37383114507383,Asia,1
Bahrain,5.154329617182559,,2.711807229041191,,5.126303531768661,Asia,1
Bangladesh,5.782427472392911,3.7026028413404273,3.9539528832319233,1.6532125137753437,5.7322972392131915,Asia,0
Bhutan,2.940516484932567,,0.0,,2.9380190974762104,Asia,1
Brunei,2.315970345456918,,0.47712125471966244,,2.2810333672477277,Asia,0
Cambodia,3.376211850282673,2.0211892990699383,1.0413926851582251,,3.0704073217401198,Asia,0
China,4.955158386925794,0.9030899869919435,3.6661434272915585,,4.931361237044862,Asia,0
Cyprus,4.653125646191915,,2.404833716619938,,3.313234291694724,Asia,1
Georgia,5.448930364239807,2.828015064223977,3.5766868052009957,0.9030899869919435,5.43600194426177,Asia,0
Hong Kong,4.059260404121731,0.8450980400142568,2.311753861055754,,4.044343734895107,Asia,0
India,7.082636572049549,2.7209857441537393,5.209908917884117,,7.0566388978866055,Asia,0
Indonesia,6.177760082383489,3.6704314093606056,4.610170241117049,2.2380461031287955,6.127977371670724,Asia,0
Iran,6.273055468633284,4.010723865391773,4.7963592139841955,1.9590413923210936,6.2065039472298835,Asia,0
Iraq,5.92338133348045,,4.15378438646937,,5.875313081171105,Asia,1
Israel,5.920188569959727,,3.792181496149679,,5.912592935516535,Asia,1
Japan,5.670815259147677,,3.957176130404846,,5.645784685202932,Asia,1
Jordan,5.776160521341636,,3.8228869478341507,,5.694093395088976,Asia,1
Kazakhstan,5.386174238036926,3.1598678470925665,3.481299273332856,1.1760912590556813,5.338518246686205,Asia,0
Kuwait,5.360877297102039,,3.1132746924643504,,5.330296051414421,Asia,1
Kyrgyzstan,4.945842645997491,2.0530784434834195,3.1755118133634475,0.0,4.9280013255269335,Asia,0
Laos,1.6901960800285136,,,,1.6532125137753437,Asia,0
Lebanon,5.664960529324745,,3.7878853509409245,,5.5642386597094715,Asia,1
Macao,1.6812412373755872,,,,1.6812412373755872,Asia,0
Malaysia,5.536581166688271,3.0542299098633974,3.1020905255118367,0.6989700043360189,5.516606758902437,Asia,0
Maldives,4.374216605428374,,1.8195439355418688,,4.318876874660981,Asia,1
Mongolia,3.90687353472207,2.682145076373832,0.7781512503836436,,3.6843964784190204,Asia,0
Myanmar,5.153488640030498,,3.505963518018126,,5.119882457984983,Asia,1
Nepal,5.442710181898362,2.2227164711475833,3.481442628502305,0.47712125471966244,5.435728135266738,Asia,0
Oman,5.198810986840779,3.0692980121155293,3.222456336679247,0.8450980400142568,5.156543094183797,Asia,0
Pakistan,5.821644517542217,3.6110857334148725,4.157033449661202,2.0,5.778352426891299,Asia,0
Palestine,5.380328847208762,3.2593549273080344,3.4173055832445254,1.1760912590556813,5.329580915741898,Asia,0
Philippines,5.869924277753014,3.9682961150462557,4.120277720339368,0.6989700043360189,5.780540523905541,Asia,0
Qatar,5.253299227301892,2.8573324964312685,2.4608978427565478,0.47712125471966244,5.214006229495538,Asia,0
Saudi Arabia,5.589799972826325,,3.8232133132826673,,5.576691409411754,Asia,1
Singapore,4.780655685107271,1.414973347970818,1.462397997898956,,4.769163080382377,Asia,1
South Korea,5.011071162077137,2.6444385894678386,3.2377949932739227,0.47712125471966244,4.975721241696852,Asia,0
Sri Lanka,4.965215816543491,,2.7528164311882715,,4.948970148417312,Asia,1
Syria,4.270399307397509,,3.0958664534785427,,4.096631975558161,Asia,1
Taiwan,3.010299956639812,0.0,1.0,,2.9916690073799486,Asia,0
Tajikistan,4.124112792196785,,1.954242509439325,,4.121165747534412,Asia,1
Thailand,4.459709045421325,1.6812412373755872,1.9731278535996986,,4.437417581766819,Asia,0
Timor-Leste,2.7505083948513462,1.7075701760979363,,,2.2576785748691846,Asia,0
Turkey,6.510622345270055,,4.494571984230198,,6.473502735762956,Asia,1
UAE,5.662153175152431,3.359645792674543,3.17376882313665,0.7781512503836436,5.64655369368104,Asia,0
Uzbekistan,4.917410973258329,2.164352855784437,2.797959643737196,0.3010299956639812,4.907405985809619,Asia,0
Vietnam,3.4139699717480614,,1.5440680443502757,,3.3727279408855955,Asia,0
Yemen,3.6143698395482886,,2.9360107957152097,,3.219322508419337,Asia,1
