Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,124723,,2227,,90617,Europe,1
Andorra,11944,,115,,11276,Europe,1
Austria,546229,3687,9339,31,501116,Europe,0
Belarus,321807,1213,2247,10,312320,Europe,0
Belgium,876842,3906,22966,45,56815,Europe,0
Bosnia and Herzegovina,167654,,6519,,129918,Europe,1
Bulgaria,338426,,13068,,255692,Europe,1
Channel Islands,4049,,86,,3956,Europe,1
Croatia,271632,2623,5947,19,254379,Europe,0
Czechia,1532332,8568,26421,85,1366461,Europe,0
Denmark,229902,,2417,,218246,Europe,1
Estonia,106424,1009,902,6,81859,Europe,0
Faroe Islands,661,,1,,660,Europe,1
Finland,77452,607,844,18,46000,Europe,0
France,4585385,,95337,,292796,Europe,1
Germany,2809510,,76833,,2521800,Europe,0
Gibraltar,4274,,94,,4168,Europe,0
Greece,260077,,8017,,219367,Europe,1
Hungary,652433,6700,20737,302,406935,Europe,0
Iceland,6205,11,29,,6058,Europe,0
Ireland,235444,,4681,,23364,Europe,1
Isle of Man,1567,,29,,1198,Europe,0
Italy,3561012,,108879,,2889301,Europe,1
Latvia,102363,630,1899,6,93631,Europe,0
Liechtenstein,2670,6,56,,2568,Europe,0
Lithuania,216119,853,3574,7,199023,Europe,0
Luxembourg,61255,,743,,56903,Europe,1
Malta,29033,40,392,2,27812,Europe,0
Moldova,228370,,4915,,205759,Europe,1
Monaco,2282,,28,,2110,Europe,1
Montenegro,90832,,1266,,82946,Europe,1
Netherlands,1264983,,16509,,N/A,Europe,0
North Macedonia,128511,,3749,,106392,Europe,1
Norway,95208,,661,,80023,Europe,1
Poland,2321717,32874,53045,653,1861925,Europe,0
Portugal,821104,,16845,,777503,Europe,1
Romania,952803,6156,23538,129,850672,Europe,0
Russia,4545095,8275,98850,408,4166172,Europe,0
San Marino,4730,49,84,,4128,Europe,0
Serbia,595489,,5270,,498101,Europe,1
Slovakia,361185,1855,9719,95,255300,Europe,0
Slovenia,215602,1558,4047,7,198524,Europe,0
Spain,3275819,,75305,,3042352,Europe,0
Sweden,804886,,13465,32,N/A,Europe,0
Switzerland,601124,2411,10334,12,547252,Europe,0
UK,4341736,,126670,,3835218,Europe,1
Ukraine,1674168,11226,32825,407,1313481,Europe,0
Vatican City,27,,,,15,Europe,0
