Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,18,,,,18,North America,0
Antigua and Barbuda,769,,19,,309,North America,1
Aruba,7973,,75,,7724,North America,1
Bahamas,8573,,181,,7398,North America,1
Barbados,3186,23,37,,2651,North America,0
Belize,12328,,315,,11895,North America,1
Bermuda,718,5,12,,685,North America,0
British Virgin Islands,153,,1,,131,North America,1
Canada,877260,1701,22134,29,825241,North America,0
Caribbean Netherlands,429,,4,,402,North America,1
Cayman Islands,448,1,2,,425,North America,0
Costa Rica,206293,403,2829,5,186093,North America,0
Cuba,53308,807,336,3,48341,North America,0
Curaçao,4751,11,22,,4659,North America,0
Dominica,144,,,,130,North America,0
Dominican Republic,241392,619,3139,9,194653,North America,0
El Salvador,60800,160,1887,9,56807,North America,0
Greenland,31,1,,,30,North America,0
Grenada,148,,1,,147,North America,1
Guadeloupe,10149,,162,,2242,North America,1
Guatemala,176876,626,6435,8,163544,North America,0
Haiti,12536,,250,,9828,North America,1
Honduras,172100,342,4214,27,67239,North America,0
Jamaica,24444,341,436,1,13869,North America,0
Martinique,6818,,46,,98,North America,1
Mexico,2104987,7793,188044,857,1650230,North America,0
Montserrat,20,,1,,13,North America,1
Nicaragua,6489,,174,,4225,North America,1
Panama,343281,540,5895,11,329709,North America,0
Saint Barthelemy,638,,1,,462,North America,1
Saint Kitts and Nevis,41,,,,40,North America,0
Saint Lucia,3814,11,43,4,3442,North America,0
Saint Martin,1571,,12,,1399,North America,1
Saint Pierre and Miquelon,24,,,,16,North America,0
Saint Vincent and the Grenadines,1645,,8,,949,North America,1
Trinidad and Tobago,7723,,139,,7485,North America,1
Turks and Caicos,2132,,14,,1940,North America,1
USA,29518859,62117,533386,1743,20074697,North America,0
