Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,2141854,,52784,,1934845,South America,1
Bolivia,253297,937,11789,28,196731,South America,0
Brazil,10871843,,262948,,9671410,South America,1
Chile,845450,,20928,,796791,South America,1
Colombia,2269582,,60300,,2168149,South America,1
Ecuador,291070,,15997,,247898,South America,1
Falkland Islands,54,,,,51,South America,0
French Guiana,16693,,87,,9995,South America,1
Guyana,8729,,200,,8099,South America,1
Paraguay,165811,,3278,,138383,South America,1
Peru,1358294,,47491,,1262722,South America,1
Suriname,8966,,175,,8456,South America,1
Uruguay,61929,,637,,53419,South America,1
Venezuela,141356,,1371,,133454,South America,1
