Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,5.057795384248953,,3.478999131673357,,4.897978782356854,Africa,1
Angola,4.323994202181974,,2.710963118995276,,4.293296245148464,Africa,1
Benin,3.801952234854282,,1.9084850188786497,,3.731024379815688,Africa,1
Botswana,4.5016890119157,,2.5550944485783194,,4.427486109095786,Africa,1
Burkina Faso,4.085682943194615,,2.155336037465062,,4.072470482303893,Africa,1
Burundi,3.3653007486379876,,0.47712125471966244,,2.888179493918325,Africa,1
Cabo Verde,4.198162039046076,,2.187520720836463,,4.177247836255623,Africa,1
Cameroon,4.552838494288028,,2.741151598851785,,4.5131376612116405,Africa,1
Central African Republic,3.700790221374347,,1.7993405494535817,,3.69196510276736,Africa,1
Chad,3.620864475265121,,2.146128035678238,,3.5644293269979834,Africa,1
Comoros,3.5558196830611912,,2.164352855784437,,3.5327543789924976,Africa,1
DR Congo,4.423917281991123,,2.8524799936368566,,4.350867996286564,Africa,1
Djibouti,3.7885925559203595,,1.7993405494535817,,3.773127924033335,Africa,1
Egypt,5.270685822058738,,4.0411952336968096,,5.158419791059333,Africa,1
Equatorial Guinea,3.8042076050820413,1.6232492903979006,1.9822712330395684,,3.7588362247469584,Africa,0
Eritrea,3.4689378056654614,,0.8450980400142568,,3.3866772839608377,Africa,1
Eswatini,4.235124264019461,,2.8182258936139557,,4.18400964970128,Africa,1
Ethiopia,5.220468978043315,,3.3854275148051305,,5.141449773400467,Africa,1
Gabon,4.1938200260161125,,1.954242509439325,,4.138176339573041,Africa,1
Gambia,3.6775157047987577,,2.1818435879447726,,3.6173149332982937,Africa,1
Ghana,4.936840345812756,,2.8109042806687006,,4.908227582900808,Africa,1
Guinea,4.221935599828005,,1.9777236052888478,,4.18130038026682,Africa,1
Guinea-Bissau,3.5200903281128424,,1.6901960800285136,,3.426673888021373,Africa,1
Ivory Coast,4.546382241004409,,2.305351369446624,,4.514653989080068,Africa,1
Kenya,5.036736657276552,,3.2732328340430454,,4.942355349707677,Africa,1
Lesotho,4.022139570398392,,2.4871383754771865,,3.589726256254237,Africa,1
Liberia,3.3062105081677613,,1.9294189257142926,,3.276921132065774,Africa,1
Libya,5.14506581834954,3.00774777800074,3.3594560201209864,1.1760912590556813,5.103386324167968,Africa,0
Madagascar,4.30438280248907,,2.4771212547196626,,4.290991232025503,Africa,1
Malawi,4.511107619959268,,3.028977705208778,,4.349724222634397,Africa,1
Mali,3.9334872878487053,,2.5538830266438746,,3.808953299155911,Africa,1
Mauritania,4.238598034264364,,2.645422269349092,,4.221935599828005,Africa,1
Mauritius,2.8068580295188172,,1.0,,2.7693773260761385,Africa,1
Mayotte,4.262806923000563,2.2430380486862944,2.1072099696478683,0.0,3.4718781993072905,Africa,0
Morocco,5.6868354985978735,,3.938619781502681,,5.6741627702131385,Africa,1
Mozambique,4.796018969347149,,2.8407332346118066,,4.66671449178134,Africa,1
Namibia,4.602385590105105,,2.6414741105040997,,4.574262829707027,Africa,1
Niger,3.683227206041435,,2.247973266361807,,3.643945912748067,Africa,1
Nigeria,5.200045706412269,,3.2942457161381182,,5.139532771597939,Africa,1
Rwanda,4.291168975715262,,2.428134794028789,,4.251394850040104,Africa,1
Réunion,4.1180993120779945,,1.7708520116421442,,4.0775859063672435,Africa,1
Senegal,4.555807605738594,2.0086001717619175,2.9661417327390325,0.7781512503836436,4.490169250834894,Africa,0
Seychelles,3.4740705032150436,,1.1760912590556813,,3.422917980767662,Africa,1
Sierra Leone,3.593286067020457,,1.8976270912904414,,3.4313637641589874,Africa,1
Somalia,3.9201755220100227,,2.4800069429571505,,3.594613509160098,Africa,1
South Africa,6.182148629808842,,4.70481946718017,,6.158626004757608,Africa,1
South Sudan,3.9479236198317262,2.0170333392987803,2.0086001717619175,,3.691435152144062,Africa,0
Sudan,4.456441952101687,,3.2776092143040914,,4.364663540894766,Africa,1
São Tomé and Príncipe,3.290034611362518,,1.505149978319906,,3.1936810295412816,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.8790958795000727,,1.9637878273455553,,3.799753966411886,Africa,1
Tunisia,5.3760364899457285,,3.913866811896239,,5.306208362438736,Africa,1
Uganda,4.607229775080599,1.1760912590556813,2.5237464668115646,,4.177969136009376,Africa,0
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.916037879441752,,3.0507663112330423,,4.891777117627721,Africa,1
Zimbabwe,4.559559529346496,,3.171726453653231,,4.529353344971997,Africa,1
