Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,66275,541,2812,10,56035,89,0
Albania,132209,33,2444,2,128732,4,0
Algeria,126860,209,3418,7,88346,193,0
Andorra,13569,,127,,13234,0,1
Angola,32441,292,725,10,26778,61,0
Anguilla,109,,,,107,1,0
Antigua and Barbuda,1257,,42,,1192,6,1
Argentina,3539484,24801,74063,375,3106949,3,0
Armenia,221948,68,4392,6,211057,3,0
Aruba,10915,,107,,10738,1,1
Australia,30005,1,910,,29000,1,0
Austria,641380,504,10546,5,622889,0,0
Azerbaijan,332454,219,4860,9,320708,3,0
Bahamas,11396,,222,,10221,4,1
Bahrain,218047,3177,820,11,194885,0,0
Bangladesh,789080,1354,12376,28,730697,29,0
Barbados,3991,,47,,3922,2,1
Belarus,386025,1252,2771,10,376453,2,0
Belgium,1047128,2516,24823,14,935360,1,0
Belize,12764,,323,,12358,3,1
Benin,8025,,101,,7893,21,1
Bermuda,2488,,32,,2383,0,1
Bhutan,1394,2,1,,1186,1,0
Bolivia,348187,2117,13910,53,280869,9,0
Bosnia and Herzegovina,203150,,9108,,172005,3,1
Botswana,51620,,784,,48449,2,1
Brazil,16083573,36134,449185,894,14492167,4,0
British Virgin Islands,248,,1,,209,1,1
Brunei,235,,3,,224,4,0
Bulgaria,416646,81,17496,9,373385,3,0
Burkina Faso,13414,,165,,13225,115,1
Burundi,4494,,6,,773,44,1
Cabo Verde,29334,136,256,,26842,4,0
Cambodia,25205,560,176,9,17701,15,0
Cameroon,77733,,1239,,72226,18,1
Canada,1359180,3415,25231,28,1280155,1,0
Caribbean Netherlands,1608,,17,,1573,3,1
Cayman Islands,574,,2,,554,1,1
Central African Republic,7079,69,97,1,6665,90,0
Chad,4924,1,173,,4729,142,0
Channel Islands,4059,,86,,3956,0,1
Chile,1329918,6505,28518,132,1259080,1,0
China,90973,19,4636,,86022,9,0
Colombia,3232456,21669,84724,496,3026277,3,0
Comoros,3872,2,146,,3713,,0
Costa Rica,299219,,3765,,228589,4,1
Croatia,353986,251,7903,20,342202,2,0
Cuba,133053,1221,877,14,125236,3,0
Curaçao,12271,,122,,12087,2,1
Cyprus,71911,75,354,1,39061,0,0
Czechia,1657893,334,30020,5,1607706,0,0
DR Congo,30863,,779,,27603,584,1
Denmark,273494,835,2508,1,257387,0,0
Djibouti,11493,2,153,1,11335,6,0
Dominica,184,,,,176,4,0
Dominican Republic,283729,1044,3606,,235814,7,0
Ecuador,418851,1011,20193,13,354499,13,0
Egypt,253835,1145,14721,51,186678,38,0
El Salvador,72220,,2216,5,67510,7,0
Equatorial Guinea,8436,,113,,7801,12,1
Eritrea,3932,,14,,3711,152,1
Estonia,128592,103,1240,,120886,1,0
Eswatini,18551,1,672,,17833,6,0
Ethiopia,269194,293,4076,8,228757,44,0
Falkland Islands,63,,,,63,0,0
Faroe Islands,676,3,1,,668,0,0
Fiji,230,24,4,,134,10,0
Finland,91526,121,932,,46000,1,0
France,5603666,9704,108596,70,5199310,1,0
French Guiana,22780,,112,,9995,1,1
French Polynesia,18844,,141,,18677,11,1
Gabon,24107,,147,,20976,3,1
Gambia,5968,,175,,5727,32,1
Georgia,337573,733,4622,20,318599,1,0
Germany,3654201,1182,87973,13,3397100,1,0
Ghana,93620,37,783,,91581,28,0
Gibraltar,4288,1,94,,4192,0,0
Greece,389804,875,11772,38,352207,1,0
Greenland,34,,,,32,2,0
Grenada,161,,1,,160,4,1
Guadeloupe,16530,,221,,2250,2,1
Guatemala,247454,348,8000,4,227600,13,0
Guinea,22988,,158,,20699,30,1
Guinea-Bissau,3749,,68,,3478,30,1
Guyana,16014,,355,,13710,5,1
Haiti,13906,171,288,8,12507,167,0
Honduras,232141,581,6143,10,83625,14,0
Hong Kong,11833,2,210,,11553,1,0
Hungary,802088,416,29519,44,668820,2,0
Iceland,6556,,29,,6478,1,1
India,26751681,222835,303751,4455,23720919,4,0
Indonesia,1775220,5280,49328,123,1633045,17,0
Iran,2832518,8631,78597,216,2333789,4,0
Iraq,1167940,3791,16190,32,1081843,4,0
Ireland,258705,438,4941,,240802,1,0
Isle of Man,1591,,29,,1561,2,1
Israel,839319,11,6404,7,832405,1,0
Italy,4192183,3995,125225,72,3785866,1,0
Ivory Coast,46942,,298,,46346,43,1
Jamaica,47959,60,917,5,23986,8,0
Japan,714274,5041,12236,84,634103,9,0
Jordan,730546,840,9368,11,710608,1,0
Kazakhstan,373182,2167,4124,,335938,2,0
Kenya,168432,324,3059,10,114537,31,0
Kuwait,299215,992,1734,10,285118,2,0
Kyrgyzstan,102511,325,1751,8,95811,6,0
Laos,1801,19,2,,1074,32,0
Latvia,130945,233,2326,3,121123,1,0
Lebanon,538518,300,7677,7,508930,2,0
Lesotho,10822,7,326,,6431,23,0
Liberia,2142,,85,,2022,51,1
Libya,183311,412,3111,6,169945,7,0
Liechtenstein,3000,2,58,,2910,1,0
Lithuania,270849,459,4185,11,247662,1,0
Luxembourg,69607,,811,,67162,0,1
Macao,50,,,,49,147,0
Madagascar,40876,96,800,7,39255,142,0
Malawi,34284,10,1153,,32462,80,0
Malaysia,512091,6976,2248,49,452821,3,0
Maldives,55924,1559,129,6,32322,1,0
Mali,14240,,513,,9431,72,1
Malta,30504,5,417,,30006,0,0
Marshall Islands,4,,,,4,,0
Martinique,11866,,93,,98,2,1
Mauritania,19114,,458,,18249,19,1
Mauritius,1293,,17,,1161,4,1
Mayotte,20176,,171,,2964,2,1
Mexico,2395330,2586,221597,341,1912690,19,0
Micronesia,1,,,,1,,0
Moldova,254676,75,6075,3,246570,4,0
Monaco,2501,,32,,2460,1,1
Mongolia,52470,539,248,4,46338,1,0
Montenegro,99248,45,1574,2,96608,2,0
Montserrat,20,,1,,19,4,1
Morocco,517023,211,9122,3,505228,6,0
Mozambique,70590,22,831,,69098,59,0
Myanmar,143234,6,3216,,132194,21,0
Namibia,52946,234,765,2,49213,6,0
Nepal,513241,7598,6346,193,391348,10,0
Netherlands,1626232,3422,17544,8,1427528,1,0
New Caledonia,125,,,,58,9,0
New Zealand,2668,6,26,,2615,2,0
Nicaragua,7193,,185,,4225,,1
Niger,5369,,192,,5033,238,1
Nigeria,166019,40,2067,,156476,105,0
North Macedonia,155063,35,5311,15,146869,3,0
Norway,122414,451,781,,88952,1,0
Oman,210364,,2265,9,193950,3,0
Pakistan,900552,3084,20251,74,817681,18,0
Palestine,305201,,3459,,297201,3,1
Panama,374121,347,6331,3,361903,2,0
Papua New Guinea,14910,,154,,13801,82,1
Paraguay,330457,,8235,,272721,6,1
Peru,1920851,,67807,,1720665,3,1
Philippines,1179812,3083,19951,38,1109226,9,0
Poland,2865622,1075,72928,46,2624724,2,0
Portugal,845224,413,17017,,805692,1,0
Qatar,215443,283,544,1,210942,1,0
Romania,1075543,307,29941,56,1032888,2,0
Russia,5001505,8951,118482,357,4617762,1,0
Rwanda,26688,30,349,,25097,9,0
Réunion,23566,,176,,21709,9,1
Saint Barthelemy,1005,,1,,462,0,1
Saint Helena,2,,,,2,,0
Saint Kitts and Nevis,50,4,,,45,4,0
Saint Lucia,4935,,77,,4617,4,1
Saint Martin,1915,,12,,1399,1,1
Saint Pierre and Miquelon,25,,,,25,1,0
Saint Vincent and the Grenadines,1973,,12,,1827,2,1
Samoa,3,,,,3,,0
San Marino,5087,,90,,4974,1,1
Saudi Arabia,440914,1067,7249,12,424690,2,0
Senegal,41090,28,1132,2,39758,34,0
Serbia,709939,266,6777,11,687707,2,0
Seychelles,9764,,35,,7826,5,1
Sierra Leone,4121,,79,,3113,53,1
Singapore,61824,,29,,58771,Asia,1
Slovakia,388835,116,12292,6,373189,2,0
Slovenia,251690,159,4353,4,241735,2,0
Solomon Islands,20,,,,20,156,0
Somalia,14623,,767,,6662,129,1
South Africa,1635465,2894,55802,30,1539395,5,0
South Korea,135929,585,1931,5,125881,5,0
South Sudan,10652,,115,,10462,71,1
Spain,3636453,,79620,,3356272,1,0
Sri Lanka,164201,2959,1178,,128607,7,0
Sudan,35189,118,2568,,27949,192,0
Suriname,12928,,245,,10729,10,1
Sweden,1058341,,14366,,929372,1,0
Switzerland,687353,,10776,1,631406,1,0
Syria,24117,65,1734,5,21549,173,0
São Tomé and Príncipe,2338,,36,,2283,17,1
Taiwan,4322,290,23,6,1133,39,0
Tajikistan,13308,,90,,13218,,1
Tanzania,509,,21,,183,,1
Thailand,129500,3382,776,17,84535,9,0
Timor-Leste,5637,156,13,2,3082,15,0
Togo,13363,,125,,12222,26,1
Trinidad and Tobago,20017,573,375,10,11480,8,0
Tunisia,335345,1246,12236,54,295789,8,0
Turkey,5186487,7839,46268,197,5024313,2,0
Turks and Caicos,2408,,17,,2379,1,1
UAE,556107,1591,1651,3,536050,0,0
UK,4462538,2235,127721,5,4301451,0,0
USA,33896381,13632,604087,228,27502255,1,0
Uganda,43734,227,356,6,42880,44,0
Ukraine,2182521,2533,49368,89,1950562,4,0
Uruguay,265098,3089,3871,60,227531,2,0
Uzbekistan,98451,287,680,,93930,25,0
Vanuatu,4,,1,,3,14,1
Vatican City,27,,,,27,,0
Venezuela,222052,,2499,,205575,8,1
Vietnam,5217,131,42,1,2721,32,0
Wallis and Futuna,445,,7,,438,1,1
Western Sahara,10,,1,,8,,1
Yemen,6658,9,1307,3,3245,524,0
Zambia,93201,95,1268,1,91156,12,0
Zimbabwe,38682,3,1586,,36453,33,0
World,167492893,469420,3477597,9470,148568526,,0
