Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,63446,,2077,,42626,Africa,1
Angola,12816,,308,,6036,Africa,1
Benin,2781,,43,,2515,Africa,1
Botswana,7835,,27,,5534,Africa,1
Burkina Faso,2582,,67,,2410,Africa,1
Burundi,615,,1,,549,Africa,1
Cabo Verde,9499,,101,,8738,Africa,1
Cameroon,22421,,433,,21510,Africa,1
Central African Republic,4884,,62,,1924,Africa,1
Chad,1561,,99,,1413,Africa,1
Comoros,569,,7,,541,Africa,1
DR Congo,11642,,316,,10928,Africa,1
Djibouti,5633,,61,,5497,Africa,1
Egypt,109654,,6394,,100540,Africa,1
Equatorial Guinea,5102,,85,,4971,Africa,1
Eritrea,491,,,,438,Africa,0
Eswatini,6024,,117,,5737,Africa,1
Ethiopia,100327,,1537,,61516,Africa,1
Gabon,9029,,57,,8899,Africa,1
Gambia,3697,1,122,,3549,Africa,1
Ghana,49302,,320,,47843,Africa,1
Guinea,12484,,74,,10857,Africa,1
Guinea-Bissau,2419,,43,,2255,Africa,1
Ivory Coast,20847,,126,,20546,Africa,1
Kenya,64588,,1154,,43095,Africa,1
Lesotho,2026,,44,,1029,Africa,1
Liberia,1461,,82,,1310,Africa,1
Libya,70885,875,970,13,42098,Africa,1
Madagascar,17223,,249,,16516,Africa,1
Malawi,5953,,185,,5361,Africa,1
Mali,3745,,137,,2905,Africa,1
Mauritania,7848,,165,,7498,Africa,1
Mauritius,453,,10,,416,Africa,1
Mayotte,4815,,46,,2964,Africa,1
Morocco,265165,,4425,,216851,Africa,1
Mozambique,13892,,99,,11748,Africa,1
Namibia,13253,,134,,11701,Africa,1
Niger,1256,,69,,1144,Africa,1
Nigeria,64336,,1160,,60333,Africa,1
Rwanda,5262,,40,,4967,Africa,1
Réunion,6572,,28,,5380,Africa,1
Senegal,15735,15,326,,15386,Africa,1
Seychelles,158,,,,155,Africa,0
Sierra Leone,2386,,74,,1813,Africa,1
Somalia,4301,,107,,3247,Africa,1
South Africa,740254,,19951,,683194,Africa,1
South Sudan,2960,,59,,1290,Africa,1
Sudan,14155,,1116,,9492,Africa,1
São Tomé and Príncipe,962,,16,,914,Africa,1
Tanzania,509,,21,,183,Africa,1
Togo,2558,,57,,1763,Africa,1
Tunisia,72993,,2006,,48103,Africa,1
Uganda,14704,,133,,7836,Africa,1
Western Sahara,10,,1,,8,Africa,1
Zambia,16997,,350,,16019,Africa,1
Zimbabwe,8610,,255,,8040,Africa,1
